Visuels;Jap;bloc;rank;size;jap_release;code;ref_code;en_name;jap_name;promo;fr_name
Ok;Ok;Base;1;102;October 20, 1996;base1;;Base Set;第1弾スターターパック & 第1弾拡張パック;false;Set de base
Ok;Ok;Base;2;48;March 5, 1997;base2;;Jungle;ポケモンジャングル;false;Jungle
Ok;Ok;Base;3;48;June 21, 1997;base3;;The Mystery of the Fossils;化石の秘密;false;Fossile
Ok;Ok;Base;4;65;November 21, 1997;base4;;Rocket Gang;ロケット団;false;Team Rocket
Ok;Ok;Gym;5;96;October 24, 1998;gym1;;Leaders' Stadium;ジム拡張第1弾 リーダーズスタジアム;false;
Ok;Ok;Gym;6;98;June 25, 1999;gym2;;Challenge from the Darkness;ジム拡張第2弾 闇からの挑戦;false;
Ok;Ok;Neo;7;96;December 10, 1999;neo1;;Gold, Silver, to a New World...;金、銀、新世界へ...;false;
Ok;Ok;Neo;8;57;July 7, 2000;neo2;;Crossing the Ruins...;遺跡をこえて...;false;
Ok;Ok;Neo;9;57;January 1, 2001;neo3;;Awakening Legends;めざめる伝説;false;
Ok;Ok;Neo;10;113;March 9, 2001;neo4;;Darkness, and to Light...;闇、そして光へ...;false;
Ok;Ok;E-Card;11;151;August 19, 2001;ecardvs;;Pokemon Card VS;ポケモンカード★VS;false;VS
Ok;Ok;E-Card;12;48;October 20, 2001;ecardweb;;Pokemon Card Web;ポケモンカード★web;false;Web
Ok;;E-Card;13;128;December 1, 2001;ecard1;;Base Expansion Pack;基本拡張パック;false;Set de base E-Card
Ok;;E-Card;14;92;March 8, 2002;ecard2;;The Town on No Map;地図にない町;false;
Ok;;E-Card;15;87;May 24, 2002;ecard3;;Wind from the Sea;海からの風;false;
Ok;;E-Card;16;88;August 24, 2002;ecard4;;Split Earth;裂けた大地;false;
Ok;;E-Card;17;88;October 4, 2002;ecard5;;Mysterious Mountains;神秘なる山;false;Montagnes Mystérieuses
Ok;;ADV;18;55;January 31, 2003;adv1;;Expansion Pack;拡張パック;false;Set de base ADV
Ok;;ADV;19;53;April 18, 2003;adv2;;Miracle of the Desert;砂漠のきせき;false;
Ok;;ADV;20;54;June 25, 2003;adv3;;Rulers of the Heavens;天空の覇者;false;
Ok;;ADV;21;80;October 24, 2003;adv4;;Magma VS Aqua: Two Ambitions;マグマVSアクア ふたつの野望;false;Magma VS Aqua
Ok;;ADV;22;83;January 16, 2004;adv5;;Undone Seal;とかれた封印;false;
Ok;;PCG;23;82;April 9, 2004;pcg1;;Flight of Legends;伝説の飛翔;false;
Ok;;PCG;24;84;October 15, 2004;pcg2;;Rocket Gang Strikes Back;ロケット団の逆襲;false;
Ok;;PCG;25;82;July 1, 2004;pcg3;;Clash of the Blue Sky;蒼空の激突;false;
Ok;;PCG;26;106;April 8, 2005;pcg4;;Golden Sky, Silvery Ocean;金の空、銀の海;false;
Ok;;PCG;27;86;October 28, 2005;pcg5;;Holon Research Tower;ホロンの研究塔;false;
Ok;;PCG;28;86;June 30, 2005;pcg6;;Mirage Forest;まぼろしの森;false;
Ok;;PCG;29;52;January 27, 2006;pcg7;;Holon Phantom;ホロンの幻影;false;
Ok;;PCG;30;75;March 10, 2006;pcg8;;Miracle Crystal;きせきの結晶;false;
Ok;;PCG;31;68;June 29, 2006;pcg9;;Offense and Defense of the Furthest Ends;さいはての攻防;false;
Ok;;PCG;32;108;July 5, 2007;pcg10;;World Champions Pack;ワールドチャンピオンズパック;false;
Ok;;Diamond & Pearl;33;117;November 30, 2006;dp1d;;Space-Time Creation (Diamond);時空の創造;false;Diamant 
Ok;;Diamond & Pearl;34;119;November 30, 2006;dp1p;;Space-Time Creation (Pearl);時空の創造;false;Perle
V-U;;Diamond & Pearl;35;131;March 2, 2007;dp2;;Secret of the Lakes;湖の秘密;false;
V-U;;Diamond & Pearl;36;119;July 5, 2007;dp3;;Shining Darkness;ひかる闇;false;
V-U;;Diamond & Pearl;37;70;October 26, 2007;dp4a;;Moonlit Pursuit;月光の追跡;false;
V-U;;Diamond & Pearl;38;70;October 26, 2007;dp4b;;Dawn Dash;夜明けの疾走;false;
V-U;;Diamond & Pearl;39;65;March 14, 2008;dp5a;;Cry from the Mysterious;秘境の叫び;false;
V-U;;Diamond & Pearl;40;65;March 14, 2008;dp5b;;Temple of Anger;怒りの神殿;false;
V-U;;Diamond & Pearl;41;92;July 10, 2008;dp6;;Intense Fight in the Destroyed Sky;破空の激闘;false;
Ok;;DPt;42;96;October 10, 2008;pt1;;Galactic's Conquest;ギンガの覇道;false;
Ok;;DPt;43;90;December 26, 2008;pt2;;Bonds to the End of Time;時の果ての絆;false;
Ok;;DPt;44;100;March 6, 2009;pt3;;Beat of the Frontier;フロンティアの鼓動;false;
Ok;;DPt;45;90;July 8, 2009;pt4;;Advent of Arceus;アルセウス光臨;false;
Ok;;Legend;47;70;October 9, 2009;l1a;;HeartGold Collection;ハートゴールドコレクション;false;
Ok;;Legend;48;70;October 9, 2009;l1b;;SoulSilver Collection;ソウルシルバーコレクション;false;
Ok;;Legend;57;40;January 1, 2010;ll;;Lost Link;ロストリンク;false;
Ok;;Legend;58;80;February 11, 2010;l2;;Reviving Legends;よみがえる伝説;false;
Ok;;Legend;61;80;July 8, 2010;l3;;Clash at the Summit;頂上大激突;false;
V-U;;Black & White;65;53;December 17, 2010;bw1a;;Black Collection;ブラックコレクション;false;
V-U;;Black & White;66;53;December 17, 2010;bw1b;;White Collection;ホワイトコレクション;false;
V-U;;Black & White;72;66;July 15, 2011;bw2;;Red Collection;レッドコレクション;false;
V-U;;Black & White;74;52;September 16, 2011;bw3a;;Psycho Drive;サイコドライブ;false;
V-U;;Black & White;75;52;September 16, 2011;bw3b;;Hail Blizzard;ヘイルブリザード;false;
V-U;;Black & White;80;69;December 16, 2011;bw4;;Dark Rush;ダークラッシュ;false;
V-U;;Black & White;82;50;March 16, 2012;bw5a;;Dragon Blast;リューズブラスト;false;
V-U;;Black & White;83;50;March 16, 2012;bw5b;;Dragon Blade;リューノブレード;false;
V-U;;Black & White;91;59;July 13, 2012;bw6a;;Freeze Bolt;フリーズボルト;false;
V-U;;Black & White;92;59;July 13, 2012;bw6b;;Cold Flare;コールドフレア;false;
V-U;;Black & White;93;70;September 14, 2012;bw7;;Plasma Gale;プラズマゲイル;false;
V-U;;Black & White;100;51;December 14, 2012;bw8a;;Spiral Force;ラセンフォース;false;
V-U;;Black & White;101;51;December 14, 2012;bw8b;;Thunder Knuckle;ライデンナックル;false;
V-U;;Black & White;103;76;March 15, 2013;bw9;;Megalo Cannon;メガロキャノン;false;
V-U;;Black & White;105;93;July 13, 2013;ebb;;EX Battle Boost;EXバトルブースト;false;
V-U;;XY;117;60;December 13, 2013;xy1a;;Collection X;コレクションX;false;
V-U;;XY;118;60;December 13, 2013;xy1b;;Collection Y;コレクションY;false;
V-U;;XY;121;80;March 15, 2014;xy2;;Wild Blaze;ワイルドブレイズ;false;
V-U;;XY;123;96;June 14, 2014;xy3;;Rising Fist;ライジングフィスト;false;
V-U;;XY;124;88;September 13, 2014;xy4;;Phantom Gate;ファントムゲート;false;
V-U;;XY;127;70;December 13, 2014;xy5a;;Gaia Volcano;ガイアボルケーノ;false;
V-U;;XY;128;70;December 13, 2014;xy5b;;Tidal Storm;タイダルストーム;false;
