rank;number;size;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;/001;/054;Common;;Tadmorv;Grimer;ベトベター;Pokémon;Grass;88;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471610.jpg;ex3
2;/002;/054;Ultra;ex;Grotadmorv ex;Muk ex;ベトベトンex;Pokémon;Grass;89;Hikaru Koike;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471658.jpg;ex3
3;/003;/054;Common;;Chenipotte;Wurmple;ケムッソ;Pokémon;Grass;265;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471611.jpg;ex3
4;/004;/054;Common;;Ningale;Nincada;ツチニン;Pokémon;Grass;290;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471612.jpg;ex3
5;/005;/054;Rare;;Ninjask;Ninjask;テッカニン;Pokémon;Grass;291;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471613.jpg;ex3
6;/006;/054;Rare Holo;;Munja;Shedinja;ヌケニン;Pokémon;Grass;292;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471614.jpg;ex3
7;/007;/054;Rare Holo;;Roselia;Roselia;ロゼリア;Pokémon;Grass;315;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471615.jpg;ex3
8;/008;/054;Common;;Limagma;Slugma;マグマッグ;Pokémon;Fire;218;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471616.jpg;ex3
9;/009;/054;Ultra;ex;Volcaropod ex;Magcargo ex;マグカルゴex;Pokémon;Fire;219;Hikaru Koike;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/cd5ae6b0d74511e5b7d7936e35b61882/9.jpg;ex3
10;/010;/054;Rare Holo;;Chartor;Torkoal;コータス;Pokémon;Fire;324;Kagemaru Himeno;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/07ced200d74811e5b7d7936e35b61882/10.jpg;ex3
