rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Abo;Ekans;アーボ;Pokémon;Grass;23;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471703.jpg;ex4
2;2;Uncommon;;Arbok;Arbok;アーボック;Pokémon;Grass;24;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471704.jpg;ex4
3;3;Common;;Pomdepik;Pineco;クヌギダマ;Pokémon;Grass;204;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471705.jpg;ex4
4;4;Common;;Arcko;Treecko;キモリ;Pokémon;Grass;252;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471706.jpg;ex4
5;5;Uncommon;;Massko;Grovyle;ジュプトル;Pokémon;Grass;253;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471707.jpg;ex4
6;6;Ultra;ex;Jungko ex;Sceptile ex;ジュカインex;Pokémon;Grass;254;Hikaru Koike;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471766.jpg;ex4
7;7;Uncommon;;Cacnea;Cacnea;サボネア;Pokémon;Grass;331;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471708.jpg;ex4
8;8;Uncommon;;Lilia;Lileep;リリーラ;Pokémon;Grass;345;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471709.jpg;ex4
9;9;Ultra;ex;Vacilys ex;Cradily ex;ユレイドルex;Pokémon;Grass;346;Ryo Ueda;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/30fd2700d11a11e5943f8b51591b3d0b/cradily.jpg;ex4
10;10;Rare;;Seviper de Team Aqua;Team Aqua's Seviper;アクア団のハブネーク;Pokémon;Grass;336;Jungo Suzuki;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/67ff75c0d11d11e59470910b9baec4ae/seviper.jpg;ex4
