rank;number;en_name;jap_url;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
1;001/019;Forina's Nuzleaf;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472129.jpg;—;;;;;;;
2;002/019;Forina's Breloom;https://cdn.bulbagarden.net/upload/4/47/ForinaBreloomMovieVSPack2.jpg;—;;;;;;;
3;003/019;Forina's Tropius;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472130.jpg;—;;;;;;;
4;004/019;Forina's Jirachi;https://cdn.bulbagarden.net/upload/8/86/ForinaJirachiMovieVSPack4.jpg;—;;;;;;;
5;005/019;Forina's Linoone;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472131.jpg;—;;;;;;;
6;006/019;Forina's Flygon;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472132.jpg;—;;;;;;;
7;007/019;Forina's Altaria;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472133.jpg;—;;;;;;;
8;008/019;Forina's Absol;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472134.jpg;—;;;;;;;
9;009/019;Butler's Kirlia;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472135.jpg;—;;;;;;;
10;010/019;Butler's Dusclops;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472136.jpg;—;;;;;;;
11;011/019;Butler's Salamence;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472137.jpg;—;;;;;;;
12;012/019;Butler's Mightyena;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472138.jpg;—;;;;;;;
13;013/019;Energy Restore;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472139.jpg;—;;;;;;;
14;014/019;Energy Switch;https://www.suruga-ya.jp/database/pics_light/game/g6825321.jpg;—;;;;;;;
15;015/019;Potion;https://img08.shop-pro.jp/PA01034/747/product/135670622.jpg?cmsp_timestamp=20181002122245;;;;;;;;
16;016/019;Switch;https://www.suruga-ya.jp/database/pics_light/game/g6820443.jpg;;;;;;;;
17;017/019;Pokémon Reversal;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472140.jpg;;;;;;;;
18;018/019;Butler's Magic Trick;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472141.jpg;;;;;;;;
19;019/019;Wish Maker;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472142.jpg;;;;;;;;
20;—;Grass Energy;;;;;;;;;
21;—;Psychic Energy;;;;;;;;;
22;—;Darkness Energy;;;;;;;;;
