rank;number;en_name;jap_url;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
1;001/ADV-P;Kyogre ex;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174433.jpg;—;;;;;;;
2;002/ADV-P;Groudon ex;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174408.jpg;—;;;;;;;
3;003/ADV-P;Treecko;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174673.jpg;—;;;;;;;
4;004/ADV-P;Torchic;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174663.jpg;—;;;;;;;
5;005/ADV-P;Mudkip;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174501.jpg;—;;;;;;;
6;006/ADV-P;Latias;wip;—;;;;;;;
7;007/ADV-P;Latios;wip;—;;;;;;;
8;008/ADV-P;Grovyle;https://www.suruga-ya.jp/database/pics_light/game/g8642676.jpg;—;;;;;;;
9;009/ADV-P;Combusken;Ok;—;;;;;;;
10;010/ADV-P;Marshtomp;Ok;—;;;;;;;
11;011/ADV-P;Kyogre ex;Ok;—;;;;;;;
12;012/ADV-P;Groudon ex;Ok;—;;;;;;;
13;013/ADV-P;Armaldo ex;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174277.jpg;—;;;;;;;
14;014/ADV-P;Jirachi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174429.jpg;—;;;;;;;
15;015/ADV-P;Treecko;Ok;;;;;;;;
16;016/ADV-P;Treecko;Ok;;;;;;;;
17;017/ADV-P;Torchic;Ok;;;;;;;;
18;018/ADV-P;Torchic;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174665.jpg;;;;;;;;
19;019/ADV-P;Mudkip;Ok;;;;;;;;
20;020/ADV-P;Mudkip;Ok;;;;;;;;
21;021/ADV-P;Ludicolo;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174455.jpg;;;;;;;;
22;022/ADV-P;Ludicolo;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174456.jpg;;;;;;;;
23;023/ADV-P;Pikachu;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1464834.jpg;;;;;;;;
24;024/ADV-P;Pikachu;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1174533.jpg;;;;;;;;
25;025/ADV-P;Jirachi;;;;;;;;;
