rank;number;en_name;jap_url;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
1;001/PLAY;Regice ex;;—;;;;;;;
2;002/PLAY;Regirock ex;;—;;;;;;;
3;003/PLAY;Registeel ex;;—;;;;;;;
4;004/PLAY;Plusle;;—;;;;;;;
5;005/PLAY;Minun;;—;;;;;;;
6;006/PLAY;Celebi ex;;—;;;;;;;
7;007/PLAY;Mew ex;;—;;;;;;;
8;008/PLAY;Pokémon Card Fan;;—;;;;;;;
9;009/PLAY;Moltres ex;;—;;;;;;;
10;010/PLAY;Articuno ex;;—;;;;;;;
11;011/PLAY;Zapdos ex;;—;;;;;;;
12;012/PLAY;_____'s Celebi;;—;;;;;;;
13;013/PLAY;_____'s Mew;;—;;;;;;;
14;014/PLAY;_____'s Jirachi;;—;;;;;;;
15;015/PLAY;Cyclone Energy;;;;;;;;;
16;016/PLAY;Boost Energy;;;;;;;;;
17;017/PLAY;Warp Energy;;;;;;;;;
18;018/PLAY;Master Ball;;;;;;;;;
19;019/PLAY;_____'s Kyogre;;;;;;;;;
20;020/PLAY;_____'s Groudon;;;;;;;;;
21;021/PLAY;_____'s Rayquaza;;;;;;;;;
22;022/PLAY;Vaporeon ;;;;;;;;;
23;023/PLAY;Jolteon ;;;;;;;;;
24;024/PLAY;Flareon ;;;;;;;;;
25;025/PLAY;Espeon ;;;;;;;;;
26;026/PLAY;Umbreon ;;;;;;;;;
27;027/PLAY;Kyogre ex;;;;;;;;;
28;028/PLAY;Groudon ex;;;;;;;;;
29;029/PLAY;Rayquaza ex;;;;;;;;;
30;030/PLAY;Ho-Oh ex;;;;;;;;;
31;031/PLAY;Lugia ex;;;;;;;;;
32;032/PLAY;Jirachi ex;;;;;;;;;
