rank;number;en_name;jap_url;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
2;002/019;Numel;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472113.jpg;—;;;;;;;
3;003/019;Camerupt;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472114.jpg;—;;;;;;;
4;004/019;Corphish;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472115.jpg;—;;;;;;;
5;005/019;Corphish;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472116.jpg;—;;;;;;;
6;006/019;Crawdaunt;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472117.jpg;—;;;;;;;
8;008/019;Bagon;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472118.jpg;—;;;;;;;
9;009/019;Shelgon;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472119.jpg;—;;;;;;;
10;010/019;Shelgon;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472120.jpg;—;;;;;;;
12;012/019;Latias ex;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472121.jpg;—;;;;;;;
13;013/019;Energy Recycle System;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472122.jpg;—;;;;;;;
14;014/019;Potion;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472123.jpg;—;;;;;;;
15;015/019;PokéNav;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472124.jpg;;;;;;;;
16;016/019;Poké Ball;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472125.jpg;;;;;;;;
17;017/019;TV Reporter;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472126.jpg;;;;;;;;
18;018/019;Balloon Berry;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472127.jpg;;;;;;;;
19;019/019;High Pressure System;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472128.jpg;;;;;;;;
20;—;Fire Energy;;;;;;;;;
21;—;Water Energy;;;;;;;;;
22;—;Rainbow Energy;;;;;;;;;
