rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;;Rare;;Scarhino;Heracross;Pokémon;Grass;214;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1589098656/modif_dp/scarhino.jpg;dp1
2;;Common;;Chenipotte;Wurmple;Pokémon;Grass;265;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1589098656/modif_dp/chenipotte.jpg;dp1
3;;Uncommon;;Armulys;Silcoon;Pokémon;Grass;266;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1589098656/modif_dp/silcoon.jpg;dp1
4;;Rare;;Charmillon;Beautifly;Pokémon;Grass;267;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472732.jpg;dp1
5;;Uncommon;;Blindalys;Cascoon;Pokémon;Grass;268;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1589098655/modif_dp/cascoon.jpg;dp1
6;;Rare;;Papinox;Dustox;Pokémon;Grass;269;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472733.jpg;dp1
7;;Common;;Grainipiot;Seedot;Pokémon;Grass;273;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1589098657/modif_dp/seedot.jpg;dp1
8;;Uncommon;;Rozbouton;Budew;Pokémon;Grass;406;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1589098656/modif_dp/rozbouton.jpg;dp1
9;;Common;;Roselia;Roselia;Pokémon;Grass;315;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1589098656/modif_dp/roselia.jpg;dp1
10;;Rare Holo;;Roserade;Roserade;Pokémon;Grass;407;Nakaoka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1472702.jpg;dp1
11;;Common;;Tortipouss;Turtwig;Pokémon;Grass;387;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1589098656/modif_dp/tortipouss.jpg;dp1
12;;Uncommon;;Boskara;Grotle;Pokémon;Grass;388;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1589098655/modif_dp/boskara.jpg;dp1
