rank;Number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;list
1;;Common;;Paras;Paras;パラス;Pokémon;Grass;46;Ken Sugimori;dp2
2;;Uncommon;;Parasect;Parasect;パラセクト;Pokémon;Grass;47;Masakazu Fukuda;dp2
3;;Common;;Noeunoeuf;Exeggcute;タマタマ;Pokémon;Grass;102;Ken Sugimori;dp2
4;;Rare;;Noadkoko;Exeggutor;ナッシー;Pokémon;Grass;103;Masakazu Fukuda;dp2
5;;Common;;Germignon;Chikorita;チコリータ;Pokémon;Grass;152;Kagemaru Himeno;dp2
6;;Uncommon;;Macronium;Bayleef;ベイリーフ;Pokémon;Grass;153;Midori Harada;dp2
7;;Rare Holo;;Méganium;Meganium;メガニウム;Pokémon;Grass;154;Daisuke Ito;dp2
8;;Common;;Mimigal;Spinarak;イトマル;Pokémon;Grass;167;Kagemaru Himeno;dp2
9;;Rare;;Migalos;Ariados;アリアドス;Pokémon;Grass;168;Midori Harada;dp2
10;;Rare Holo;;Celebi;Celebi;セレビィ;Pokémon;Grass;251;Kagemaru Himeno;dp2
11;;Common;;Arakdo;Surskit;アメタマ;Pokémon;Grass;283;Ken Sugimori;dp2
12;;Uncommon;;Maskadra;Masquerain;アメモース;Pokémon;Grass;284;Midori Harada;dp2
13;;Uncommon;;Tropius;Tropius;トロピウス;Pokémon;Grass;357;Kazuyuki Kano;dp2
14;;Common;;Crikzik;Kricketot;コロボーシ;Pokémon;Grass;401;Atsuko Nishida;dp2
15;;Rare;;Melokrik;Kricketune;コロトック;Pokémon;Grass;402;Mitsuhiro Arita;dp2
16;;Common;;Blizzi;Snover;ユキカブリ;Pokémon;Grass;459;Ken Sugimori;dp2
17;;Rare;;Blizzaroi;Abomasnow;ユキノオー;Pokémon;Grass;460;Kazuyuki Kano;dp2
18;;Common;;Goupix;Vulpix;ロコン;Pokémon;Fire;37;Kagemaru Himeno;dp2
19;;Rare;;Feunard;Ninetales;キュウコン;Pokémon;Fire;38;Kouki Saitou;dp2
20;;Uncommon;;Magmar;Magmar;ブビィ;Pokémon;Fire;126;Mitsuhiro Arita;dp2
21;;Common;;Héricendre;Cyndaquil;ブーバー;Pokémon;Fire;155;Masakazu Fukuda;dp2
22;;Uncommon;;Feurisson;Quilava;ブーバーン;Pokémon;Fire;156;Atsuko Nishida;dp2
23;;Rare Holo;;Typhlosion;Typhlosion;ヒノアラシ;Pokémon;Fire;157;Kazuyuki Kano;dp2
24;;Common;;Magby;Magby;マグマラシ;Pokémon;Fire;240;Midori Harada;dp2
25;;Rare Holo;;Maganon;Magmortar;バクフーン;Pokémon;Fire;467;Hiroaki Ito;dp2
26;;Ultra;Niv.X;Maganon Niv.X;Magmortar;ブーバーン;Pokémon;Fire;467;Shizurow;dp2
27;;Common;;Otaria;Seel;パウワウ;Pokémon;Water;86;Ken Sugimori;dp2
28;;Uncommon;;Lamantine;Dewgong;ジュゴン;Pokémon;Water;87;Masakazu Fukuda;dp2
29;;Common;;Magicarpe;Magikarp;コイキング;Pokémon;Water;129;Yusuke Ohmura;dp2
30;;Rare;;Léviator;Gyarados;ギャラドス;Pokémon;Water;130;Mitsuhiro Arita;dp2
31;;Common;;Kaiminus;Totodile;ワニノコ;Pokémon;Water;158;Kouki Saitou;dp2
32;;Uncommon;;Crocrodil;Croconaw;アリゲイツ;Pokémon;Water;159;Mitsuhiro Arita;dp2
33;;Rare Holo;;Aligatueur;Feraligatr;オーダイル;Pokémon;Water;160;Kazuyuki Kano;dp2
34;;Common;;Remoraid;Remoraid;テッポウオ;Pokémon;Water;223;Sumiyoshi Kizuki;dp2
