rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;;Common;;Bulbizarre;Bulbasaur;フシギダネ;Pokémon;Grass;1;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10551.JPG;dp3
2;;Uncommon;;Herbizarre;Ivysaur;フシギソウ;Pokémon;Grass;2;Kagemaru Himeno;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10552.JPG;dp3
3;;Rare Holo;;Florizarre;Venusaur;フシギバナ;Pokémon;Grass;3;Kazuyuki Kano;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10553.JPG;dp3
4;;Common;;Mimitoss;Venonat;コンパン;Pokémon;Grass;48;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10554.JPG;dp3
5;;Uncommon;;Aéromite;Venomoth;モルフォン;Pokémon;Grass;49;Mitsuhiro Arita;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10555.JPG;dp3
6;;Uncommon;;Scarabrute;Pinsir;カイロス;Pokémon;Grass;127;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10557.JPG;dp3
7;;Common;;Granivol;Hoppip;ハネッコ;Pokémon;Grass;187;Motofumi Fujiwara;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10556.JPG;dp3
8;;Uncommon;;Floravol;Skiploom;ポポッコ;Pokémon;Grass;188;Masakazu Fukuda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10558.JPG;dp3
9;;Rare Holo;;Cotovol;Jumpluff;ワタッコ;Pokémon;Grass;189;Kagemaru Himeno;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10559.JPG;dp3
10;;Common;;Tournegrin;Sunkern;ヒマナッツ;Pokémon;Grass;191;Midori Harada;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10560.JPG;dp3
11;;Rare;;Heliatronc;Sunflora;キマワリ;Pokémon;Grass;192;Mitsuhiro Arita;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10561.JPG;dp3
12;;Common;;Caratroc;Shuckle;ツボツボ;Pokémon;Grass;213;Emi Yoshida;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10562.JPG;dp3
13;;Common;;Balignon;Shroomish;キノココ;Pokémon;Grass;285;Midori Harada;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10563.JPG;dp3
14;;Uncommon;;Chapignon;Breloom;キノガッサ;Pokémon;Grass;286;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10564.JPG;dp3
15;;Common;;Cheniti Cape Plante;Burmy Plant Cloak;ミノムッチ;Pokémon;Grass;412;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10565.JPG;dp3
16;;Common;;Cheniti Cape Sable;Burmy Sandy Cloak;ミノムッチ;Pokémon;Grass;412;Midori Harada;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10566.JPG;dp3
17;;Common;;Cheniti Cape Déchet;Burmy Trash Cloak;ミノムッチ;Pokémon;Grass;412;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10567.JPG;dp3
18;;Rare;;Cheniselle Cape Plante;Wormadam Plant Cloak;ミノマダム;Pokémon;Grass;413;Mitsuhiro Arita;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10568.JPG;dp3
19;;Rare;;Papilord;Mothim;ガーメイル;Pokémon;Grass;414;Kazuyuki Kano;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463588.jpg;dp3
