rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;;;;;Caterpie;;Grass;;;https://images-na.ssl-images-amazon.com/images/I/51QoFVQTGZL._AC_SY400_.jpg;dp4b
2;;;;;Metapod;;Grass;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10250.JPG;dp4b
3;;;;;Butterfree;;Grass;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10249.JPG;dp4b
4;;;;;Leafeon;;Grass;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463324.jpg;dp4b
5;;;;;Treecko;;Grass;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10212.JPG;dp4b
6;;;;;Grovyle;;Grass;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10211.JPG;dp4b
7;;;;;Sceptile;;Grass;;;https://www.papermoonjapan-annex.com/data/papermoon/product/116436b252.jpg;dp4b
8;;;;;Illumise;;Grass;;;https://www.pokemon-card.com/assets/images/card_images/large/DP4/010016_P_IRUMIZE.jpg;dp4b
9;;;;;Cacnea;;Grass;;;https://www.pokemon-card.com/assets/images/card_images/large/DP4/010017_P_SABONEA.jpg;dp4b
10;;;;;Leafeon LV.X;;Grass;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1467777.jpg;dp4b
11;;;;;Flareon;;Fire;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463339.jpg;dp4b
12;;;;;Moltres;;Fire;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1467790.jpg;dp4b
13;;;;;Slugma;;Fire;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10218.JPG;dp4b
14;;;;;Magcargo;;Fire;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10217.JPG;dp4b
15;;;;;Krabby;;Water;;;https://www.pokemon-card.com/assets/images/card_images/large/DP4/010028_P_KURABU.jpg;dp4b
16;;;;;Kingler;;Water;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463337.jpg;dp4b
17;;;;;Lapras;;Water;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10232.JPG;dp4b
18;;;;;Glaceon;;Water;;;https://www.papermoonjapan-annex.com/data/papermoon/product/ba12253d80.jpg;dp4b
19;;;;;Articuno;;Water;;;https://www.papermoonjapan-annex.com/data/papermoon/product/4ba2bd80ee.jpg;dp4b
20;;;;;Delibird;;Water;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10216.JPG;dp4b
21;;;;;Wingull;;Water;;;https://www.pokemon-card.com/assets/images/card_images/large/DP4/010041_P_KYAMOME.jpg;dp4b
22;;;;;Pelipper;;Water;;;https://www.pokemon-card.com/assets/images/card_images/large/DP4/010042_P_PERIPPA.jpg;dp4b
23;;;;;Clamperl;;Water;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10193.JPG;dp4b
24;;;;;Huntail;;Water;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10191.JPG;dp4b
25;;;;;Gorebyss;;Water;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10192.JPG;dp4b
26;;;;;Luvdisc;;Water;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10190.JPG;dp4b
27;;;;;Phione;;Water;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463330.jpg;dp4b
28;;;;;Glaceon LV.X;;Water;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10254.JPG;dp4b
29;;;;;Jolteon;;Lightning;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463340.jpg;dp4b
30;;;;;Pachirisu;;Lightning;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10252.JPG;dp4b
31;;;;;Ekans;;Psychic;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10246.JPG;dp4b
32;;;;;Arbok;;Psychic;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10245.JPG;dp4b
33;;;;;Espeon;;Psychic;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463341.jpg;dp4b
34;;;;;Unown L;;Psychic;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10222.JPG;dp4b
35;;;;;Unown P;;Psychic;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10221.JPG;dp4b
36;;;;;Unown Q;;Psychic;;;https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0103/users/5e9c46e8d13b6194976e195472c36b9c92601a30/i-img720x1016-1584630202cocjcf310.jpg;dp4b
37;;;;;Gardevoir;;Psychic;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10205.JPG;dp4b
38;;;;;Gardevoir LV.X;;Psychic;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10251.JPG;dp4b
39;;;;;Mankey;;Fighting;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10241.JPG;dp4b
40;;;;;Primeape;;Fighting;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10240.JPG;dp4b
41;;;;;Kabuto;;Fighting;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10227.JPG;dp4b
42;;;;;Kabutops;;Fighting;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10226.JPG;dp4b
43;;;;;Solrock;;Fighting;;;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP4/DP4_FR_85.png;dp4b
44;;;;;Baltoy;;Fighting;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10195.JPG;dp4b
45;;;;;Claydol;;Fighting;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10194.JPG;dp4b
46;;;;;Igglybuff;;Colorless;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10244.JPG;dp4b
47;;;;;Jigglypuff;;Colorless;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10243.JPG;dp4b
48;;;;;Wigglytuff;;Colorless;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10242.JPG;dp4b
49;;;;;Eevee;;Colorless;;;https://images-na.ssl-images-amazon.com/images/I/51XC0z9A4KL._AC_.jpg;dp4b
50;;;;;Aerodactyl;;Colorless;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463342.jpg;dp4b
51;;;;;Togepi;;Colorless;;;https://www.pokemon-card.com/assets/images/card_images/large/DP4/010107_P_TOGEPI.jpg;dp4b
52;;;;;Togetic;;Colorless;;;https://www.pokemon-card.com/assets/images/card_images/large/DP4/010108_P_TOGECHIKKU.jpg;dp4b
53;;;;;Togekiss;;Colorless;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10224.JPG;dp4b
54;;;;;Zigzagoon;;Colorless;;;https://www.pokemon-card.com/assets/images/card_images/large/DP4/010112_P_JIGUZAGUMA.jpg;dp4b
55;;;;;Linoone;;Colorless;;;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10206.JPG;dp4b
