rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;;Rare;;Rafflésia;Vileplume;ラフレシア;Pokémon;Grass;45;Kagemaru Himeno;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5M10007.JPG;dp5a
2;;Common;;Chétiflor;Bellsprout;マダツボミ;Pokémon;Grass;69;Atsuko Nishida;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10163.JPG;dp5a
3;;Common;;Boustiflor;Weepinbell;ウツドン;Pokémon;Grass;70;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10162.JPG;dp5a
4;;Rare;;Empiflor;Victreebel;ウツボット;Pokémon;Grass;71;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10161.JPG;dp5a
5;;Common;;Coxy;Ledyba;レディバ;Pokémon;Grass;165;Atsuko Nishida;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10151.JPG;dp5a
6;;Uncommon;;Coxyclaque;Ledian;レディアン;Pokémon;Grass;166;Midori Harada;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10150.JPG;dp5a
7;;Common;;Yanma;Yanma;ヤンヤンマ;Pokémon;Grass;193;Masakazu Fukuda;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5M10008.JPG;dp5a
8;;Common;;Pomdepik;Pineco;クヌギダマ;Pokémon;Grass;204;Masakazu Fukuda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10142.JPG;dp5a
9;;Common;;Lilia;Lileep;リリーラ;Pokémon;Grass;345;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10129.JPG;dp5a
10;;Rare;;Vacilys;Cradily;ユレイドル;Pokémon;Grass;346;Masakazu Fukuda;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10128.JPG;dp5a
