rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;;Common;;Mystherbe;Oddish;ナゾノクサ;Pokémon;Grass;43;Hiroki Fuchino;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10169.JPG;dp5b
2;;Common;;Ortide;Gloom;クサイハナ;Pokémon;Grass;44;Sumiyoshi Kizuki;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5T10009.JPG;dp5b
3;;Rare;;Joliflor;Bellossom;キレイハナ;Pokémon;Grass;182;Atsuko Nishida;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10168.jpg;dp5b
4;;Common;;Ningale;Nincada;ツチニン;Pokémon;Grass;290;Midori Harada;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5T10007.JPG;dp5b
5;;Uncommon;;Ninjask;Ninjask;テッカニン;Pokémon;Grass;291;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5T10010.JPG;dp5b
6;;Rare;;Munja;Shedinja;ヌケニン;Pokémon;Grass;292;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5T10011.JPG;dp5b
7;;Uncommon;;Démolosse;Houndoom;ヘルガー;Pokémon;Fire;229;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5T10012.JPG;dp5b
8;;Common;;Hypotrempe;Horsea;タッツ;Pokémon;Water;116;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10155.JPG;dp5b
9;;Uncommon;;Hypocéan;Seadra;シードラ;Pokémon;Water;117;Atsuko Nishida;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5T10013.JPG;dp5b
10;;Common;;Stari;Staryu;ヒトデマン;Pokémon;Water;120;Ken Sugimori;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5T10014.JPG;dp5b
11;;Uncommon;;Staross;Starmie;スターミー;Pokémon;Water;121;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10153.JPG;dp5b
12;;Common;;Loupio;Chinchou;チョンチー;Pokémon;Water;170;Atsuko Nishida;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10170.JPG;dp5b
13;;Uncommon;;Lanturn;Lanturn;ランターン;Pokémon;Water;171;Masakazu Fukuda;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5T10020.JPG;dp5b
14;;Common;;Marcacrin;Swinub;ウリムー;Pokémon;Water;220;Sumiyoshi Kizuki;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5T10015.JPG;dp5b
15;;Uncommon;;Cochignon;Piloswine;イノムー;Pokémon;Water;221;Midori Harada;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5T10016.JPG;dp5b
16;;Rare Holo;;Hyporoi;Kingdra;キングドラ;Pokémon;Water;230;Mitsuhiro Arita;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10154.JPG;dp5b
17;;Rare;;Regice;Regice;レジアイス;Pokémon;Water;378;Kazuaki Aihara;https://www.papermoonjapan-annex.com/data/papermoon/product/DP5T10019.JPG;dp5b
