rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;Yukiko Baba;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10112.JPG;dp6
2;2;Rare;;Bouldeneu;Tangrowth;Pokémon;Grass;465;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10395.JPG;dp6
3;3;Uncommon;;Insécateur;Scyther;Pokémon;Grass;123;Mitsuhiro Arita;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10111.JPG;dp6
4;4;Rare;;Cizayox;Scizor;Pokémon;Grass;212;Midori Harada;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10110.JPG;dp6
5;5;Rare Holo;;Jungko;Sceptile;Pokémon;Grass;254;Suwama Chiaki;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10396.JPG;dp6
6;6;Common;;Apitrini;Combee;Pokémon;Grass;415;Miki Tanaka;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10109.JPG;dp6
7;7;Rare;;Apireine;Vespiquen;Pokémon;Grass;416;Kent Kanetsuna;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10397.JPG;dp6
8;8;Common;;Ceribou;Cherubi;Pokémon;Grass;420;Tomokazu Komiya;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10108.JPG;dp6
9;9;Rare;;Ceriflor;Cherrim;Pokémon;Grass;421;Suwama Chiaki;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10398.JPG;dp6
10;10;Common;;Rapion;Skorupi;Pokémon;Grass;451;Sachiko Adachi;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10107.JPG;dp6
11;11;Rare Holo;;Shaymin;Shaymin;;Grass;492;Kagemaru Himeno;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10399.JPG;dp6
12;12;Ultra;Niv.X;Shaymin Niv.X;Shaymin LV.X;;Grass;492;Shizurow;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1463397.jpg;dp6
13;13;Common;;Ponyta;Ponyta;Pokémon;Fire;77;Atsuko Nishida;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10401.JPG;dp6
14;14;Rare;;Galopa;Rapidash;Pokémon;Fire;78;Suwama Chiaki;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10106.JPG;dp6
15;15;Ultra;Niv.X;Heatran Niv.X;Heatran;Pokémon;Fire;485;Shizurow;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148489.jpg;dp6
16;16;Common;;Magicarpe;Magikarp;Pokémon;Water;129;Tomokazu Komiya;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10402.JPG;dp6
17;17;Rare;;Léviator;Gyarados;Pokémon;Water;130;Midori Harada;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10105.JPG;dp6
18;18;Uncommon;;Castorno;Bibarel;Pokémon;Water;400;Kouki Saitou;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10104.JPG;dp6
19;19;Common;;Ecayon;Finneon;Pokémon;Water;456;Kagemaru Himeno;https://www.papermoonjapan-annex.com/data/papermoon/product/Scan10403.JPG;dp6
