rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Chenipotte;Wurmple;Pokémon;Grass;265;Yuka Morii;https://res.cloudinary.com/dkhwpritu/image/upload/v1588353074/modif_dpt/wurmple.jpg;pt1
2;2;Common;;Armulys;Silcoon;Pokémon;Grass;266;Kyoko Umemoto;https://res.cloudinary.com/dkhwpritu/image/upload/v1588353920/modif_dpt/Capture_d_e%CC%81cran_2020-05-01_a%CC%80_19.24.04.png;pt1
3;3;Rare;;Charmillon;Beautifly;Pokémon;Grass;267;Suwama Chiaki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470777.jpg;pt1
4;4;Common;;Blindalys;Cascoon;Pokémon;Grass;268;Yukiko Baba;https://res.cloudinary.com/dkhwpritu/image/upload/v1588353798/modif_dpt/Capture_d_e%CC%81cran_2020-05-01_a%CC%80_19.21.43.png;pt1
5;5;Common;;Nenupiot;Lotad;Pokémon;Grass;270;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1588353072/modif_dpt/Capture_d_e%CC%81cran_2020-05-01_a%CC%80_15.16.07.png;pt1
6;6;Common Holo;;Nenupiot;Lotad;Pokémon;Grass;270;Masakazu Fukuda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476953.jpg;pt1
7;7;Common;;Lombre;Lombre;Pokémon;Grass;271;Midori Harada;https://res.cloudinary.com/dkhwpritu/image/upload/v1588353069/modif_dpt/Capture_d_e%CC%81cran_2020-05-01_a%CC%80_12.12.26.png;pt1
8;8;Rare;;Ludicolo;Ludicolo;Pokémon;Grass;272;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470747.jpg;pt1
9;9;Common;;Cacnéa;Cacnea;Pokémon;Grass;331;Sumiyoshi Kizuki;https://res.cloudinary.com/dkhwpritu/image/upload/v1588353074/modif_dpt/Capture_d_e%CC%81cran_2020-05-01_a%CC%80_15.20.19.png;pt1
10;10;Rare;;Cacturne;Cacturne;Pokémon;Grass;332;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470779.jpg;pt1
11;11;Common;;Crikzik;Kricketot;Pokémon;Grass;401;Kyoko Umemoto;https://images-na.ssl-images-amazon.com/images/I/51OaekvPNdL._SY445_.jpg;pt1
12;12;Rare;;Melokrik;Kricketune;Pokémon;Grass;402;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470780.jpg;pt1
13;13;Rare;;Vortente;Carnivine;Pokémon;Grass;455;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470781.jpg;pt1
14;14;Rare Holo;;Shaymin;Shaymin;Pokémon;Grass;492;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470752.jpg;pt1
15;15;Ultra;Niv. X;Shaymin Niv.X;Shaymin;Pokémon;Grass;492;Shizurow;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1286922.jpg;pt1
16;16;Common;;Goupix;Vulpix;Pokémon;Fire;37;Mitsuhiro Arita;https://pokeca-center.com/images/card_images/PC01-0901-GH016-Pt1.jpg;pt1
17;17;Common Holo;;Goupix;Vulpix;Pokémon;Fire;37;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470753.jpg;pt1
18;18;Rare;;Feunard;Ninetales;Pokémon;Fire;38;Suwama Chiaki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470783.jpg;pt1
19;19;Uncommon;;Démolosse;Houndoom;Pokémon;Fire;229;Kent Kanetsuna;https://res.cloudinary.com/dkhwpritu/image/upload/v1588353074/modif_dpt/hoondoom.jpg;pt1
20;20;Common;;Poussifeu;Torchic;Pokémon;Fire;255;Naoyo Kimura;https://pokeca-center.com/images/card_images/PC01-0901-GH020-Pt1.jpg;pt1
21;21;Uncommon;;Galifeu;Combusken;Pokémon;Fire;256;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1588353069/modif_dpt/Capture_d_e%CC%81cran_2020-05-01_a%CC%80_12.20.48.png;pt1
22;22;Rare Holo;;Brasegali;Blaziken;Pokémon;Fire;257;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148442.jpg;pt1
23;23;Common;;Carapuce;Squirtle;Pokémon;Water;7;Masakazu Fukuda;https://images-na.ssl-images-amazon.com/images/I/51bCICfmiQL._AC_SY445_.jpg;pt1
24;24;Uncommon;;Carabaffe;Wartortle;Pokémon;Water;8;Midori Harada;https://images-na.ssl-images-amazon.com/images/I/51a6IhYksVL._SY445_.jpg;pt1
25;25;Rare Holo;;Tortank;Blastoise;Pokémon;Water;9;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476898.jpg;pt1
26;26;Common;;Psykokwak;Psyduck;Pokémon;Water;54;Tomokazu Komiya;https://images-na.ssl-images-amazon.com/images/I/51UYR0vCu4L._SY445_.jpg;pt1
27;27;Rare;;Akwakwak;Golduck;Pokémon;Water;55;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470784.jpg;pt1
28;28;Rare;;Léviator G;Gyarados G;Pokémon;Water;130;Kent Kanetsuna;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470785.jpg;pt1
29;29;Common;;Remoraid;Remoraid;Pokémon;Water;223;Miki Tanaka;https://images-fe.ssl-images-amazon.com/images/I/51OOOUDU9qL._SY445_QL70_.jpg;pt1
30;30;Rare;;Octillery;Octillery;Pokémon;Water;224;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470757.jpg;pt1
31;31;Rare;;Lovdisc;Luvdisc;Pokémon;Water;370;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470758.jpg;pt1
32;32;Rare Holo;;Palkia G;Palkia G;Pokémon;Water;484;Yusuke Ishikawa;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470759.jpg;pt1
33;33;Ultra;Niv. X;Palkia G Niv.X;Palkia G;Pokémon;Water;484;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148529.jpg;pt1
34;34;Common;;Wattouat;Mareep;Pokémon;Lightning;179;Yuka Morii;https://res.cloudinary.com/dkhwpritu/image/upload/v1588353069/modif_dpt/Capture_d_e%CC%81cran_2020-05-01_a%CC%80_12.25.51.png;pt1
35;35;Uncommon;;Lainergie;Flaaffy;Pokémon;Lightning;180;Sumiyoshi Kizuki;https://res.cloudinary.com/dkhwpritu/image/upload/v1588353073/modif_dpt/flaffy.jpg;pt1
36;36;Rare Holo;;Pharamp;Ampharos;Pokémon;Lightning;181;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148436.jpg;pt1
