rank;number;rarety_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;Smogo;Koffing;Pokémon;Grass;109;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167985.jpg;ecard1
2;2;Common;Granivol;Hoppip;Pokémon;Grass;187;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167979.jpg;ecard1
3;3;Common;Chenipan;Caterpie;Pokémon;Grass;10;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167935.jpg;ecard1
4;4;Common;Abo;Ekans;Pokémon;Grass;23;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167955.jpg;ecard1
5;5;Common;Mystherbe;Oddish;Pokémon;Grass;43;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168011.jpg;ecard1
6;6;Common;Goupix;Vulpix;Pokémon;Fire;37;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168051.jpg;ecard1
7;7;Common;Ponyta;Ponyta;Pokémon;Fire;77;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168025.jpg;ecard1
8;8;Common;Ptitard;Poliwag;Pokémon;Water;60;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168021.jpg;ecard1
9;9;Common;Kokiyas;Shellder;Pokémon;Water;90;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168036.jpg;ecard1
10;10;Common;Krabby;Krabby;Pokémon;Water;98;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167986.jpg;ecard1
11;11;Common;Poissirène;Goldeen;Pokémon;Water;118;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167972.jpg;ecard1
12;12;Common;Magicarpe;Magikarp;Pokémon;Water;129;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167995.jpg;ecard1
13;13;Common;Marill;Marill;Pokémon;Water;183;Satoshi Ohta;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167998.jpg;ecard1
14;14;Common;Qwilfish;Qwilfish;Pokémon;Water;211;Toshinao Aoki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168030.jpg;ecard1
15;15;Common;Corayon;Corsola;Pokémon;Water;222;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167945.jpg;ecard1
16;16;Common;Pikachu;Pikachu;Pokémon;Lightning;25;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168018.jpg;ecard1
17;17;Common;Wattouat;Mareep;Pokémon;Lightning;179;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167997.jpg;ecard1
18;18;Common;Abra;Abra;Pokémon;Psychic;63;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167924.jpg;ecard1
19;19;Common;Fantominus;Gastly;Pokémon;Psychic;92;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167967.jpg;ecard1
20;20;Common;Taupiqueur;Diglett;Pokémon;Fighting;50;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167947.jpg;ecard1
21;21;Common;Machoc;Machop;Pokémon;Fighting;66;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167992.jpg;ecard1
22;22;Common;Racaillou;Geodude;Pokémon;Fighting;74;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167970.jpg;ecard1
23;23;Common;Osselait;Cubone;Pokémon;Fighting;104;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167946.jpg;ecard1
24;24;Common;Embrylex;Larvitar;Pokémon;Fighting;246;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167987.jpg;ecard1
25;25;Common;Roucool;Pidgey;Pokémon;Colorless;16;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168017.jpg;ecard1
26;26;Common;Rattata;Rattata;Pokémon;Colorless;19;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168035.jpg;ecard1
27;27;Common;Piafabec;Spearow;Pokémon;Colorless;21;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168039.jpg;ecard1
28;28;Common;Mélofée;Clefairy;Pokémon;Colorless;35;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167941.jpg;ecard1
29;29;Common;Miaouss;Meowth;Pokémon;Colorless;52;Hironobu Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168002.jpg;ecard1
30;30;Common;Tauros;Tauros;Pokémon;Colorless;128;Yuichi Sawayama;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168042.jpg;ecard1
31;31;Common;Minidraco;Dratini;Pokémon;Colorless;147;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167951.jpg;ecard1
32;32;Common;Malosse;Houndour;Pokémon;Darkness;228;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167980.jpg;ecard1
33;33;Uncommon;Chrysacier;Metapod;Pokémon;Grass;11;Yuichi Sawayama;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168003.jpg;ecard1
34;34;Uncommon;Ortide;Gloom;Pokémon;Grass;44;Yuichi Sawayama;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167971.jpg;ecard1
35;35;Uncommon;Magmar;Magmar;Pokémon;Fire;126;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167996.jpg;ecard1
36;36;Uncommon;Têtarte;Poliwhirl;Pokémon;Water;61;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168022.jpg;ecard1
37;37;Uncommon;Lippoutou;Jynx;Pokémon;Water;124;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167981.jpg;ecard1
38;38;Uncommon;Elektek;Electabuzz;Pokémon;Lightning;125;Hiroaki Ito;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167956.jpg;ecard1
39;39;Uncommon;Lainergie;Flaaffy;Pokémon;Lightning;180;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167966.jpg;ecard1
40;40;Uncommon;Kadabra;Kadabra;Pokémon;Psychic;64;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167982.jpg;ecard1
41;41;Uncommon;Spectrum;Haunter;Pokémon;Psychic;93;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167977.jpg;ecard1
42;42;Uncommon;Machopeur;Machoke;Pokémon;Fighting;67;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167991.jpg;ecard1
43;43;Uncommon;Gravalanch;Graveler;Pokémon;Fighting;75;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167976.jpg;ecard1
44;44;Uncommon;Kicklee;Hitmonlee;Pokémon;Fighting;106;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167978.jpg;ecard1
45;45;Uncommon;Ymphect;Pupitar;Pokémon;Fighting;247;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168029.jpg;ecard1
46;46;Uncommon;Roucoups;Pidgeotto;Pokémon;Colorless;17;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168016.jpg;ecard1
47;47;Uncommon;Leveinard;Chansey;Pokémon;Colorless;113;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167936.jpg;ecard1
48;48;Uncommon;Draco;Dragonair;Pokémon;Colorless;148;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167948.jpg;ecard1
49;49;Uncommon;Méthode d'entraînement du Professeur Orme;Professor Elm's Training Method;Trainer;NoColor;;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168026.jpg;ecard1
50;50;Uncommon;Restauration d'Énergie;Energy Restore;Trainer;NoColor;;Hideyuki Nakajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167959.jpg;ecard1
