rank;number;size;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;/001;/088;Common;;Nosférapti;Zubat;ズバット;Pokémon;Grass;41;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169239.jpg;ecard4
2;/002;/088;Common;;Nosférapti;Zubat;ズバット;Pokémon;Grass;41;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169240.jpg;ecard4
3;/003;/088;Common;;Nosféralto;Golbat;ゴルバット;Pokémon;Grass;42;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169170.jpg;ecard4
4;/004;/088;Common;;Coxy;Ledyba;レディバ;Pokémon;Grass;165;Masako Yamashita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169182.jpg;ecard4
5;/005;/088;Common;;Coxy;Ledyba;レディバ;Pokémon;Grass;165;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169183.jpg;ecard4
6;/006;/088;Rare;;Coxyclaque;Ledian;レディアン;Pokémon;Grass;166;Hikaru Koike;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169180.jpg;ecard4
7;/007;/088;Rare Holo;;Coxyclaque;Ledian;レディアン;Pokémon;Grass;166;Hikaru Koike;https://res.cloudinary.com/dkhwpritu/image/upload/v1587451731/modifs/Capture_d_e%CC%81cran_2020-04-21_a%CC%80_08.40.05.png;ecard4
8;/008;/088;Rare;;Nostenfer;Crobat;クロバット;Pokémon;Grass;169;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169156.jpg;ecard4
9;/009;/088;Rare Holo;;Nostenfer;Crobat;クロバット;Pokémon;Grass;169;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169157.jpg;ecard4
10;/010;/088;Common;;Yanma;Yanma;ヤンヤンマ;Pokémon;Grass;193;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169238.jpg;ecard4
