rank;number;en_name;jap_url;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
1;001/018;Bulbasaur;https://cdn.bulbagarden.net/upload/c/cd/BulbasaurMcDonaldPack1.jpg;—;;;;;;;
2;002/018;Oddish;https://cdn.bulbagarden.net/upload/a/a2/OddishMcDonaldPack2.jpg;—;;;;;;;
3;003/018;Chikorita;https://cdn.bulbagarden.net/upload/7/76/ChikoritaMcDonaldPack3.jpg;—;;;;;;;
4;004/018;Charmander;https://cdn.bulbagarden.net/upload/6/60/CharmanderMcDonaldPack4.jpg;—;;;;;;;
5;005/018;Vulpix;https://cdn.bulbagarden.net/upload/9/9f/VulpixMcDonaldPack5.jpg;—;;;;;;;
6;006/018;Cyndaquil;https://cdn.bulbagarden.net/upload/c/cb/CyndaquilMcDonaldPack6.jpg;—;;;;;;;
7;007/018;Squirtle;https://cdn.bulbagarden.net/upload/7/77/SquirtleMcDonaldPack7.jpg;—;;;;;;;
8;008/018;Totodile;https://cdn.bulbagarden.net/upload/7/72/TotodileMcDonaldPack8.jpg;—;;;;;;;
9;009/018;Marill;https://cdn.bulbagarden.net/upload/4/40/MarillMcDonaldPack9.jpg;—;;;;;;;
10;010/018;Pikachu;https://cdn.bulbagarden.net/upload/c/c2/PikachuMcDonaldPack10.jpg;—;;;;;;;
11;011/018;Chinchou;https://cdn.bulbagarden.net/upload/a/a9/ChinchouMcDonaldPack11.jpg;—;;;;;;;
12;012/018;Mareep;https://cdn.bulbagarden.net/upload/5/5f/MareepMcDonaldPack12.jpg;—;;;;;;;
13;013/018;Abra;https://cdn.bulbagarden.net/upload/2/2b/AbraMcDonaldPack13.jpg;—;;;;;;;
14;014/018;Slowpoke;https://cdn.bulbagarden.net/upload/7/77/SlowpokeMcDonaldPack14.jpg;—;;;;;;;
15;015/018;Natu;https://cdn.bulbagarden.net/upload/6/6e/NatuMcDonaldPack15.jpg;—;;;;;;;
16;016/018;Sandshrew;https://cdn.bulbagarden.net/upload/f/f9/SandshrewMcDonaldPack16.jpg;—;;;;;;;
17;017/018;Phanpy;https://cdn.bulbagarden.net/upload/f/f3/PhanpyMcDonaldPack17.jpg;—;;;;;;;
18;018/018;Larvitar;https://cdn.bulbagarden.net/upload/2/22/LarvitarMcDonaldPack18.jpg;—;;;;;;;
19;;Grass Energy;;;;;;;;;
20;;Fire Energy;;;;;;;;;
21;;Water Energy;;;;;;;;;
22;;Lightning Energy;;;;;;;;;
23;;Psychic Energy;;;;;;;;;
24;;Fighting Energy;;;;;;;;;
