rank;number;en_name;jap_url;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
1;001/P;Kecleon;https://cdn.bulbagarden.net/upload/2/2e/KecleonPPromo1.jpg;;;;;;;;
2;002/P;Rocket's Scizor;wip;;;;;;;;
3;003/P;Rocket's Sneasel;https://images-na.ssl-images-amazon.com/images/I/51DsMfnuLWL._AC_.jpg;;;;;;;;
4;004/P;Pikachu;https://cdn.bulbagarden.net/upload/4/4a/PikachuPPromo4.jpg;;;;;;;;
5;005/P;Larvitar;https://cdn.bulbagarden.net/upload/7/79/LarvitarPPromo5.jpg;;;;;;;;
6;006/P;Celebi;wip;;;;;;;;
7;007/P;Celebi;https://cdn.bulbagarden.net/upload/6/61/CelebiPPromo7.jpg;;;;;;;;
8;008/P;Tropical Wind;https://cdn.bulbagarden.net/upload/b/b3/TropicalWindPPromo8.jpg;;;;;;;;
9;009/P;Bill;https://cdn.bulbagarden.net/upload/c/c5/BillPPromo9.jpg;;;;;;;;
10;010/P;Ho-Oh;wip;;;;;;;;
11;011/P;Rapidash;wip;;;;;;;;
12;012/P;Venusaur;wip;;;;;;;;
13;013/P;Blastoise;wip;;;;;;;;
14;014/P;Charizard;wip;;;;;;;;
15;015/P;Meganium;https://cdn.suruga-ya.jp/database/pics_light/game/g6875028.jpg;;;;;;;;
16;016/P;Feraligatr;https://cdn.bulbagarden.net/upload/d/db/FeraligatrExpedition46.jpg;;;;;;;;
17;017/P;Typhlosion;wip;;;;;;;;
18;018/P;Shining Imakuni?;https://cdn.bulbagarden.net/upload/d/da/ShiningImakuniPPromo18.jpg;;;;;;;;
19;019/P;Pokémon Center Tokyo;https://cdn.bulbagarden.net/upload/3/3d/Pok%C3%A9monCenterTokyoPPromo19.jpg;;;;;;;;
20;020/P;Pokémon Center Osaka;Wip;;;;;;;;
21;021/P;Pikachu;Wip;;;;;;;;
22;022/P;Wooper;https://cdn.bulbagarden.net/upload/4/42/WooperPPromo22.jpg;;;;;;;;
23;023/P;Tyrogue;https://cdn.bulbagarden.net/upload/5/58/TyroguePPromo23.jpg;;;;;;;;
24;024/P;Zapdos;Wip;;;;;;;;
25;025/P;Umbreon;wip;;;;;;;;
26;026/P;Suicune;https://www.suruga-ya.jp/database/pics_light/game/g6875039.jpg;;;;;;;;
27;027/P;Touch Generation Change!;Wip;;;;;;;;
28;028/P;Pichu Bros.;https://cdn.bulbagarden.net/upload/d/da/PichuBrosPPromo28.jpg;;;;;;;;
29;029/P;Hoppip;Wip;;;;;;;;
30;030/P;Growlithe;Wip;;;;;;;;
31;031/P;Lanturn;https://cdn.bulbagarden.net/upload/6/63/LanturnPPromo31.jpg;;;;;;;;
32;032/P;Pichu;https://cdn.bulbagarden.net/upload/4/4a/PichuPPromo32.jpg;;;;;;;;
33;033/P;Mew;Wip;;;;;;;;
34;034/P;Donphan;https://cdn.bulbagarden.net/upload/3/3c/DonphanPPromo34.jpg;;;;;;;;
35;035/P;Togepi;https://cdn.bulbagarden.net/upload/8/80/TogepiPPromo35.jpg;;;;;;;;
36;036/P;Sneasel;https://cdn.bulbagarden.net/upload/d/da/SneaselPPromo36.jpg;;;;;;;;
37;037/P;Scizor;https://cdn.bulbagarden.net/upload/3/38/ScizorPPromo37.jpg;;;;;;;;
38;038/P;Pikachu;https://cdn.bulbagarden.net/upload/2/2e/PikachuPPromo38.jpg;;;;;;;;
39;039/P;Crystal Energy;https://cdn.bulbagarden.net/upload/e/ee/CrystalEnergyPPromo39.jpg;;;;;;;;
40;040/P;Boost Energy;https://cdn.bulbagarden.net/upload/a/a7/BoostEnergyPPromo40.jpg;;;;;;;;
41;041/P;Warp Energy;https://cdn.bulbagarden.net/upload/f/f2/WarpEnergyPPromo41.jpg;;;;;;;;
42;042/P;Celebi;Wip;;;;;;;;
43;043/P;Entei;https://cdn.bulbagarden.net/upload/3/37/EnteiPPromo43.jpg;;;;;;;;
44;044/P;Pikachu;https://cdn.bulbagarden.net/upload/d/d8/PikachuPPromo44.jpg;;;;;;;;
45;045/P;Pichu;https://cdn.bulbagarden.net/upload/9/94/PichuPPromo45.jpg;;;;;;;;
46;046/P;Mewtwo;https://cdn.bulbagarden.net/upload/0/02/MewtwoPPromo46.jpg;;;;;;;;
47;047/P;Lugia;https://cdn.bulbagarden.net/upload/0/00/LugiaPPromo47.jpg;;;;;;;;
