rank;number;en_name;jap_url;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
1;1;Oakley's Ariados;Wip;—;;;;;;;
2;2;Brock's Crobat;https://cdn.bulbagarden.net/upload/6/6c/BrockCrobatTheaterVSPack2.jpg;—;;;;;;;
3;3;Misty's Politoed;https://cdn.bulbagarden.net/upload/6/6c/MistyPolitoedTheaterVSPack3.jpg;—;;;;;;;
4;4;Misty's Corsola;https://cdn.bulbagarden.net/upload/a/a8/MistyCorsolaTheaterVSPack4.jpg;—;;;;;;;
5;5;Ross's Wailmer;https://cdn.bulbagarden.net/upload/0/05/RossWailmerTheaterVSPack5.jpg;—;;;;;;;
6;6;Alto Mare's Xatu;Wip;—;;;;;;;
7;7;Annie's Espeon;https://cdn.bulbagarden.net/upload/1/1f/AnnieEspeonTheaterVSPack7.jpg;—;;;;;;;
8;8;Alto Mare's Kabutops;https://cdn.bulbagarden.net/upload/2/2f/AltoMareKabutopsTheaterVSPack8.jpg;—;;;;;;;
9;9;Alto Mare's Aerodactyl;https://cdn.bulbagarden.net/upload/e/e6/AltoMareAerodactylTheaterVSPack9.jpg;—;;;;;;;
10;10;Alto Mare's Pidgeotto;https://cdn.bulbagarden.net/upload/6/6c/AltoMarePidgeottoTheaterVSPack10.jpg;—;;;;;;;
11;11;Alto Mare's Latias;https://cdn.bulbagarden.net/upload/8/80/AltoMareLatiasTheaterVSPack11.jpg;—;;;;;;;
12;12;Alto Mare's Latios;Wip;—;;;;;;;
13;13;Energy Restore;https://www.suruga-ya.jp/database/pics_light/game/g6875591.jpg;—;;;;;;;
14;14;Energy Search;https://www.suruga-ya.jp/database/pics_light/game/g6875592.jpg;—;;;;;;;
15;15;Potion;https://www.suruga-ya.jp/database/pics_light/game/g6875593.jpg;—;;;;;;;
16;16;Soul Dew;Wip;—;;;;;;;
17;17;Switch;https://cdn.bulbagarden.net/upload/4/4e/SwitchExpedition157.jpg;—;;;;;;;
18;18;Alto Mare Cube;https://cdn.bulbagarden.net/upload/f/fa/AltoMareCubeTheaterVSPack18.jpg;—;;;;;;;
19;;Grass Energy;Wip;;;;;;;;
20;;Water Energy;Wip;;;;;;;;
21;;Psychic Energy;Wip;;;;;;;;
22;;Fighting Energy;Wip;;;;;;;;
