rank;number;en_name;jap_url;rarety_type;ultra_type;fr_name;super_type;energy;pokedex_number;artist;list
4;004/T;Slowpoke;https://cdn.bulbagarden.net/upload/a/a7/SlowpokeTPromo4.jpg;;;;;;;;
5;005/T;Slowbro;https://cdn.bulbagarden.net/upload/2/20/SlowbroTPromo5.jpg;;;;;;;;
6;006/T;Slowking;https://cdn.bulbagarden.net/upload/b/be/SlowkingTPromo6.jpg;;;;;;;;
7;007/T;Bayleef;https://cdn.bulbagarden.net/upload/3/3e/BayleefTPromo7.jpg;;;;;;;;
8;008/T;Quilava;https://cdn.bulbagarden.net/upload/4/4d/QuilavaTPromo8.jpg;;;;;;;;
9;009/T;Croconaw;https://cdn.bulbagarden.net/upload/0/01/CroconawTPromo9.jpg;;;;;;;;
10;010/T;Ivysaur;https://cdn.bulbagarden.net/upload/c/c2/IvysaurTPromo10.jpg;;;;;;;;
11;011/T;Charmeleon;https://cdn.bulbagarden.net/upload/d/d1/CharmeleonTPromo11.jpg;;;;;;;;
16;016/T;Dratini;https://cdn.bulbagarden.net/upload/e/e3/DratiniTPromo16.jpg;;;;;;;;
17;017/T;Dragonair;https://cdn.bulbagarden.net/upload/3/3e/DragonairTPromo17.jpg;;;;;;;;
18;018/T;Dragonite;https://cdn.bulbagarden.net/upload/0/01/DragoniteTPromo18.jpg;;;;;;;;
