rank;number;rarety_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;Roucarnage d'Albert;Falkner's Pidgeot;ハヤトのピジョット;Pokémon;Colorless;18;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169413.jpg;ecardvs
2;2;Common;Rapasdepic d'Albert;Falkner's Fearow;ハヤトのオニドリル;Pokémon;Colorless;22;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169412.jpg;ecardvs
3;3;Common;Canarticho d'Albert;Falkner's Farfetch'd;ハヤトのカモネギ;Pokémon;Colorless;83;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169411.jpg;ecardvs
4;4;Common;Dodrio d'Albert;Falkner's Dodrio;ハヤトのドードリオ;Pokémon;Colorless;85;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169410.jpg;ecardvs
5;5;Common;Togetic d'Albert;Falkner's Togetic;ハヤトのトゲチック;Pokémon;Colorless;176;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169416.jpg;ecardvs
6;6;Common;Cadoizo d'Albert;Falkner's Delibird;ハヤトのデリバード;Pokémon;Colorless;225;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169409.jpg;ecardvs
7;7;Rare Holo;Airmure d'Albert;Falkner's Skarmory;ハヤトのエアームド;Pokémon;Metal;227;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148469.jpg;ecardvs
8;8;Common;Papilusion d'Hector;Bugsy's Butterfree;ツクシのバタフリー;Pokémon;Grass;12;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169379.jpg;ecardvs
9;9;Common;Dardargnan d'Hector;Bugsy's Beedrill;ツクシのスピアー;Pokémon;Grass;15;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169378.jpg;ecardvs
10;10;Common;Scarabrute d'Hector;Bugsy's Pinsir;ツクシのカイロス;Pokémon;Grass;127;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169381.jpg;ecardvs
11;11;Common;Coxyclaque d'Hector;Bugsy's Ledian;ツクシのレディアン;Pokémon;Grass;116;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169380.jpg;ecardvs
12;12;Common;Yanma d'Hector;Bugsy's Yanma;ツクシのヤンヤンマ;Pokémon;Grass;193;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169385.jpg;ecardvs
13;13;Rare Holo;Cizayox d'Hector;Bugsy's Scizor;ツクシのハッサム;Pokémon;Metal;212;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169382.jpg;ecardvs
14;14;Common;Mélodelfe de Blanche;Whitney's Clefable;アカネのピクシー;Pokémon;Colorless;36;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169491.jpg;ecardvs
15;15;Common;Grodoudou de Blanche;Whitney's Wigglytuff;アカネのプクリン;Pokémon;Colorless;40;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169498.jpg;ecardvs
16;16;Common;Persian de Blanche;Whitney's Persian;アカネのペルシアン;Pokémon;Colorless;53;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169495.jpg;ecardvs
17;17;Common;Excelangue de Blanche;Whitney's Lickitung;アカネのベロリンガ;Pokémon;Colorless;108;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169493.jpg;ecardvs
18;18;Common;Fouinar de Blanche;Whitney's Furret;アカネのオオタチ;Pokémon;Colorless;162;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169492.jpg;ecardvs
19;19;Common;Ecremeuh de Blanche;Whitney's Miltank;アカネのミルタンク;Pokémon;Colorless;241;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169494.jpg;ecardvs
20;20;Common;Feunard de Mortimer;Morty's Ninetales;マツバのマツバ;Pokémon;Fire;38;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169466.jpg;ecardvs
21;21;Common;Ectoplasma de Mortimer;Morty's Gengar;マツバのゲンガー;Pokémon;Psychic;94;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169462.jpg;ecardvs
22;22;Common;Hypnomade de Mortimer;Morty's Hypno;マツバのスリーパー;Pokémon;Psychic;97;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169463.jpg;ecardvs
23;23;Common;Ossatueur de Mortimer;Morty's Marowak;マツバのガラガラ;Pokémon;Fighting;105;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169464.jpg;ecardvs
24;24;Common;Noarfang de Mortimer;Morty's Noctowl;マツバのヨルノズク;Pokémon;Colorless;164;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169467.jpg;ecardvs
25;25;Rare Holo;Cornèbre de Mortimer;Morty's Murkrow;マツバのヤミカラス;Pokémon;Darkness;198;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148524.jpg;ecardvs
26;26;Common;Feuforêve de Mortimer;Morty's Misdreavus;マツバのムウマ;Pokémon;Psychic;200;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169465.jpg;ecardvs
27;27;Common;Raichu de Jasmine;Jasmine's Raichu;ミカンのライチュウ;Pokémon;Lightning;26;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169434.jpg;ecardvs
28;28;Common;Magnéton de Jasmine;Jasmine's Magneton;ミカンのレアコイル;Pokémon;Lightning;82;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169433.jpg;ecardvs
29;29;Common;Elektek de Jasmine;Jasmine's Electabuzz;ミカンのエレブー;Pokémon;Lightning;125;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169431.jpg;ecardvs
