rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Grainipiot;Seedot;Pokémon;Grass;273;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/cdc85eb0d1d811e5a49bf352c2f77c99/seedot.jpg;ex2
2;2;Uncommon;;Pifeuil;Nuzleaf;Pokémon;Grass;274;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/e755ec90d1d711e59b527b7970d928a3/Nuzleaf.jpg;ex2
3;3;Rare Holo;;Tengalice;Shiftry;Pokémon;Grass;275;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/dfd3a9c0d1d811e5a0d9a7e2979a2522/shiftry.jpg;ex2
4;4;Rare;;Muciole;Volbeat;Pokémon;Grass;313;Kyoko Umemoto;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/fee352c0d1d811e5a0d9a7e2979a2522/volbeat.jpg;ex2
5;5;Rare;;Lumivole;Illumise;Pokémon;Grass;314;Kyoko Umemoto;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/2ae60680d1d711e5bba95dba1718f51b/other%20volbeat.jpg;ex2
6;6;Uncommon;;Cacnéa;Cacnea;Pokémon;Grass;331;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/616c4440d1d611e5afe1d1d1276b27c7/Cacnea.jpg;ex2
7;7;Rare Holo;;Cacturne;Cacturne;Pokémon;Grass;332;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/6bf73dc0d1d611e5a2dea16a64fc095b/cacturne.jpg;ex2
8;8;Rare Holo;;Seviper;Seviper;Pokémon;Grass;336;Hajime Kusajima;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/efa27ce0d1d911e594a33372a0f38a9d/seviper.jpg;ex2
9;9;Uncommon;;Lilia;Lileep;Pokémon;Grass;345;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/5d9926c0d1d711e5a26e3da09efbe53d/lileep.jpg;ex2
10;10;Rare Holo;;Vacilys;Cradily;Pokémon;Grass;346;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/a1095ca0d1d611e5a0d9a7e2979a2522/Cradily.jpg;ex2
11;11;Common;;Héricendre;Cyndaquil;Pokémon;Fire;155;Naoyo Kimura;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/c6a9a000d1d611e59d9a7fc0bebf2f7a/cyndaquil.jpg;ex2
12;12;Rare;;Feurisson;Quilava;Pokémon;Fire;156;Naoyo Kimura;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/706b00b0d1d811e586e3379f27a3e451/quilava.jpg;ex2
13;13;Ultra;ex;Typhlosion ex;Typhlosion ex;Pokémon;Fire;157;Hikaru Koike;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/de2519f0d1d911e581ed73d3c010dcbe/typhlosion.jpg;ex2
14;14;Common;;Psykokwak;Psyduck;Pokémon;Water;54;Kouki Saitou;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/5214bca0d1d811e5a2dea16a64fc095b/psyduck.jpg;ex2
15;15;Rare;;Akwakwak;Golduck;Pokémon;Water;55;Hajime Kusajima;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/06e9fd40d1d711e5a0d9a7e2979a2522/golduck.jpg;ex2
16;16;Common;;Marill;Marill;Pokémon;Water;183;Mitsuhiro Arita;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/a4279c80d1ea11e59d9a7fc0bebf2f7a/azurill.jpg;ex2
17;17;Rare;;Azumarill;Azumarill;Pokémon;Water;184;Mitsuhiro Arita;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/35d5f8d0d1d611e5a49bf352c2f77c99/Azumarill.jpg;ex2
18;18;Common;;Nenupiot;Lotad;Pokémon;Water;270;Tomokazu Komiya;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/84994840d1d711e5970ff9195273f653/lotad.jpg;ex2
19;19;Rare;;Lombre;Lombre;Pokémon;Water;271;Tomokazu Komiya;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/6f6f5810d1d711e5b94cdbff72d36703/hat%20platypus.jpg;ex2
20;20;Rare Holo;;Ludicolo;Ludicolo;Pokémon;Water;272;Tomokazu Komiya;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/8f3ef5b0d1d711e58331a7e4f9d3924d/ludicolo.jpg;ex2
21;21;Ultra;ex;Wailord ex;Wailord ex;Pokémon;Water;321;Ryo Ueda;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/0ca8ddd0d1d911e5a49bf352c2f77c99/wailord.jpg;ex2
22;22;Common;;Pikachu;Pikachu;Pokémon;Lightning;25;Mitsuhiro Arita;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/3ed55e60d1d811e586e3379f27a3e451/pikachu.jpg;ex2
23;23;Ultra;ex;Raichu ex;Raichu ex;Pokémon;Lightning;26;Ryo Ueda;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/7e677a40d1d811e58346575147f8cd74/raichu.jpg;ex2
24;24;Rare;;Pichu;Pichu;Pokémon;Lightning;172;Naoyo Kimura;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/f7b116a0d1d711e58662a34f25c8b392/pichu.jpg;ex2
25;25;Common;;Natu;Natu;Pokémon;Psychic;177;Kouki Saitou;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/c9cc9570d1d711e58331a7e4f9d3924d/natu.jpg;ex2
26;26;Rare;;Xatu;Xatu;Pokémon;Psychic;178;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/509ccd30d1d911e584927dd1e0f608cf/xatu.jpg;ex2
27;27;Rare;;Qulbutoke;Wobbuffet;Pokémon;Psychic;202;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/267b4770d1d911e586e3379f27a3e451/wobuffet.jpg;ex2
28;28;Ultra;ex;Gardevoir ex;Gardevoir ex;Pokémon;Psychic;282;Hikaru Koike;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/fd6995f0d1d611e5a49bf352c2f77c99/gardevoir.jpg;ex2
29;29;Rare Holo;;Séléroc;Lunatone;Pokémon;Psychic;337;Hajime Kusajima;https://res.cloudinary.com/dkhwpritu/image/upload/v1557048160/modifs/luna.jpg;ex2
30;30;Un;;Skelenox;Duskull;Pokémon;Psychic;355;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/f0812470d1d611e586e3379f27a3e451/duskull.jpg;ex2
31;31;Rare Holo;;Teraclope;Dusclops;Pokémon;Psychic;356;Midori Harada;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/dcb38ff0d1d611e5b7dd4752ce950c96/dusclups.jpg;ex2
32;32;Uncommon;;Okéoké;Wynaut;Pokémon;Psychic;360;Kagemaru Himeno;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/2e827c40d1d911e5a49bf352c2f77c99/wwwwwwww.jpg;ex2
