rank;number;rarety_type;ultra_type;fr_name;en_name;serie;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Mystherbe;Oddish;1;Pokémon;Grass;43;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478618.jpg;ex9
2;2;Common;;Ortide;Gloom;1;Pokémon;Grass;44;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478619.jpg;ex9
3;3;Rare;;Insécateur;Scyther;1;Pokémon;Grass;123;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478620.jpg;ex9
4;4;Rare Holo;;Méganium;Meganium;1;Pokémon;Grass;154;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478621.jpg;ex9
5;5;Common;;Mimigal;Spinarak;1;Pokémon;Grass;167;Sachiko Adachi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478622.jpg;ex9
6;6;Rare Holo;;Migalos;Ariados;1;Pokémon;Grass;168;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478623.jpg;ex9
7;7;Rare Holo;;Joliflor;Bellossom;1;Pokémon;Grass;182;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478624.jpg;ex9
8;8;Common;;Tournegrin;Sunkern;1;Pokémon;Grass;191;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478625.jpg;ex9
9;9;Rare Holo;;Heliatronc;Sunflora;1;Pokémon;Grass;192;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478626.jpg;ex9
10;10;Uncommon;;Yanma;Yanma;1;Pokémon;Grass;193;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478627.jpg;ex9
