rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Aspicot;Weedle;Pokémon;Grass;13;Kyoko Umemoto;https://pod.pokellector.com/cards/247/Weedle.L1.1.21729.png;l1a
2;2;Uncommon;;Coconfort;Kakuna;Pokémon;Grass;14;Kyoko Umemoto;https://pod.pokellector.com/cards/247/Kakuna.L1.2.21730.png;l1a
3;3;Rare;;Dardargnan;Beedrill;Pokémon;Grass;15;Kyoko Umemoto;https://pod.pokellector.com/cards/247/Beedrill.L1.3.21731.png;l1a
4;4;Common;;Mimigal;Spinarak;Pokémon;Grass;167;Ken Sugimori;https://pod.pokellector.com/cards/247/Spinarak.L1.4.21732.png;l1a
5;5;Rare;;Migalos;Ariados;Pokémon;Grass;168;Ken Sugimori;https://pod.pokellector.com/cards/247/Ariados.L1.5.21733.png;l1a
6;6;Common;;Granivol;Hoppip;Pokémon;Grass;187;sui;https://pod.pokellector.com/cards/247/Hoppip.L1.6.21734.png;l1a
7;7;Common;;Floravol;Skiploom;Pokémon;Grass;188;sui;https://pod.pokellector.com/cards/247/Skiploom.L1.7.21735.png;l1a
8;8;Rare Holo;;Cotovol;Jumpluff;Pokémon;Grass;189;sui;https://pod.pokellector.com/cards/247/Jumpluff.L1.8.21736.png;l1a
9;9;Common;;Tournegrin;Sunkern;Pokémon;Grass;191;Yuka Morii;https://pod.pokellector.com/cards/247/Sunkern.L1.9.21737.png;l1a
10;10;Rare;;Heliatronc;Sunflora;Pokémon;Grass;192;Yuka Morii;https://pod.pokellector.com/cards/247/Sunflora.L1.10.21738.png;l1a
11;11;Rare Holo;;Caratroc;Shuckle;Pokémon;Grass;213;Sumiyoshi Kizuki;https://pod.pokellector.com/cards/247/Shuckle.L1.11.21739.png;l1a
12;12;Uncommon;;Scarhino;Heracross;Pokémon;Grass;214;Sachiko Adachi;https://pod.pokellector.com/cards/247/Heracross.L1.12.21740.png;l1a
