rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Chenipan;Caterpie;Pokémon;Grass;10;Tomokazu Komiya;https://pod.pokellector.com/cards/248/Caterpie.L1.1.21798.png;l1b
2;2;Uncommon;;Chrysacier;Metapod;Pokémon;Grass;11;Tomokazu Komiya;https://pod.pokellector.com/cards/248/Metapod.L1.2.21799.png;l1b
3;3;Rare;;Papilusion;Butterfree;Pokémon;Grass;12;Tomokazu Komiya;https://pod.pokellector.com/cards/248/Butterfree.L1.3.21800.png;l1b
4;4;Common;;Paras;Paras;Pokémon;Grass;46;Midori Harada;https://pod.pokellector.com/cards/248/Paras.L1.4.21801.png;l1b
5;5;Uncommon;;Parasect;Parasect;Pokémon;Grass;47;Midori Harada;https://pod.pokellector.com/cards/248/Parasect.L1.5.21802.png;l1b
6;6;Common;;Germignon;Chikorita;Pokémon;Grass;152;Shin Nagasawa;https://pod.pokellector.com/cards/248/Chikorita.L1.6.21803.png;l1b
7;7;Common;;Macronium;Bayleef;Pokémon;Grass;153;Shin Nagasawa;https://pod.pokellector.com/cards/248/Bayleef.L1.7.21804.png;l1b
8;8;Uncommon;;Méganium;Meganium;Pokémon;Grass;154;Shin Nagasawa;https://pod.pokellector.com/cards/248/Meganium.L1.8.21805.png;l1b
9;9;Ultra;Prime;Méganium;Meganium;Pokémon;Grass;154;Takashi Yamaguchi;https://pod.pokellector.com/cards/248/Meganium.L1.9.21806.png;l1b
10;10;Common;;Coxy;Ledyba;Pokémon;Grass;165;Yuka Morii;https://pod.pokellector.com/cards/248/Ledyba.L1.10.21807.png;l1b
11;11;Rare;;Coxyclaque;Ledian;Pokémon;Grass;166;Yuka Morii;https://pod.pokellector.com/cards/248/Ledian.L1.11.21808.png;l1b
12;12;Common;;Goupix;Vulpix;Pokémon;Fire;37;TOKIYA;https://pod.pokellector.com/cards/248/Vulpix.L1.12.21809.png;l1b
13;13;Rare Holo;;Feunard;Ninetales;Pokémon;Fire;38;TOKIYA;https://pod.pokellector.com/cards/248/Ninetales.L1.13.21810.png;l1b
14;14;Common;;Héricendre;Cyndaquil;Pokémon;Fire;155;Kagemaru Himeno;https://pod.pokellector.com/cards/248/Cyndaquil.L1.14.21811.png;l1b
15;15;Common;;Feurisson;Quilava;Pokémon;Fire;156;Kagemaru Himeno;https://pod.pokellector.com/cards/248/Quilava.L1.15.21812.png;l1b
16;16;Uncommon;;Typhlosion;Typhlosion;Pokémon;Fire;157;Kagemaru Himeno;https://pod.pokellector.com/cards/248/Typhlosion.L1.16.21813.png;l1b
17;17;Ultra;Prime;Typhlosion;Typhlosion;Pokémon;Fire;157;Wataru Kawahara;https://pod.pokellector.com/cards/248/Typhlosion.L1.17.21814.png;l1b
18;18;Common;;Ptitard;Poliwag;Pokémon;Water;60;Naoyo Kimura;https://pod.pokellector.com/cards/248/Poliwag.L1.18.21815.png;l1b
19;19;Uncommon;;Têtarte;Poliwhirl;Pokémon;Water;61;Naoyo Kimura;https://pod.pokellector.com/cards/248/Poliwhirl.L1.19.21816.png;l1b
