rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Mystherbe;Oddish;Pokémon;Grass;43;Mitsuhiro Arita;https://pod.pokellector.com/cards/249/Oddish.L2.1.21879.png;l2
2;2;Uncommon;;Ortide;Gloom;Pokémon;Grass;44;Mitsuhiro Arita;https://pod.pokellector.com/cards/249/Gloom.L2.2.21880.png;l2
3;3;Rare;;Rafflésia;Vileplume;Pokémon;Grass;45;Mitsuhiro Arita;https://pod.pokellector.com/cards/249/Vileplume.L2.3.21881.png;l2
4;4;Rare Holo;;Joliflor;Bellossom;Pokémon;Grass;182;Mitsuhiro Arita;https://pod.pokellector.com/cards/249/Bellossom.L2.4.21882.png;l2
5;5;Common;;Insécateur;Scyther;Pokémon;Grass;123;Wataru Kawahara/Direc. Shinji Higuchi;https://pod.pokellector.com/cards/249/Scyther.L2.5.21883.png;l2
6;6;Common;;Pomdepik;Pineco;Pokémon;Grass;204;Kyoko Umemoto;https://pod.pokellector.com/cards/249/Pineco.L2.6.21884.png;l2
7;7;Common;;Apitrini;Combee;Pokémon;Grass;415;Naoyo Kimura;https://pod.pokellector.com/cards/249/Combee.L2.7.21885.png;l2
8;8;Rare;;Apireine;Vespiquen;Pokémon;Grass;416;Naoyo Kimura;https://pod.pokellector.com/cards/249/Vespiquen.L2.8.21886.png;l2
9;9;Uncommon;;Pyroli;Flareon;Pokémon;Fire;136;kawayoo;https://pod.pokellector.com/cards/249/Flareon.L2.9.21887.png;l2
10;10;Common;;Limagma;Slugma;Pokémon;Fire;218;Yuka Morii;https://pod.pokellector.com/cards/249/Slugma.L2.10.21888.png;l2
11;11;Rare Holo;;Volcaropod;Magcargo;Pokémon;Fire;219;Yuka Morii;https://pod.pokellector.com/cards/249/Magcargo.L2.11.21889.png;l2
12;12;Common;;Hypotrempe;Horsea;Pokémon;Water;116;Shin Nagasawa;https://pod.pokellector.com/cards/249/Horsea.L2.12.21890.png;l2
13;13;Common;;Hypocéan;Seadra;Pokémon;Water;117;Shin Nagasawa;https://pod.pokellector.com/cards/249/Seadra.L2.13.21891.png;l2
14;14;Uncommon;;Hyporoi;Kingdra;Pokémon;Water;230;Shin Nagasawa;https://pod.pokellector.com/cards/249/Kingdra.L2.14.21892.png;l2
15;15;Ultra;Prime;Hyporoi;Kingdra;Pokémon;Water;230;Hideaki Hakozaki;https://pod.pokellector.com/cards/249/Kingdra.L2.15.21893.png;l2
16;16;Uncommon;;Aquali;Vaporeon;Pokémon;Water;134;sui;https://pod.pokellector.com/cards/249/Vaporeon.L2.16.21894.png;l2
17;17;Uncommon;;Voltali;Jolteon;Pokémon;Lightning;135;Shin Nagasawa;https://pod.pokellector.com/cards/249/Jolteon.L2.17.21895.png;l2
18;18;Common;;Loupio;Chinchou;Pokémon;Lightning;170;sui;https://pod.pokellector.com/cards/249/Chinchou.L2.18.21896.png;l2
19;19;Rare;;Lanturn;Lanturn;Pokémon;Lightning;171;sui;https://pod.pokellector.com/cards/249/Lanturn.L2.19.21897.png;l2
20;20;Ultra;Prime;Lanturn;Lanturn;Pokémon;Lightning;171;Hideaki Hakozaki;https://pod.pokellector.com/cards/249/Lanturn.L2.20.21898.png;l2
21;21;Rare;;Motisma;Rotom;Pokémon;Lightning;479;MAHOU;https://pod.pokellector.com/cards/249/Rotom.L2.21.21899.png;l2
22;22;Common;;Tadmorv;Grimer;Pokémon;Psychic;88;Midori Harada;https://pod.pokellector.com/cards/249/Grimer.L2.22.21900.png;l2
