rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Mimitoss;Venonat;Pokémon;Grass;48;Hideaki Hakozaki;https://pod.pokellector.com/cards/251/Venonat.LL.1.22053.png;ll
2;2;Rare Holo;;Aéromite;Venomoth;Pokémon;Grass;49;Hideaki Hakozaki;https://pod.pokellector.com/cards/251/Venomoth.LL.2.22054.png;ll
3;3;Common;;Saquedeneu;Tangela;Pokémon;Grass;114;Hideaki Hakozaki;https://pod.pokellector.com/cards/251/Tangela.LL.3.22055.png;ll
4;4;Uncommon;;Bouldeneu;Tangrowth;Pokémon;Grass;465;Hideaki Hakozaki;https://pod.pokellector.com/cards/251/Tangrowth.LL.4.22056.png;ll
5;5;Common;;Muciole;Volbeat;Pokémon;Grass;313;Kent Kanetsuna;https://pod.pokellector.com/cards/251/Volbeat.LL.5.22057.png;ll
6;6;Common;;Lumivole;Illumise;Pokémon;Grass;314;Kent Kanetsuna;https://pod.pokellector.com/cards/251/Illumise.LL.6.22058.png;ll
7;7;Rare;;Vortente;Carnivine;Pokémon;Grass;455;Ryo Ueda;https://pod.pokellector.com/cards/251/Carnivine.LL.7.22059.png;ll
8;8;Common;;Relicanth;Relicanth;Pokémon;Water;369;Wataru Kawahara;https://pod.pokellector.com/cards/251/Relicanth.LL.8.22060.png;ll
9;9;Common;;Magneti;Magnemite;Pokémon;Lightning;81;Noriko Hotta;https://pod.pokellector.com/cards/251/Magnemite.LL.9.22061.png;ll
10;10;Uncommon;;Magneton;Magneton;Pokémon;Lightning;82;Noriko Hotta;https://pod.pokellector.com/cards/251/Magneton.LL.10.22062.png;ll
11;11;Ultra;Prime;Magnézone;Magnezone;Pokémon;Lightning;462;Noriko Hotta;https://pod.pokellector.com/cards/251/Magnezone.LL.11.22063.png;ll
12;12;Rare Holo;;Pachirisu;Pachirisu;Pokémon;Lightning;417;Noriko Hotta;https://pod.pokellector.com/cards/251/Pachirisu.LL.12.22064.png;ll
13;13;Common;;Fantominus;Gastly;Pokémon;Psychic;92;Takashi Yamaguchi;https://pod.pokellector.com/cards/251/Gastly.LL.13.22065.png;ll
14;14;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Takashi Yamaguchi;https://pod.pokellector.com/cards/251/Haunter.LL.14.22066.png;ll
15;15;Ultra;Prime;Ectoplasma;Gengar;Pokémon;Psychic;94;Takashi Yamaguchi;https://pod.pokellector.com/cards/251/Gengar.LL.15.22067.png;ll
16;16;Uncommon;;Mime Jr.;Mime Jr.;Pokémon;Psychic;439;Noriko Hotta;https://pod.pokellector.com/cards/251/Mime-Jr.LL.16.22068.png;ll
17;17;Rare;;M. Mime;Mr. Mime;Pokémon;Psychic;122;Noriko Hotta;https://pod.pokellector.com/cards/251/Mr-Mime.LL.17.22069.png;ll
18;18;Ultra;Prime;Mew;Mew;Pokémon;Psychic;151;Hideaki Hakozaki;https://pod.pokellector.com/cards/251/Mew.LL.18.22070.png;ll
19;19;Uncommon;;Seviper;Seviper;Pokémon;Psychic;336;Wataru Kawahara;https://pod.pokellector.com/cards/251/Seviper.LL.19.22071.png;ll
20;20;Common;;Polichombr;Shuppet;Pokémon;Psychic;353;Ryo Ueda;https://pod.pokellector.com/cards/251/Shuppet.LL.20.22072.png;ll
21;21;Rare;;Branette;Banette;Pokémon;Psychic;354;Ryo Ueda;https://pod.pokellector.com/cards/251/Banette.LL.21.22073.png;ll
22;22;Rare Holo;;Spiritomb;Spiritomb;Pokémon;Psychic;442;Shizurow;https://pod.pokellector.com/cards/251/Spiritomb.LL.22.22074.png;ll
23;23;Common;;Taupiqueur;Diglett;Pokémon;Fighting;50;Shizurow;https://pod.pokellector.com/cards/251/Diglett.LL.23.22075.png;ll
24;24;Rare;;Triopikeur;Dugtrio;Pokémon;Fighting;51;Shizurow;https://pod.pokellector.com/cards/251/Dugtrio.LL.24.22076.png;ll
25;25;Uncommon;;Riolu;Riolu;Pokémon;Fighting;447;Takashi Yamaguchi;https://pod.pokellector.com/cards/251/Riolu.LL.25.22077.png;ll
26;26;Rare Holo;;Lucario;Lucario;Pokémon;Fighting;448;Takashi Yamaguchi;https://pod.pokellector.com/cards/251/Lucario.LL.26.22078.png;ll
