rank;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list_code
1;Common;;Bulbizarre;Bulbasaur;フシギダネ;Pokémon;Grass;1;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149189.jpg;base1
2;Uncommon;;Herbizarre;Ivysaur;フシギソウ;Pokémon;Grass;2;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149218.jpg;base1
3;Rare Holo;;Florizarre;Venusaur;フシギバナ;Pokémon;Grass;3;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104984.jpg;base1
4;Common;;Chenipan;Caterpie;キャタピー;Pokémon;Grass;10;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149190.jpg;base1
5;Common;;Chrysacier;Metapod;トランセル;Pokémon;Grass;11;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106401.jpg;base1
6;Common;;Aspicot;Weedle;ビードル;Pokémon;Grass;13;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106414.jpg;base1
7;Uncommon;;Coconfort;Kakuna;コクーン;Pokémon;Grass;14;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149221.jpg;base1
8;Rare;;Dardargnan;Beedrill;スピアー;Pokémon;Grass;15;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149186.jpg;base1
9;Common;;Nidoran M;Nidoran♂;ニドラン♂;Pokémon;Grass;32;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106402.jpg;base1
10;Uncommon;;Nidorino;Nidorino;ニドリーノ;Pokémon;Grass;33;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106403.jpg;base1
11;Rare Holo;;Nidoking;Nidoking;ニドキング;Pokémon;Grass;34;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104969.jpg;base1
12;Common;;Smogo;Koffing;ドガース;Pokémon;Grass;109;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149222.jpg;base1
13;Common;;Saquedeneu;Tangela;モンジャラ;Pokémon;Grass;114;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106412.jpg;base1
14;Common;;Salamèche;Charmander;ヒトカゲ;Pokémon;Fire;4;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106391.jpg;base1
15;Uncommon;;Reptincel;Charmeleon;リザード;Pokémon;Fire;5;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168058.jpg;base1
16;Rare Holo;;Dracaufeu;Charizard;リザードン;Pokémon;Fire;6;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1098540.jpg;base1
17;Common;;Goupix;Vulpix;ロコン;Pokémon;Fire;37;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106413.jpg;base1
18;Rare Holo;;Feunard;Ninetales;キュウコン;Pokémon;Fire;38;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104970.jpg;base1
19;Uncommon;;Caninos;Growlithe;ガーディ;Pokémon;Fire;58;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168075.jpg;base1
20;Uncommon;;Arcanin;Arcanine;ウインディ;Pokémon;Fire;59;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168056.jpg;base1
21;Common;;Ponyta;Ponyta;ポニータ;Pokémon;Fire;77;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168089.jpg;base1
22;Uncommon;;Magmar;Magmar;ブーバー;Pokémon;Fire;126;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149229.jpg;base1
23;Common;;Carapuce;Squirtle;ゼニガメ;Pokémon;Water;7;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106410.jpg;base1
24;Uncommon;;Carabaffe;Wartortle;カメール;Pokémon;Water;8;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149273.jpg;base1
25;Rare Holo;;Tortank;Blastoise;カメックス;Pokémon;Water;9;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095417.jpg;base1
26;Common;;Ptitard;Poliwag;ニョロモ;Pokémon;Water;60;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149244.jpg;base1
27;Uncommon;;Têtarte;Poliwhirl;ニョロゾ;Pokémon;Water;61;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168088.jpg;base1
