rank;energy;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;pokedex_number;artist;jap_url;list
1;Grass;Common;;Abo;Ekans;アーボ;Pokémon;23;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169257.jpg;base4
2;Grass;Rare Holo;;Arbok Obscur;Dark Arbok;わるいアーボック;Pokémon;24;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073809.jpg;base4
3;Grass;Common;;Nosférapti;Zubat;ズバット;Pokémon;41;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169274.jpg;base4
4;Grass;Rare Holo;;Nosféralto Obscur;Dark Golbat;わるいゴルバット;Pokémon;42;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093936.jpg;base4
5;Grass;Common;;Mystherbe;Oddish;ナゾノクサ;Pokémon;43;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169264.jpg;base4
6;Grass;Uncommon;;Ortide Obscur;Dark Gloom;わるいクサイハナ;Pokémon;44;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169245.jpg;base4
7;Grass;Rare Holo;;Rafflesia Obscur;Dark Vileplume;ラフレシア;Pokémon;45;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1104986.jpg;base4
8;Grass;Common;;Tadmorv;Grimer;ベトベター;Pokémon;88;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169259.jpg;base4
9;Grass;Uncommon;;Grotadmorv Obscur;Dark Muk;わるいベトベトン;Pokémon;89;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149195.jpg;base4
10;Grass;Common;;Smogo;Koffing;ドガース;Pokémon;109;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169260.jpg;base4
11;Grass;Rare Holo;;Smogogo Obscur;Dark Weezing;わるいマタドガス;Pokémon;110;Shin-ichi Yoshida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073817.jpg;base4
12;Fire;Common;;Salamèche;Charmander;ヒトカゲ;Pokémon;4;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169242.jpg;base4
13;Fire;Uncommon;;Reptincel Obscur;Dark Charmeleon;わるいリザード;Pokémon;5;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169243.jpg;base4
14;Fire;Rare Holo;;Dracaufeu Obscur;Dark Charizard;わるいリザードン;Pokémon;6;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073848.jpg;base4
15;Fire;Common;;Ponyta;Ponyta;ポニータ;Pokémon;77;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169265.jpg;base4
16;Fire;Common;;Galopa Obscur;Dark Rapidash;わるいギャロップ;Pokémon;78;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169251.jpg;base4
17;Fire;Uncommon;;Pyroli Obscur;Dark Flareon;わるいブースター;Pokémon;136;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110410.jpg;base4
18;Water;Common;;Carapuce;Squirtle;ゼニガメ;Pokémon;7;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169271.jpg;base4
19;Water;Uncommon;;Carabaffe Obscur;Dark Wartortle;わるいカメール;Pokémon;8;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169253.jpg;base4
20;Water;Rare Holo;;Tortank Obscur;Dark Blastoise;わるいカメックス;Pokémon;9;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1095420.jpg;base4
21;Water;Common;;Psykokwak;Psyduck;コダック;Pokémon;54;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169268.jpg;base4
22;Water;Uncommon;;Akwakwak Obscur;Dark Golduck;わるいゴルダック;Pokémon;55;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169246.jpg;base4
23;Water;Uncommon;;Magicarpe;Magikarp;コイキング;Pokémon;129;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169262.jpg;base4
24;Water;Rare Holo;;Léviator Obscur;Dark Gyarados;わるいギャラドス;Pokémon;130;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073842.jpg;base4
25;Water;Uncommon;;Aquali Obscur;Dark Vaporeon;わるいシャワーズ;Pokémon;134;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110415.jpg;base4
26;Lightning;Common;;Magneti;Magnemite;コイル;Pokémon;81;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149230.jpg;base4
27;Lightning;Rare Holo;;Magneton Obscur;Dark Magneton;わるいレアコイル;Pokémon;82;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073810.jpg;base4
28;Lightning;Common;;Voltorbe;Voltorb;ビリリダマ;Pokémon;100;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169273.jpg;base4
29;Lightning;Uncommon;;Électrode Obscur;Dark Electrode;わるいマルマイン;Pokémon;101;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169244.jpg;base4
30;Lightning;Uncommon;;Voltali Obscur;Dark Jolteon;わるいサンダース;Pokémon;135;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1110411.jpg;base4
31;Psychic;Common;;Abra;Abra;ケーシィ;Pokémon;63;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169241.jpg;base4
32;Psychic;Uncommon;;Kadabra Obscur;Dark Kadabra;わるいユンゲラー;Pokémon;64;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169247.jpg;base4
33;Psychic;Rare Holo;;Alakazam Obscur;Dark Alakazam;わるいフーディン;Pokémon;65;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073801.jpg;base4
34;Psychic;Common;;Ramoloss;Slowpoke;ヤドン;Pokémon;79;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169270.jpg;base4
35;Psychic;Rare Holo;;Flagadoss Obscur;Dark Slowbro;わるいヤドラン;Pokémon;80;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073830.jpg;base4
36;Psychic;Common;;Soporifik;Drowzee;スリープ;Pokémon;96;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1114747.jpg;base4
