rank;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url
1;Uncommon;;Bulbizarre d'Erika;Erika's Bulbasaur;エリカのフシギダネ;Pokémon;Grass;1;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168314.jpg
2;Common;;Nosferapti de Pierre;Brock's Zubat;タケシのズバット;Pokémon;Grass;41;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168294.jpg
3;Uncommon;;Nosferalto de Pierre;Brock's Golbat;タケシのゴルバット;Pokémon;Grass;42;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168271.jpg
4;Common;;Mystherbe d'Erika;Erika's Oddish;エリカのナゾノクサ;Pokémon;Grass;43;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168330.jpg
5;Common;;Mystherbe d'Erika;Erika's Oddish;エリカのナゾノクサ;Pokémon;Grass;43;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168331.jpg
6;Uncommon;;Ortide d'Erika;Erika's Gloom;エリカのクサイハナ;Pokémon;Grass;44;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168324.jpg
7;Rare Holo;;Rafflesia d'Erika;Erika's Vileplume;エリカのラフレシア;Pokémon;Grass;45;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168341.jpg
8;Common;;Paras d'Erika;Erika's Paras;エリカのパラス;Pokémon;Grass;46;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168334.jpg
9;Common;;Chétiflor d'Erika;Erika's Bellsprout;エリカのマダツボミ;Pokémon;Grass;69;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168313.jpg
10;Uncommon;;Chétiflor d'Erika;Erika's Bellsprout;エリカのマダツボミ;Pokémon;Grass;69;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168311.jpg
11;Uncommon;;Boustiflor d'Erika;Erika's Weepinbell;エリカのウツドン;Pokémon;Grass;70;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168342.jpg
12;Rare;;Empiflor d'Erika;Erika's Victreebel;エリカのウツボット;Pokémon;Grass;71;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168340.jpg
13;Uncommon;;Noeunoeuf d'Erika;Erika's Exeggcute;エリカのタマタマ;Pokémon;Grass;102;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168319.jpg
14;Uncommon;;Noadkoko d'Erika;Erika's Exeggutor;エリカのナッシー;Pokémon;Grass;103;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168321.jpg
15;Common;;Saquedeneu d'Erika;Erika's Tangela;エリカのモンジャラ;Pokémon;Grass;114;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168337.jpg
16;Rare Holo;;Insécateur de Rocket;Rocket's Scyther;R団のストライク;Pokémon;Grass;123;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093931.jpg
17;Common;;Goupix d'Auguste;Brock's Vulpix;タケシのロコン;Pokémon;Fire;37;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168290.jpg
18;Uncommon;;Goupix d'Auguste;Brock's Vulpix;タケシのロコン;Pokémon;Fire;37;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168291.jpg
19;Rare Holo;;Feunard de Pierre;Brock's Ninetales;タケシのキュウコン;Pokémon;Fire;38;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073803.jpg
