rank;rarety_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url
1;Uncommon;Herbizarre d'Erika;Erika's Ivysaur;エリカのフシギソウ;Pokémon;Grass;2;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168325.jpg
2;Rare Holo;Florizarre d'Erika;Erika's Venusaur;エリカのフシギバナ;Pokémon;Grass;3;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1093938.jpg
3;Common;Aspicot de Koga;Koga's Weedle;キョウのビードル;Pokémon;Grass;13;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149224.jpg
4;Uncommon;Coconfort de Koga;Koga's Kakuna;キョウのコクーン;Pokémon;Grass;14;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168391.jpg
5;Rare Holo;Dardargnan de Koga;Koga's Beedrill;キョウのスピアー;Pokémon;Grass;15;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1073790.jpg
6;Common;Abo de Koga;Koga's Ekans;キョウのアーボ;Pokémon;Grass;23;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168385.jpg
7;Rare;Arbok de Koga;Koga's Arbok;キョウのアーボック;Pokémon;Grass;24;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168381.jpg
8;Common;Nidoran ♀ de Giovanni;Giovanni's Nidoran♀;サカキのニドラン♀;Pokémon;Grass;29;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168366.jpg
9;Uncommon;Nidorina de Giovanni;Giovanni's Nidorina;サカキのニドリーナ;Pokémon;Grass;30;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149207.jpg
10;Rare;Nidoqueen de Giovanni;Giovanni's Nidoqueen;サカキのニドクイン;Pokémon;Grass;31;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168364.jpg
