rank;number;rarety_type;ultra_type;fr_name;en_name;serie;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Chétiflor;Bellsprout;1;Pokémon;Grass;69;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477881.jpg;ex11
2;2;Uncommon;;Boustiflor;Weepinbell;1;Pokémon;Grass;70;Katsura Tabata;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477882.jpg;ex11
3;3;Rare Holo;;Empiflor;Victreebel;1;Pokémon;Grass;71;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477883.jpg;ex11
4;4;Common;;Tadmorv;Grimer;1;Pokémon;Grass;88;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477884.jpg;ex11
5;5;Rare Holo;;Grotadmorv;Muk;1;Pokémon;Grass;89;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477885.jpg;ex11
6;6;Uncommon;;Saquedeneu;Tangela;1;Pokémon;Grass;114;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477800.jpg;ex11
7;7;Rare;;Scarabrute;Pinsir;1;Pokémon;Grass;127;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477887.jpg;ex11
8;8;Common;;Chenipotte;Wurmple;1;Pokémon;Grass;265;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477888.jpg;ex11
9;9;Uncommon;;Blindalys;Cascoon;1;Pokémon;Grass;268;Sachiko Adachi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477889.jpg;ex11
10;10;Ultra;ex;Papinox ex;Dustox ex;1;Pokémon;Grass;269;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477890.jpg;ex11
11;11;Common;;Grainipiot;Seedot;1;Pokémon;Grass;273;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477891.jpg;ex11
12;12;Uncommon;;Roselia;Roselia;1;Pokémon;Grass;315;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477892.jpg;ex11
13;13;Common;;Lilia;Lileep;1;Pokémon;Grass;345;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477893.jpg;ex11
14;14;Rare Holo;;Vacilys;Cradily;1;Pokémon;Grass;346;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477894.jpg;ex11
15;15;Common;;Caninos;Growlithe;1;Pokémon;Fire;58;Kanako Eo;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477895.jpg;ex11
