rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Chenipan;Caterpie;Pokémon;Grass;10;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471900.jpg;ex6
2;2;Uncommon;;Chrysacier;Metapod;Pokémon;Grass;11;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471959.jpg;ex6
3;3;Rare Holo;;Papilusion;Butterfree;Pokémon;Grass;12;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477591.jpg;ex6
4;4;Common;;Aspicot;Weedle;Pokémon;Grass;13;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471901.jpg;ex6
5;5;Uncommon;;Coconfort;Kakuna;Pokémon;Grass;14;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471902.jpg;ex6
6;6;Rare Holo;;Dardargnan;Beedrill;Pokémon;Grass;15;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477592.jpg;ex6
7;7;Common;;Nidoran F;Nidoran♀;Pokémon;Grass;29;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471903.jpg;ex6
8;8;Rare;;Nidorina;Nidorina;Pokémon;Grass;30;Naoyo Kimura;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/748216/008.jpg?1496334190;ex6
9;9;Common;;Nidoran M;Nidoran♂;Pokémon;Grass;32;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471904.jpg;ex6
10;10;Rare;;Nidorino;Nidorino;Pokémon;Grass;33;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471905.jpg;ex6
11;11;Common;;Paras;Paras;Pokémon;Grass;46;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471906.jpg;ex6
12;12;Rare;;Parasect;Parasect;Pokémon;Grass;47;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471907.jpg;ex6
13;13;Uncommon;;Mimitoss;Venonat;Pokémon;Grass;48;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471908.jpg;ex6
14;14;Rare;;Aéromite;Venomoth;Pokémon;Grass;49;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471968.jpg;ex6
15;15;Common;;Chétiflor;Bellsprout;Pokémon;Grass;69;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471909.jpg;ex6
16;16;Rare;;Boustiflor;Weepinbell;Pokémon;Grass;70;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471910.jpg;ex6
17;17;Rare Holo;;Empiflor;Victreebel;Pokémon;Grass;71;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477594.jpg;ex6
18;18;Rare;;Saquedeneu;Tangela;Pokémon;Grass;114;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471911.jpg;ex6
19;19;Rare;;Insécateur;Scyther;Pokémon;Grass;123;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471972.jpg;ex6
20;20;Uncommon;;Caninos;Growlithe;Pokémon;Fire;58;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1477609.jpg;ex6
21;21;Rare;;Arcanin;Arcanine;Pokémon;Fire;59;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471912.jpg;ex6
22;22;Common;;Ponyta;Ponyta;Pokémon;Fire;77;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471913.jpg;ex6
23;23;Rare Holo;;Galopa;Rapidash;Pokémon;Fire;78;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471914.jpg;ex6
24;24;Ultra;ex;Sulfura ex;Moltres ex;Pokémon;Fire;146;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471976.jpg;ex6
25;25;Common;;Ptitard;Poliwag;Pokémon;Water;60;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471915.jpg;ex6
26;26;Rare;;Têtarte;Poliwhirl;Pokémon;Water;61;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471916.jpg;ex6
