rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;;Rare Holo;;Ronflex;Snorlax δ;カビゴン δ;Pokémon;Grass;143;Masakazu Fukuda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476055.jpg;ex14
2;;Common;;Minidraco;Dratini δ;ミニリュウ;Pokémon;Grass;147;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476056.jpg;ex14
3;;Uncommon;;Draco;Dragonair δ;ハクリュー δ;Pokémon;Grass;148;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476057.jpg;ex14
4;;Ultra;ex;Dracolosse ex;Dragonite ex δ;カイリューex δ;Pokémon;Grass;149;Ryo Ueda;https://res.cloudinary.com/dkhwpritu/image/upload/v1557135311/modifs/Capture_d_e%CC%81cran_2019-05-06_a%CC%80_11.06.00.png;ex14
5;;Common;;Axoloto;Wooper δ;ウパー δ;Pokémon;Grass;194;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476059.jpg;ex14
6;;Rare;;Maraiste;Quagsire δ;ヌオー δ;Pokémon;Grass;195;Sachiko Adachi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476060.jpg;ex14
7;;Common;;Abo;Ekans δ;アーボ δ;Pokémon;Fire;23;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476061.jpg;ex14
8;;Rare;;Arbok;Arbok δ;アーボック δ;Pokémon;Fire;24;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476062.jpg;ex14
9;;Rare Holo;;Scarhino;Heracross δ;ヘラクロス δ;Pokémon;Fire;214;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476063.jpg;ex14
10;;Common;;Nirondelle;Taillow δ;スバメ δ;Pokémon;Fire;276;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476064.jpg;ex14
11;;Rare;;Hélédelle;Swellow δ;オオスバメ δ;Pokémon;Fire;277;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476065.jpg;ex14
12;;Common;;Barpau;Feebas δ;ヒンバス δ;Pokémon;Fire;349;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476066.jpg;ex14
13;;Rare Holo;;Milobellus;Milotic δ;ミロカロス δ;Pokémon;Fire;350;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476067.jpg;ex14
14;;Ultra;ex;Latias ex;Latias ex δ;ラティアスex δ;Pokémon;Fire;380;Shizurow;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476068.jpg;ex14
15;;Ultra;Star;Mew Star;Mew Star δ;ミュウ☆ δ;Pokémon;Water;151;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1557135293/modifs/Capture_d_e%CC%81cran_2019-05-06_a%CC%80_11.07.51.png;ex14
16;;Uncommon;;Togepi;Togepi δ;トゲピー δ;Pokémon;Water;175;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476070.jpg;ex14
17;;Rare Holo;;Togetic;Togetic δ;トゲチック δ;Pokémon;Water;176;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476071.jpg;ex14
18;;Common;;Tylton;Swablu δ;チルット δ;Pokémon;Water;333;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476072.jpg;ex14
19;;Ultra;ex;Altaria ex;Altaria ex δ;チルタリスex δ;Pokémon;Water;334;Shizurow;https://res.cloudinary.com/dkhwpritu/image/upload/v1557135268/modifs/Capture_d_e%CC%81cran_2019-05-06_a%CC%80_11.08.36.png;ex14
20;;Common;;Draby;Bagon δ;タツベイ;Pokémon;Water;371;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476074.jpg;ex14
21;;Uncommon;;Drackhaus;Shelgon δ;コモルー δ;Pokémon;Water;372;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476075.jpg;ex14
22;;Ultra;ex;Drattak ex;Salamence ex δ;ボーマンダex δ;Pokémon;Water;373;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476076.jpg;ex14
23;;Ultra;ex;Latios ex;Latios ex δ;ラティオスex δ;Pokémon;Water;381;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476077.jpg;ex14
24;;Common;;Kaiminus;Totodile δ;ワニノコ δ;Pokémon;Lightning;158;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476078.jpg;ex14
25;;Uncommon;;Crocrodil;Croconaw δ;アリゲイツ δ;Pokémon;Lightning;159;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476079.jpg;ex14
26;;Rare Holo;;Aligatueur;Feraligatr δ;オーダイル δ;Pokémon;Lightning;160;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476080.jpg;ex14
27;;Rare;;Demanta;Mantine δ;マンタイン δ;Pokémon;Lightning;226;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476081.jpg;ex14
28;;Ultra;ex;Rayquaza ex;Rayquaza ex δ;レックウザex δ;Pokémon;Lightning;384;Ryo Ueda;https://res.cloudinary.com/dkhwpritu/image/upload/v1557135252/modifs/Capture_d_e%CC%81cran_2019-05-06_a%CC%80_11.11.05.png;ex14
29;;Common;;Goupix;Vulpix δ;ロコン δ;Pokémon;Psychic;37;Sachiko Adachi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476083.jpg;ex14
30;;Rare Holo;;Feunard;Ninetales δ;キュウコン δ;Pokémon;Psychic;38;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476084.jpg;ex14
31;;Rare;;Excelangue;Lickitung δ;ベロリンガ δ;Pokémon;Psychic;108;Masakazu Fukuda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476085.jpg;ex14
32;;Common;;Héricendre;Cyndaquil δ;ヒノアラシ δ;Pokémon;Psychic;155;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1476086.jpg;ex14
