rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;C;;;Karrablast;;Grass;;;https://pod.pokellector.com/cards/267/Karrablast.SM10A.1.27498.png;sm10a
2;2;C;;;Magmar;;Fire;;;https://pod.pokellector.com/cards/267/Magmar.SM10A.2.27499.png;sm10a
3;3;U;;;Magmortar;;Fire;;;https://pod.pokellector.com/cards/267/Magmortar.SM10A.3.27500.png;sm10a
4;4;RR;;;HeatranGX;;Fire;;;https://pod.pokellector.com/cards/267/Heatran-GX.SM10A.4.27211.png;sm10a
5;5;C;;;Litwick;;Fire;;;https://pod.pokellector.com/cards/267/Litwick.SM10A.5.27501.png;sm10a
6;6;C;;;Lampent;;Fire;;;https://pod.pokellector.com/cards/267/Lampent.SM10A.6.27502.png;sm10a
7;7;R;;;Chandelure;;Fire;;;https://pod.pokellector.com/cards/267/Chandelure.SM10A.7.27361.png;sm10a
8;8;RR;;;Raichu & Alolan RaichuTag Team GX;;Lightning;;;https://pod.pokellector.com/cards/267/Raichu-Alolan-Raichu-GX.SM10A.8.27344.png;sm10a
9;9;C;;;Pikachu;;Lightning;;;https://pod.pokellector.com/cards/267/Pikachu.SM10A.9.27503.png;sm10a
10;10;R;;;Alolan Raichu;;Lightning;;;https://pod.pokellector.com/cards/267/Alolan-Raichu.SM10A.10.27346.png;sm10a
11;11;C;;;Stunfisk;;Lightning;;;https://pod.pokellector.com/cards/267/Stunfisk.SM10A.11.27504.png;sm10a
12;12;C;;;Thundurus;;Lightning;;;https://pod.pokellector.com/cards/267/Thundurus.SM10A.12.27505.png;sm10a
13;13;U;;;Alolan Marowak;;Psychic;;;https://pod.pokellector.com/cards/267/Alolan-Marowak.SM10A.13.27347.png;sm10a
14;14;C;;;Drifloon;;Psychic;;;https://pod.pokellector.com/cards/267/Drifloon.SM10A.14.27506.png;sm10a
15;15;U;;;Drifblim;;Psychic;;;https://pod.pokellector.com/cards/267/Drifblim.SM10A.15.27345.png;sm10a
16;16;R;;;Giratina;;Psychic;;;https://pod.pokellector.com/cards/267/Giratina.SM10A.16.27357.png;sm10a
17;17;C;;;Munna;;Psychic;;;https://pod.pokellector.com/cards/267/Munna.SM10A.17.27507.png;sm10a
18;18;C;;;Musharna;;Psychic;;;https://pod.pokellector.com/cards/267/Musharna.SM10A.18.27508.png;sm10a
19;19;C;;;Cubone;;Fighting;;;https://pod.pokellector.com/cards/267/Cubone.SM10A.19.27509.png;sm10a
20;20;C;;;Meditite;;Fighting;;;https://pod.pokellector.com/cards/267/Meditite.SM10A.20.27510.png;sm10a
21;21;U;;;Medicham;;Fighting;;;https://pod.pokellector.com/cards/267/Medicham.SM10A.21.27511.png;sm10a
22;22;C;;;Gible;;Fighting;;;https://pod.pokellector.com/cards/267/Gible.SM10A.22.27512.png;sm10a
23;23;C;;;Gabite;;Fighting;;;https://pod.pokellector.com/cards/267/Gabite.SM10A.23.27513.png;sm10a
24;24;R;;;Garchomp;;Fighting;;;https://pod.pokellector.com/cards/267/Garchomp.SM10A.24.27360.png;sm10a
25;25;C;;;Riolu;;Fighting;;;https://pod.pokellector.com/cards/267/Riolu.SM10A.25.27514.png;sm10a
26;26;U;;;Lucario;;Fighting;;;https://pod.pokellector.com/cards/267/Lucario.SM10A.26.27350.png;sm10a
27;27;U;;;Meloetta;;Fighting;;;https://pod.pokellector.com/cards/267/Meloetta.SM10A.27.27351.png;sm10a
28;28;U;;;Zygarde;;Fighting;;;https://pod.pokellector.com/cards/267/Zygarde.SM10A.28.27353.png;sm10a
29;29;R;;;Hoopa;;Darkness;;;https://pod.pokellector.com/cards/267/Hoopa.SM10A.29.27358.png;sm10a
30;30;RR;;;MawileGX;;Metal;;;https://pod.pokellector.com/cards/267/Mawile-GX.SM10A.30.27355.png;sm10a
31;31;U;;;Escavalier;;Metal;;;https://pod.pokellector.com/cards/267/Escavalier.SM10A.31.27359.png;sm10a
32;32;RR;;;Garchomp & GiratinaTag Team GX;;Dragon;;;https://pod.pokellector.com/cards/267/Garchomp-Giratina-GX.SM10A.32.27210.png;sm10a
33;33;U;;;Latias;;Dragon;;;https://pod.pokellector.com/cards/267/Latias.SM10A.33.27515.png;sm10a
34;34;C;;;Axew;;Dragon;;;https://pod.pokellector.com/cards/267/Axew.SM10A.34.27516.png;sm10a
35;35;C;;;Fraxure;;Dragon;;;https://pod.pokellector.com/cards/267/Fraxure.SM10A.35.27517.png;sm10a
