rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://pod.pokellector.com/cards/201/Caterpie.SM1S.1.13723.png;sm1s
2;2;;;;;;;;;https://pod.pokellector.com/cards/201/Metapod.SM1S.2.13724.png;sm1s
3;3;;;;;;;;;https://pod.pokellector.com/cards/201/Butterfree.SM1S.3.13725.png;sm1s
4;4;;;;;;;;;https://pod.pokellector.com/cards/201/Paras.SM1S.4.13726.png;sm1s
5;5;;;;;;;;;https://pod.pokellector.com/cards/201/Parasect.SM1S.5.13727.png;sm1s
6;6;;;;;;;;;https://pod.pokellector.com/cards/201/Bounsweet.SM1S.6.13728.png;sm1s
7;7;;;;;;;;;https://pod.pokellector.com/cards/201/Steenee.SM1S.7.13729.png;sm1s
8;8;;;;;;;;;https://pod.pokellector.com/cards/201/Tsareena.SM1S.8.png;sm1s
9;9;;;;;;;;;https://pod.pokellector.com/cards/201/Growlithe.SM1S.9.13730.png;sm1s
10;10;;;;;;;;;https://pod.pokellector.com/cards/201/Arcanine.SM1S.10.png;sm1s
11;11;;;;;;;;;https://pod.pokellector.com/cards/201/Torkoal.SM1S.11.13731.png;sm1s
12;12;;;;;;;;;https://pod.pokellector.com/cards/201/Psyduck.SM1S.12.13732.png;sm1s
13;13;;;;;;;;;https://pod.pokellector.com/cards/201/Golduck.SM1S.13.13733.png;sm1s
14;14;;;;;;;;;https://pod.pokellector.com/cards/201/Shellder.SM1S.14.13734.png;sm1s
15;15;;;;;;;;;https://pod.pokellector.com/cards/201/Cloyster.SM1S.15.13735.png;sm1s
16;16;;;;;;;;;https://pod.pokellector.com/cards/201/Lapras-GX.SM1S.16.13304.png;sm1s
17;17;;;;;;;;;https://pod.pokellector.com/cards/201/Wishiwashi.SM1S.17.13736.png;sm1s
18;18;;;;;;;;;https://pod.pokellector.com/cards/201/Dewpider.SM1S.18.13737.png;sm1s
19;19;;;;;;;;;https://pod.pokellector.com/cards/201/Araquanid.SM1S.19.13738.png;sm1s
20;20;;;;;;;;;https://pod.pokellector.com/cards/201/Pyukumuku.SM1S.20.13739.png;sm1s
21;21;;;;;;;;;https://pod.pokellector.com/cards/201/Zubat.SM1S.21.13740.png;sm1s
22;22;;;;;;;;;https://pod.pokellector.com/cards/201/Golbat.SM1S.22.13741.png;sm1s
23;23;;;;;;;;;https://pod.pokellector.com/cards/201/Crobat.SM1S.23.13742.png;sm1s
24;24;;;;;;;;;https://pod.pokellector.com/cards/201/Espeon-GX.SM1S.24.13715.png;sm1s
25;25;;;;;;;;;https://pod.pokellector.com/cards/201/Mareanie.SM1S.25.13743.png;sm1s
26;26;;;;;;;;;https://pod.pokellector.com/cards/201/Toxapex.SM1S.26.13491.png;sm1s
27;27;;;;;;;;;https://pod.pokellector.com/cards/201/Cosmog.SM1S.27.13496.png;sm1s
28;28;;;;;;;;;https://pod.pokellector.com/cards/201/Cosmoem.SM1S.28.13497.png;sm1s
29;29;;;;;;;;;https://pod.pokellector.com/cards/201/Makuhita.SM1S.29.13744.png;sm1s
30;30;;;;;;;;;https://pod.pokellector.com/cards/201/Hariyama.SM1S.30.13745.png;sm1s
31;31;;;;;;;;;https://pod.pokellector.com/cards/201/Passimian.SM1S.31.13746.png;sm1s
32;32;;;;;;;;;https://pod.pokellector.com/cards/201/Alolan-Meowth.SM1S.32.png;sm1s
33;33;;;;;;;;;https://pod.pokellector.com/cards/201/Alolan-Persian.SM1S.33.13747.png;sm1s
34;34;;;;;;;;;https://pod.pokellector.com/cards/201/Sandile.SM1S.34.13748.png;sm1s
35;35;;;;;;;;;https://pod.pokellector.com/cards/201/Krokorok.SM1S.35.13749.png;sm1s
36;36;;;;;;;;;https://pod.pokellector.com/cards/201/Krookodile.SM1S.36.13750.png;sm1s
37;37;;;;;;;;;https://pod.pokellector.com/cards/201/Alolan-Diglett.SM1S.37.13751.png;sm1s
38;38;;;;;;;;;https://pod.pokellector.com/cards/201/Alolan-Dugtrio.SM1S.38.13549.png;sm1s
39;39;;;;;;;;;https://pod.pokellector.com/cards/201/Skarmory.SM1S.39.13752.png;sm1s
40;40;;;;;;;;;https://pod.pokellector.com/cards/201/Solgaleo-GX.SM1S.40.13494.png;sm1s
41;41;;;;;;;;;https://pod.pokellector.com/cards/201/Cutiefly.SM1S.41.13753.png;sm1s
42;42;;;;;;;;;https://pod.pokellector.com/cards/201/Ribombee.SM1S.42.13754.png;sm1s
43;43;;;;;;;;;https://pod.pokellector.com/cards/201/Kangaskhan.SM1S.43.13755.png;sm1s
44;44;;;;;;;;;https://pod.pokellector.com/cards/201/Eevee.SM1S.44.13756.png;sm1s
45;45;;;;;;;;;https://pod.pokellector.com/cards/201/Spinda.SM1S.45.13757.png;sm1s
46;46;;;;;;;;;https://pod.pokellector.com/cards/201/Lillipup.SM1S.46.13758.png;sm1s
47;47;;;;;;;;;https://pod.pokellector.com/cards/201/Herdier.SM1S.47.13759.png;sm1s
48;48;;;;;;;;;https://pod.pokellector.com/cards/201/Stoutland.SM1S.48.13488.png;sm1s
49;49;;;;;;;;;https://pod.pokellector.com/cards/201/Yungoos.SM1S.49.png;sm1s
50;50;;;;;;;;;https://pod.pokellector.com/cards/201/Gumshoos-GX.SM1S.50.png;sm1s
51;51;;;;;;;;;https://pod.pokellector.com/cards/201/Stufful.SM1S.51.13760.png;sm1s
52;52;;;;;;;;;https://pod.pokellector.com/cards/201/Bewear.SM1S.52.13761.png;sm1s
53;53;;;;;;;;;https://pod.pokellector.com/cards/201/Crushing-Hammer.SM1S.53.13762.png;sm1s
54;54;;;;;;;;;https://pod.pokellector.com/cards/201/Timer-Ball.SM1S.54.13763.png;sm1s
55;55;;;;;;;;;https://pod.pokellector.com/cards/201/Repel.SM1S.55.13764.png;sm1s
56;56;;;;;;;;;https://pod.pokellector.com/cards/201/Rotom-Pokedex.SM1S.56.13720.png;sm1s
57;57;;;;;;;;;https://pod.pokellector.com/cards/201/Exp-Share.SM1S.57.13765.png;sm1s
58;58;;;;;;;;;https://pod.pokellector.com/cards/201/Llima.SM1S.58.13719.png;sm1s
59;59;;;;;;;;;https://pod.pokellector.com/cards/201/Professor-Kukui.SM1S.59.13559.png;sm1s
60;60;;;;;;;;;https://pod.pokellector.com/cards/201/Double-Colorless-Energy.SM1S.60.13766.png;sm1s
61;61;;;;;;;;;https://pod.pokellector.com/cards/201/Lapras-GX.SM1S.61.13767.png;sm1s
62;62;;;;;;;;;https://pod.pokellector.com/cards/201/Espeon-GX.SM1S.62.13768.png;sm1s
63;63;;;;;;;;;https://pod.pokellector.com/cards/201/Solgaleo-GX.SM1S.63.13769.png;sm1s
64;64;;;;;;;;;https://pod.pokellector.com/cards/201/Gumshoos-GX.SM1S.64.13770.png;sm1s
65;65;;;;;;;;;https://pod.pokellector.com/cards/201/Ilima.SM1S.65.13771.png;sm1s
66;66;;;;;;;;;https://pod.pokellector.com/cards/201/Professor-Kukui.SM1S.66.13772.png;sm1s
67;67;;;;;;;;;https://pod.pokellector.com/cards/201/Lapras-GX.SM1S.67.13773.png;sm1s
68;68;;;;;;;;;https://pod.pokellector.com/cards/201/Espeon-GX.SM1S.68.13774.png;sm1s
69;69;;;;;;;;;https://pod.pokellector.com/cards/201/Solgaleo-GX.SM1S.69.13775.png;sm1s
70;70;;;;;;;;;https://pod.pokellector.com/cards/201/Gumshoos-GX.SM1S.70.13776.png;sm1s
71;71;;;;;;;;;https://pod.pokellector.com/cards/201/Ultra-Ball.SM1S.71.13560.png;sm1s
72;72;;;;;;;;;https://pod.pokellector.com/cards/201/Rotom-Dex.SM1S.72.13777.png;sm1s
73;73;;;;;;;;;https://pod.pokellector.com/cards/201/Metal-Energy.SM1S.73.13778.png;sm1s
