rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://pod.pokellector.com/cards/211/Bellsprout.SM2K.1.17322.png;sm2k
2;2;;;;;;;;;https://pod.pokellector.com/cards/211/Weepinbell.SM2K.2.17323.png;sm2k
3;3;;;;;;;;;https://pod.pokellector.com/cards/211/Victreebel.SM2K.3.17324.png;sm2k
4;4;;;;;;;;;https://pod.pokellector.com/cards/211/Petilil.SM2K.4.17325.png;sm2k
5;5;;;;;;;;;https://pod.pokellector.com/cards/211/Lilligant.SM2K.5.17326.png;sm2k
6;6;;;;;;;;;https://pod.pokellector.com/cards/211/Wimpod.SM2K.6.17327.png;sm2k
7;7;;;;;;;;;https://pod.pokellector.com/cards/211/Golisopod.SM2K.7.17328.png;sm2k
8;8;;;;;;;;;https://pod.pokellector.com/cards/211/Victini.SM2K.8.17329.png;sm2k
9;9;;;;;;;;;https://pod.pokellector.com/cards/211/Turtonator-GX.SM2K.9.16509.png;sm2k
10;10;;;;;;;;;https://pod.pokellector.com/cards/211/Alolan-Sandshrew.SM2K.10.16526.png;sm2k
11;11;;;;;;;;;https://pod.pokellector.com/cards/211/Alolan-Sandslash.SM2K.11.16510.png;sm2k
12;12;;;;;;;;;https://pod.pokellector.com/cards/211/Alolan-Vulpix.SM2K.12.17253.png;sm2k
13;13;;;;;;;;;https://pod.pokellector.com/cards/211/Alolan-Ninetales-GC.SM2K.13.17254.png;sm2k
14;14;;;;;;;;;https://pod.pokellector.com/cards/211/Delibird.SM2K.14.17330.png;sm2k
15;15;;;;;;;;;https://pod.pokellector.com/cards/211/Snorunt.SM2K.15.17331.png;sm2k
16;16;;;;;;;;;https://pod.pokellector.com/cards/211/Glalie.SM2K.16.17249.png;sm2k
17;17;;;;;;;;;https://pod.pokellector.com/cards/211/Vanillite.SM2K.17.17332.png;sm2k
18;18;;;;;;;;;https://pod.pokellector.com/cards/211/Vanillish.SM2K.18.17333.png;sm2k
19;19;;;;;;;;;https://pod.pokellector.com/cards/211/Vanilluxe.SM2K.19.16531.png;sm2k
20;20;;;;;;;;;https://pod.pokellector.com/cards/211/Helioptile.SM2K.20.17334.png;sm2k
21;21;;;;;;;;;https://pod.pokellector.com/cards/211/Heliolisk.SM2K.21.17335.png;sm2k
22;22;;;;;;;;;https://pod.pokellector.com/cards/211/Tapu-Koko-GX.SM2K.22.16508.png;sm2k
23;23;;;;;;;;;https://pod.pokellector.com/cards/211/Slowpoke.SM2K.23.17336.png;sm2k
24;24;;;;;;;;;https://pod.pokellector.com/cards/211/Slowbro.SM2K.24.17337.png;sm2k
25;25;;;;;;;;;https://pod.pokellector.com/cards/211/Gothita.SM2K.25.17338.png;sm2k
26;26;;;;;;;;;https://pod.pokellector.com/cards/211/Gothorita.SM2K.26.17339.png;sm2k
27;27;;;;;;;;;https://pod.pokellector.com/cards/211/Gothitelle.SM2K.27.17340.png;sm2k
28;28;;;;;;;;;https://pod.pokellector.com/cards/211/Machop.SM2K.28.17259.png;sm2k
29;29;;;;;;;;;https://pod.pokellector.com/cards/211/Machoke.SM2K.29.17260.png;sm2k
30;30;;;;;;;;;https://pod.pokellector.com/cards/211/Machamp.SM2K.30.17261.png;sm2k
31;31;;;;;;;;;https://pod.pokellector.com/cards/211/Nosepass.SM2K.31.17341.png;sm2k
32;32;;;;;;;;;https://pod.pokellector.com/cards/211/Barboach.SM2K.32.17342.png;sm2k
33;33;;;;;;;;;https://pod.pokellector.com/cards/211/Whiscash.SM2K.33.17343.png;sm2k
34;34;;;;;;;;;https://pod.pokellector.com/cards/211/Probopass.SM2K.34.17344.png;sm2k
35;35;;;;;;;;;https://pod.pokellector.com/cards/211/Clefairy.SM2K.35.17345.png;sm2k
36;36;;;;;;;;;https://pod.pokellector.com/cards/211/Clefable.SM2K.36.17346.png;sm2k
37;37;;;;;;;;;https://pod.pokellector.com/cards/211/Comfey.SM2K.37.16530.png;sm2k
38;38;;;;;;;;;https://pod.pokellector.com/cards/211/Drampa.SM2K.38.17347.png;sm2k
39;39;;;;;;;;;https://pod.pokellector.com/cards/211/Jangmo-o.SM2K.39.17348.png;sm2k
40;40;;;;;;;;;https://pod.pokellector.com/cards/211/Hakamo-o.SM2K.40.17349.png;sm2k
41;41;;;;;;;;;https://pod.pokellector.com/cards/211/Kommo-o-GX.SM2K.41.17350.png;sm2k
42;42;;;;;;;;;https://pod.pokellector.com/cards/211/Chansey.SM2K.42.17351.png;sm2k
