rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://pod.pokellector.com/cards/210/Phantump.SM2L.1.17255.png;sm2l
2;2;;;;;;;;;https://pod.pokellector.com/cards/210/Trevenant.SM2L.2.17257.png;sm2l
3;3;;;;;;;;;https://pod.pokellector.com/cards/210/Litwick.SM2L.3.17270.png;sm2l
4;4;;;;;;;;;https://pod.pokellector.com/cards/210/Lampent.SM2L.4.17271.png;sm2l
5;5;;;;;;;;;https://pod.pokellector.com/cards/210/Chandelure.SM2L.5.17272.png;sm2l
6;6;;;;;;;;;https://pod.pokellector.com/cards/210/Salandit.SM2L.6.17273.png;sm2l
7;7;;;;;;;;;https://pod.pokellector.com/cards/210/Salazzle.SM2L.7.16500.png;sm2l
8;8;;;;;;;;;https://pod.pokellector.com/cards/210/Tentacool.SM2L.8.17274.png;sm2l
9;9;;;;;;;;;https://pod.pokellector.com/cards/210/Tentacruel.SM2L.9.17275.png;sm2l
10;10;;;;;;;;;https://pod.pokellector.com/cards/210/Wailmer.SM2L.10.17276.png;sm2l
11;11;;;;;;;;;https://pod.pokellector.com/cards/210/Wailord.SM2L.11.17277.png;sm2l
12;12;;;;;;;;;https://pod.pokellector.com/cards/210/Alomomola.SM2L.12.17278.png;sm2l
13;13;;;;;;;;;https://pod.pokellector.com/cards/210/Wishiwashi.SM2L.13.17279.png;sm2l
14;14;;;;;;;;;https://pod.pokellector.com/cards/210/Wishiwashi-GX.SM2L.14.16532.png;sm2l
15;15;;;;;;;;;https://pod.pokellector.com/cards/210/Alolan-Geodude.SM2L.15.14647.png;sm2l
16;16;;;;;;;;;https://pod.pokellector.com/cards/210/Alolan-Graveler.SM2L.16.17280.png;sm2l
17;17;;;;;;;;;https://pod.pokellector.com/cards/210/Alolan-Golem.SM2L.17.17281.png;sm2l
18;18;;;;;;;;;https://pod.pokellector.com/cards/210/Trubbish.SM2L.18.17282.png;sm2l
19;19;;;;;;;;;https://pod.pokellector.com/cards/210/Garbodor.SM2L.19.17283.png;sm2l
20;20;;;;;;;;;https://pod.pokellector.com/cards/210/Mimikyu.SM2L.20.16501.png;sm2l
21;21;;;;;;;;;https://pod.pokellector.com/cards/210/Dhelmise.SM2L.21.17284.png;sm2l
22;22;;;;;;;;;https://pod.pokellector.com/cards/210/Tapu-Lele-GX.SM2L.22.16502.png;sm2l
23;23;;;;;;;;;https://pod.pokellector.com/cards/210/Gligar.SM2L.23.17285.png;sm2l
24;24;;;;;;;;;https://pod.pokellector.com/cards/210/Gliscor.SM2L.24.17286.png;sm2l
25;25;;;;;;;;;https://pod.pokellector.com/cards/210/Pancham.SM2L.25.17287.png;sm2l
26;26;;;;;;;;;https://pod.pokellector.com/cards/210/Rockruff.SM2L.26.17288.png;sm2l
27;27;;;;;;;;;https://pod.pokellector.com/cards/210/Lycanroc-GX.SM2L.27.14659.png;sm2l
28;28;;;;;;;;;https://pod.pokellector.com/cards/210/Minior.SM2L.28.17252.png;sm2l
29;29;;;;;;;;;https://pod.pokellector.com/cards/210/Murkrow.SM2L.29.17289.png;sm2l
30;30;;;;;;;;;https://pod.pokellector.com/cards/210/Honchkrow.SM2L.30.17290.png;sm2l
31;31;;;;;;;;;https://pod.pokellector.com/cards/210/Sableye.SM2L.31.17291.png;sm2l
32;32;;;;;;;;;https://pod.pokellector.com/cards/210/Pangoro.SM2L.32.17292.png;sm2l
33;33;;;;;;;;;https://pod.pokellector.com/cards/210/Beldum.SM2L.33.17293.png;sm2l
34;34;;;;;;;;;https://pod.pokellector.com/cards/210/Metang.SM2L.34.17294.png;sm2l
35;35;;;;;;;;;https://pod.pokellector.com/cards/210/Metagross-GX.SM2L.35.17295.png;sm2l
36;36;;;;;;;;;https://pod.pokellector.com/cards/210/Cottonee.SM2L.36.17296.png;sm2l
37;37;;;;;;;;;https://pod.pokellector.com/cards/210/Whimsicott.SM2L.37.17297.png;sm2l
38;38;;;;;;;;;https://pod.pokellector.com/cards/210/Goomy.SM2L.38.16528.png;sm2l
39;39;;;;;;;;;https://pod.pokellector.com/cards/210/Sliggoo.SM2L.39.17298.png;sm2l
40;40;;;;;;;;;https://pod.pokellector.com/cards/210/Goodra.SM2L.40.17299.png;sm2l
41;41;;;;;;;;;https://pod.pokellector.com/cards/210/Castform.SM2L.41.17300.png;sm2l
42;42;;;;;;;;;https://pod.pokellector.com/cards/210/Patrat.SM2L.42.17301.png;sm2l
43;43;;;;;;;;;https://pod.pokellector.com/cards/210/Watchog.SM2L.43.17302.png;sm2l
44;44;;;;;;;;;https://pod.pokellector.com/cards/210/Fletchling.SM2L.44.17303.png;sm2l
45;45;;;;;;;;;https://pod.pokellector.com/cards/210/Fletchinder.SM2L.45.17304.png;sm2l
46;46;;;;;;;;;https://pod.pokellector.com/cards/210/Talonflame.SM2L.46.17305.png;sm2l
47;47;;;;;;;;;https://pod.pokellector.com/cards/210/Aqua-Patch.SM2L.47.17306.png;sm2l
48;48;;;;;;;;;https://pod.pokellector.com/cards/210/Rescue-Stretcher.SM2L.48.17307.png;sm2l
49;49;;;;;;;;;https://pod.pokellector.com/cards/210/Mallow.SM2L.49.17308.png;sm2l
50;50;;;;;;;;;https://pod.pokellector.com/cards/210/Brooklet-Hill.SM2L.50.17309.png;sm2l
51;51;;;;;;;;;https://pod.pokellector.com/cards/210/Wishiwashi-GX.SM2L.51.17310.png;sm2l
52;52;;;;;;;;;https://pod.pokellector.com/cards/210/Tapu-Lele-GX.SM2L.52.17311.png;sm2l
53;53;;;;;;;;;https://pod.pokellector.com/cards/210/Lycanroc-GX.SM2L.53.17312.png;sm2l
54;54;;;;;;;;;https://pod.pokellector.com/cards/210/Metagross-GX.SM2L.54.17313.png;sm2l
55;55;;;;;;;;;https://pod.pokellector.com/cards/210/Mallow.SM2L.55.17314.png;sm2l
