rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://pod.pokellector.com/cards/219/Oddish.SM3H.1.18156.png;sm3h
2;2;;;;;;;;;https://pod.pokellector.com/cards/219/Gloom.SM3H.2.18157.png;sm3h
3;3;;;;;;;;;https://pod.pokellector.com/cards/219/Vileplume.SM3H.3.18158.png;sm3h
4;4;;;;;;;;;https://pod.pokellector.com/cards/219/Heracross.SM3H.4.18159.png;sm3h
5;5;;;;;;;;;https://pod.pokellector.com/cards/219/Pansage.SM3H.5.18160.png;sm3h
6;6;;;;;;;;;https://pod.pokellector.com/cards/219/Simisage.SM3H.6.18161.png;sm3h
7;7;;;;;;;;;https://pod.pokellector.com/cards/219/Dewpider.SM3H.7.18162.png;sm3h
8;8;;;;;;;;;https://pod.pokellector.com/cards/219/Araquanid.SM3H.8.18092.png;sm3h
9;9;;;;;;;;;https://pod.pokellector.com/cards/219/Charmander.SM3H.9.18163.png;sm3h
10;10;;;;;;;;;https://pod.pokellector.com/cards/219/Charmeleon.SM3H.10.18164.png;sm3h
11;11;;;;;;;;;https://pod.pokellector.com/cards/219/Charizard-GX.SM3H.11.18109.png;sm3h
12;12;;;;;;;;;https://pod.pokellector.com/cards/219/Ho-oh-GX.SM3H.12.18060.png;sm3h
13;13;;;;;;;;;https://pod.pokellector.com/cards/219/Pansear.SM3H.13.18165.png;sm3h
14;14;;;;;;;;;https://pod.pokellector.com/cards/219/Simisear.SM3H.14.18166.png;sm3h
15;15;;;;;;;;;https://pod.pokellector.com/cards/219/Heatmor.SM3H.15.18088.png;sm3h
16;16;;;;;;;;;https://pod.pokellector.com/cards/219/Horsea.SM3H.16.18167.png;sm3h
17;17;;;;;;;;;https://pod.pokellector.com/cards/219/Seadra.SM3H.17.18168.png;sm3h
18;18;;;;;;;;;https://pod.pokellector.com/cards/219/Kingdra.SM3H.18.18169.png;sm3h
19;19;;;;;;;;;https://pod.pokellector.com/cards/219/Marill.SM3H.19.18170.png;sm3h
20;20;;;;;;;;;https://pod.pokellector.com/cards/219/Azumarill.SM3H.20.18171.png;sm3h
21;21;;;;;;;;;https://pod.pokellector.com/cards/219/Wobbuffet.SM3H.21.18126.png;sm3h
22;22;;;;;;;;;https://pod.pokellector.com/cards/219/Venipede.SM3H.22.18172.png;sm3h
23;23;;;;;;;;;https://pod.pokellector.com/cards/219/Whirlipede.SM3H.23.18173.png;sm3h
24;24;;;;;;;;;https://pod.pokellector.com/cards/219/Darkrai.SM3H.24.18031.png;sm3h
25;25;;;;;;;;;https://pod.pokellector.com/cards/219/Sandygast.SM3H.25.18174.png;sm3h
