rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://pod.pokellector.com/cards/218/Caterpie.SM3N.1.18199.png;sm3n
2;2;;;;;;;;;https://pod.pokellector.com/cards/218/Metapod.SM3N.2.18200.png;sm3n
3;3;;;;;;;;;https://pod.pokellector.com/cards/218/Butterfree.SM3N.3.18107.png;sm3n
4;4;;;;;;;;;https://pod.pokellector.com/cards/218/Tangela.SM3N.4.18201.png;sm3n
5;5;;;;;;;;;https://pod.pokellector.com/cards/218/Tangrowth.SM3N.5.18202.png;sm3n
6;6;;;;;;;;;https://pod.pokellector.com/cards/218/Wimpod.SM3N.6.18203.png;sm3n
7;7;;;;;;;;;https://pod.pokellector.com/cards/218/Golisopod-GX.SM3N.7.18111.png;sm3n
8;8;;;;;;;;;https://pod.pokellector.com/cards/218/Magikarp.SM3N.8.18093.png;sm3n
9;9;;;;;;;;;https://pod.pokellector.com/cards/218/Gyarados.SM3N.9.18204.png;sm3n
10;10;;;;;;;;;https://pod.pokellector.com/cards/218/Panpour.SM3N.10.18205.png;sm3n
11;11;;;;;;;;;https://pod.pokellector.com/cards/218/Simipour.SM3N.11.18206.png;sm3n
12;12;;;;;;;;;https://pod.pokellector.com/cards/218/Bruxish.SM3N.12.18207.png;sm3n
13;13;;;;;;;;;https://pod.pokellector.com/cards/218/Pikachu.SM3N.13.18080.png;sm3n
14;14;;;;;;;;;https://pod.pokellector.com/cards/218/Raichu.SM3N.14.18081.png;sm3n
15;15;;;;;;;;;https://pod.pokellector.com/cards/218/Tynamo.SM3N.15.18208.png;sm3n
16;16;;;;;;;;;https://pod.pokellector.com/cards/218/Eelektrik.SM3N.16.18209.png;sm3n
17;17;;;;;;;;;https://pod.pokellector.com/cards/218/Eelektross.SM3N.17.18210.png;sm3n
18;18;;;;;;;;;https://pod.pokellector.com/cards/218/Seviper.SM3N.18.18091.png;sm3n
19;19;;;;;;;;;https://pod.pokellector.com/cards/218/Duskull.SM3N.19.18129.png;sm3n
20;20;;;;;;;;;https://pod.pokellector.com/cards/218/Dusclops.SM3N.20.18128.png;sm3n
21;21;;;;;;;;;https://pod.pokellector.com/cards/218/Dusknoir.SM3N.21.18127.png;sm3n
22;22;;;;;;;;;https://pod.pokellector.com/cards/218/Croagunk.SM3N.22.18211.png;sm3n
23;23;;;;;;;;;https://pod.pokellector.com/cards/218/Toxicroak.SM3N.23.18090.png;sm3n
24;24;;;;;;;;;https://pod.pokellector.com/cards/218/Espurr.SM3N.24.18212.png;sm3n
25;25;;;;;;;;;https://pod.pokellector.com/cards/218/Meowstic.SM3N.25.18213.png;sm3n
26;26;;;;;;;;;https://pod.pokellector.com/cards/218/Necrozma-GX.SM3N.26.18063.png;sm3n
27;27;;;;;;;;;https://pod.pokellector.com/cards/218/Rhyhorn.SM3N.27.18124.png;sm3n
28;28;;;;;;;;;https://pod.pokellector.com/cards/218/Rhydon.SM3N.28.18214.png;sm3n
29;29;;;;;;;;;https://pod.pokellector.com/cards/218/Rhyperior.SM3N.29.18123.png;sm3n
30;30;;;;;;;;;https://pod.pokellector.com/cards/218/Sawk.SM3N.30.18215.png;sm3n
31;31;;;;;;;;;https://pod.pokellector.com/cards/218/Mudbray.SM3N.31.18216.png;sm3n
32;32;;;;;;;;;https://pod.pokellector.com/cards/218/Mudsdale.SM3N.32.18217.png;sm3n
33;33;;;;;;;;;https://pod.pokellector.com/cards/218/Marshadow-GX.SM3N.33.18146.png;sm3n
