rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://pod.pokellector.com/cards/228/Exeggcute.SM4+.1.19577.png;sm4+
2;2;;;;;;;;;https://pod.pokellector.com/cards/228/Pinsir.SM4+.2.19578.png;sm4+
3;3;;;;;;;;;https://pod.pokellector.com/cards/228/Grubbin.SM4+.3.19579.png;sm4+
4;4;;;;;;;;;https://pod.pokellector.com/cards/228/Dewpider.SM4+.4.19580.png;sm4+
5;5;;;;;;;;;https://pod.pokellector.com/cards/228/Araquanid.SM4+.5.19581.png;sm4+
6;6;;;;;;;;;https://pod.pokellector.com/cards/228/Fomantis.SM4+.6.19582.png;sm4+
7;7;;;;;;;;;https://pod.pokellector.com/cards/228/Lurantis.SM4+.7.19583.png;sm4+
8;8;;;;;;;;;https://pod.pokellector.com/cards/228/Bounsweet.SM4+.8.19584.png;sm4+
9;9;;;;;;;;;https://pod.pokellector.com/cards/228/Steenee.SM4+.9.19585.png;sm4+
10;10;;;;;;;;;https://pod.pokellector.com/cards/228/Tsareena.SM4+.10.19586.png;sm4+
11;11;;;;;;;;;https://pod.pokellector.com/cards/228/Tapu-Bulu.SM4+.11.19587.png;sm4+
12;12;;;;;;;;;https://pod.pokellector.com/cards/228/Pheromosa-GX.SM4+.12.19456.png;sm4+
13;13;;;;;;;;;https://pod.pokellector.com/cards/228/Ho-Oh-GX.SM4+.13.19588.png;sm4+
14;14;;;;;;;;;https://pod.pokellector.com/cards/228/Victini.SM4+.14.19589.png;sm4+
15;15;;;;;;;;;https://pod.pokellector.com/cards/228/Litwick.SM4+.15.19590.png;sm4+
16;16;;;;;;;;;https://pod.pokellector.com/cards/228/Lampent.SM4+.16.19591.png;sm4+
17;17;;;;;;;;;https://pod.pokellector.com/cards/228/Chandelure.SM4+.17.19592.png;sm4+
18;18;;;;;;;;;https://pod.pokellector.com/cards/228/Salandit.SM4+.18.19593.png;sm4+
19;19;;;;;;;;;https://pod.pokellector.com/cards/228/Salazzle.SM4+.19.19594.png;sm4+
20;20;;;;;;;;;https://pod.pokellector.com/cards/228/Alolan-Sandshrew.SM4+.20.19595.png;sm4+
21;21;;;;;;;;;https://pod.pokellector.com/cards/228/Alolan-Sandslash.SM4+.21.19596.png;sm4+
22;22;;;;;;;;;https://pod.pokellector.com/cards/228/Alolan-Vulpix.SM4+.22.19597.png;sm4+
23;23;;;;;;;;;https://pod.pokellector.com/cards/228/Alolan-Ninetales.SM4+.23.19598.png;sm4+
24;24;;;;;;;;;https://pod.pokellector.com/cards/228/Regice.SM4+.24.19599.png;sm4+
25;25;;;;;;;;;https://pod.pokellector.com/cards/228/Pyukumuku.SM4+.25.19600.png;sm4+
26;26;;;;;;;;;https://pod.pokellector.com/cards/228/Tapu-Fini.SM4+.26.19601.png;sm4+
27;27;;;;;;;;;https://pod.pokellector.com/cards/228/Tapu-Fini-GX.SM4+.27.19602.png;sm4+
28;28;;;;;;;;;https://pod.pokellector.com/cards/228/Pikachu.SM4+.28.19603.png;sm4+
29;29;;;;;;;;;https://pod.pokellector.com/cards/228/Raichu.SM4+.29.19604.png;sm4+
30;30;;;;;;;;;https://pod.pokellector.com/cards/228/Charjabug.SM4+.30.19605.png;sm4+
31;31;;;;;;;;;https://pod.pokellector.com/cards/228/Vikavolt.SM4+.31.19606.png;sm4+
32;32;;;;;;;;;https://pod.pokellector.com/cards/228/Tapu-Koko-GX.SM4+.32.19607.png;sm4+
33;33;;;;;;;;;https://pod.pokellector.com/cards/228/Xurkitree-GX.SM4+.33.19475.png;sm4+
34;34;;;;;;;;;https://pod.pokellector.com/cards/228/Alolan-Grimer.SM4+.34.19608.png;sm4+
35;35;;;;;;;;;https://pod.pokellector.com/cards/228/Alolan-Muk.SM4+.35.19609.png;sm4+
36;36;;;;;;;;;https://pod.pokellector.com/cards/228/Mewtwo-GX.SM4+.36.19610.png;sm4+
37;37;;;;;;;;;https://pod.pokellector.com/cards/228/Wobbuffet.SM4+.37.19611.png;sm4+
38;38;;;;;;;;;https://pod.pokellector.com/cards/228/Seviper.SM4+.38.19612.png;sm4+
39;39;;;;;;;;;https://pod.pokellector.com/cards/228/Trubbish.SM4+.39.19613.png;sm4+
40;40;;;;;;;;;https://pod.pokellector.com/cards/228/Garbodor.SM4+.40.19614.png;sm4+
41;41;;;;;;;;;https://pod.pokellector.com/cards/228/Oricorio.SM4+.41.19615.png;sm4+
42;42;;;;;;;;;https://pod.pokellector.com/cards/228/Oricorio.SM4+.42.19616.png;sm4+
43;43;;;;;;;;;https://pod.pokellector.com/cards/228/Mimikyu.SM4+.43.19567.png;sm4+
44;44;;;;;;;;;https://pod.pokellector.com/cards/228/Dhelmise.SM4+.44.19617.png;sm4+
45;45;;;;;;;;;https://pod.pokellector.com/cards/228/Tapu-Lele-GX.SM4+.45.19455.png;sm4+
46;46;;;;;;;;;https://pod.pokellector.com/cards/228/Cosmog.SM4+.46.19574.png;sm4+
47;47;;;;;;;;;https://pod.pokellector.com/cards/228/Cosmoem.SM4+.47.19618.png;sm4+
48;48;;;;;;;;;https://pod.pokellector.com/cards/228/Lunala.SM4+.48.19619.png;sm4+
49;49;;;;;;;;;https://pod.pokellector.com/cards/228/Lunala-GX.SM4+.49.19458.png;sm4+
50;50;;;;;;;;;https://pod.pokellector.com/cards/228/Necrozma-GX.SM4+.50.19572.png;sm4+
51;51;;;;;;;;;https://pod.pokellector.com/cards/228/Sudowoodo.SM4+.51.19620.png;sm4+
52;52;;;;;;;;;https://pod.pokellector.com/cards/228/Lunatone.SM4+.52.19621.png;sm4+
53;53;;;;;;;;;https://pod.pokellector.com/cards/228/Solrock.SM4+.53.19622.png;sm4+
54;54;;;;;;;;;https://pod.pokellector.com/cards/228/Regirock.SM4+.54.19623.png;sm4+
55;55;;;;;;;;;https://pod.pokellector.com/cards/228/Rockruff.SM4+.55.19624.png;sm4+
56;56;;;;;;;;;https://pod.pokellector.com/cards/228/Lycanroc-GX.SM4+.56.19625.png;sm4+
57;57;;;;;;;;;https://pod.pokellector.com/cards/228/Lycanroc-GX.SM4+.57.19626.png;sm4+
58;58;;;;;;;;;https://pod.pokellector.com/cards/228/Passimian.SM4+.58.19627.png;sm4+
59;59;;;;;;;;;https://pod.pokellector.com/cards/228/Sandygast.SM4+.59.19628.png;sm4+
60;60;;;;;;;;;https://pod.pokellector.com/cards/228/Palossand.SM4+.60.19629.png;sm4+
61;61;;;;;;;;;https://pod.pokellector.com/cards/228/Murkrow.SM4+.61.19630.png;sm4+
62;62;;;;;;;;;https://pod.pokellector.com/cards/228/Honchkrow.SM4+.62.19631.png;sm4+
63;63;;;;;;;;;https://pod.pokellector.com/cards/228/Sableye.SM4+.63.19632.png;sm4+
64;64;;;;;;;;;https://pod.pokellector.com/cards/228/Darkrai-GX.SM4+.64.19481.png;sm4+
65;65;;;;;;;;;https://pod.pokellector.com/cards/228/Guzzlord-GX.SM4+.65.19633.png;sm4+
66;66;;;;;;;;;https://pod.pokellector.com/cards/228/Alolan-Diglett.SM4+.66.19634.png;sm4+
67;67;;;;;;;;;https://pod.pokellector.com/cards/228/Alolan-Dugtrio.SM4+.67.19635.png;sm4+
68;68;;;;;;;;;https://pod.pokellector.com/cards/228/Registeel.SM4+.68.19636.png;sm4+
69;69;;;;;;;;;https://pod.pokellector.com/cards/228/Solgaleo.SM4+.69.19637.png;sm4+
70;70;;;;;;;;;https://pod.pokellector.com/cards/228/Solgaleo-GX.SM4+.70.19457.png;sm4+
71;71;;;;;;;;;https://pod.pokellector.com/cards/228/Celesteela-GX.SM4+.71.19482.png;sm4+
72;72;;;;;;;;;https://pod.pokellector.com/cards/228/Magearna.SM4+.72.19479.png;sm4+
73;73;;;;;;;;;https://pod.pokellector.com/cards/228/Sylveon-GX.SM4+.73.19454.png;sm4+
74;74;;;;;;;;;https://pod.pokellector.com/cards/228/Diancie.SM4+.74.19638.png;sm4+
75;75;;;;;;;;;https://pod.pokellector.com/cards/228/Morelull.SM4+.75.19639.png;sm4+
76;76;;;;;;;;;https://pod.pokellector.com/cards/228/Shiinotic.SM4+.76.19640.png;sm4+
77;77;;;;;;;;;https://pod.pokellector.com/cards/228/Tapu-Lele.SM4+.77.19573.png;sm4+
78;78;;;;;;;;;https://pod.pokellector.com/cards/228/Alolan-Exeggutor.SM4+.78.19566.png;sm4+
79;79;;;;;;;;;https://pod.pokellector.com/cards/228/Drampa.SM4+.79.19641.png;sm4+
80;80;;;;;;;;;https://pod.pokellector.com/cards/228/Chansey.SM4+.80.19642.png;sm4+
81;81;;;;;;;;;https://pod.pokellector.com/cards/228/Blissey.SM4+.81.19643.png;sm4+
82;82;;;;;;;;;https://pod.pokellector.com/cards/228/Kangaskhan.SM4+.82.19644.png;sm4+
83;83;;;;;;;;;https://pod.pokellector.com/cards/228/Eevee.SM4+.83.19484.png;sm4+
84;84;;;;;;;;;https://pod.pokellector.com/cards/228/Rayquaza.SM4+.84.19645.png;sm4+
85;85;;;;;;;;;https://pod.pokellector.com/cards/228/Type-Null.SM4+.85.19646.png;sm4+
86;86;;;;;;;;;https://pod.pokellector.com/cards/228/Silvally-GX.SM4+.86.19647.png;sm4+
87;87;;;;;;;;;https://pod.pokellector.com/cards/228/Drampa-GX.SM4+.87.19477.png;sm4+
88;88;;;;;;;;;https://pod.pokellector.com/cards/228/Aqua-Patch.SM4+.88.19648.png;sm4+
89;89;;;;;;;;;https://pod.pokellector.com/cards/228/Escape-Rope.SM4+.89.19649.png;sm4+
90;90;;;;;;;;;https://pod.pokellector.com/cards/228/Enhanced-Hammer.SM4+.90.19650.png;sm4+
91;91;;;;;;;;;https://pod.pokellector.com/cards/228/Timer-Ball.SM4+.91.19651.png;sm4+
92;92;;;;;;;;;https://pod.pokellector.com/cards/228/Nest-Ball.SM4+.92.19652.png;sm4+
93;93;;;;;;;;;https://pod.pokellector.com/cards/228/Field-Blower.SM4+.93.19653.png;sm4+
94;94;;;;;;;;;https://pod.pokellector.com/cards/228/Rare-Candy.SM4+.94.19654.png;sm4+
95;95;;;;;;;;;https://pod.pokellector.com/cards/228/Multi-Switch.SM4+.95.19655.png;sm4+
96;96;;;;;;;;;https://pod.pokellector.com/cards/228/Max-Potion.SM4+.96.19656.png;sm4+
97;97;;;;;;;;;https://pod.pokellector.com/cards/228/Rescue-Stretcher.SM4+.97.19657.png;sm4+
98;98;;;;;;;;;https://pod.pokellector.com/cards/228/Rotom-Dex.SM4+.98.19658.png;sm4+
99;99;;;;;;;;;https://pod.pokellector.com/cards/228/Electro-Memory.SM4+.99.19575.png;sm4+
100;100;;;;;;;;;https://pod.pokellector.com/cards/228/Ancient-Crystal.SM4+.100.19659.png;sm4+
101;101;;;;;;;;;https://pod.pokellector.com/cards/228/Choice-Band.SM4+.101.19660.png;sm4+
102;102;;;;;;;;;https://pod.pokellector.com/cards/228/Fire-Memory.SM4+.102.19576.png;sm4+
103;103;;;;;;;;;https://pod.pokellector.com/cards/228/Acerola.SM4+.103.19478.png;sm4+
104;104;;;;;;;;;https://pod.pokellector.com/cards/228/Kiawe.SM4+.104.19661.png;sm4+
105;105;;;;;;;;;https://pod.pokellector.com/cards/228/Guzma.SM4+.105.19480.png;sm4+
106;106;;;;;;;;;https://pod.pokellector.com/cards/228/Lana.SM4+.106.19483.png;sm4+
107;107;;;;;;;;;https://pod.pokellector.com/cards/228/Mallow.SM4+.107.19662.png;sm4+
108;108;;;;;;;;;https://pod.pokellector.com/cards/228/Lillie.SM4+.108.19474.png;sm4+
109;109;;;;;;;;;https://pod.pokellector.com/cards/228/Lusamine.SM4+.109.19663.png;sm4+
110;110;;;;;;;;;https://pod.pokellector.com/cards/228/Aether-Paradise-Conservation-Area.SM4+.110.19664.png;sm4+
111;111;;;;;;;;;https://pod.pokellector.com/cards/228/Altar-of-the-Moone.SM4+.111.19665.png;sm4+
112;112;;;;;;;;;https://pod.pokellector.com/cards/228/Brooklet-Hill.SM4+.112.19666.png;sm4+
113;113;;;;;;;;;https://pod.pokellector.com/cards/228/Altar-of-the-Sunne.SM4+.113.19667.png;sm4+
114;114;;;;;;;;;https://pod.pokellector.com/cards/228/Double-Colorless-Energy.SM4+.114.19668.png;sm4+
115;115;;;;;;;;;https://cdn.bulbagarden.net/upload/2/27/PheromosaGXUltraPrism140.jpg;sm4+
116;116;;;;;;;;;https://images-na.ssl-images-amazon.com/images/I/61PSOtxA1AL._AC_.jpg;sm4+
117;117;;;;;;;;;https://images-na.ssl-images-amazon.com/images/I/61L9AxmiwmL._AC_.jpg;sm4+
118;118;;;;;;;;;https://pod.pokellector.com/cards/228/Lana.SM4+.118.19568.png;sm4+
119;119;;;;;;;;;https://pod.pokellector.com/cards/228/Lillie.SM4+.119.19571.png;sm4+
120;120;;;;;;;;;https://pod.pokellector.com/cards/228/Lusamine.SM4+.120.19569.png;sm4+
121;121;;;;;;;;;https://thumbs.worthpoint.com/zoom/images1/1/0318/01/pokemon-card-sun-moon-japanese-sm4_1_f16f51ee766f62dbfb4351084b3a1cbf.jpg;sm4+
122;122;;;;;;;;;;sm4+
123;123;;;;;;;;;;sm4+
124;124;;;;;;;;;https://www.c-labo-online.jp/data/c-labo/product/SM4-_124.jpg;sm4+
125;125;;;;;;;;;https://images-na.ssl-images-amazon.com/images/I/61gWDOnu%2BrL._AC_.jpg;sm4+
