rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://pod.pokellector.com/cards/238/Turtwig.SM5+.1.20071.png;sm5+
2;2;;;;;;;;;https://pod.pokellector.com/cards/238/Grotle.SM5+.2.20072.png;sm5+
3;3;;;;;;;;;https://pod.pokellector.com/cards/238/Snover.SM5+.3.20073.png;sm5+
4;4;;;;;;;;;https://pod.pokellector.com/cards/238/Abomasnow.SM5+.4.20042.png;sm5+
5;5;;;;;;;;;https://pod.pokellector.com/cards/238/Chimchar.SM5+.5.20074.png;sm5+
6;6;;;;;;;;;https://pod.pokellector.com/cards/238/Monferno.SM5+.6.20075.png;sm5+
7;7;;;;;;;;;https://pod.pokellector.com/cards/238/Heatran.SM5+.7.20076.png;sm5+
8;8;;;;;;;;;https://pod.pokellector.com/cards/238/Piplup.SM5+.8.20077.png;sm5+
9;9;;;;;;;;;https://pod.pokellector.com/cards/238/Prinplup.SM5+.9.20078.png;sm5+
10;10;;;;;;;;;https://pod.pokellector.com/cards/238/Palkia-GX.SM5+.10.20049.png;sm5+
11;11;;;;;;;;;https://pod.pokellector.com/cards/238/Dewpider.SM5+.11.20079.png;sm5+
12;12;;;;;;;;;https://pod.pokellector.com/cards/238/Araquanid.SM5+.12.20080.png;sm5+
13;13;;;;;;;;;https://pod.pokellector.com/cards/238/Magnemite.SM5+.13.20081.png;sm5+
14;14;;;;;;;;;https://pod.pokellector.com/cards/238/Magneton.SM5+.14.20082.png;sm5+
15;15;;;;;;;;;https://pod.pokellector.com/cards/238/Magnezone.SM5+.15.20043.png;sm5+
16;16;;;;;;;;;https://pod.pokellector.com/cards/238/Xurkitree.SM5+.16.20083.png;sm5+
17;17;;;;;;;;;https://pod.pokellector.com/cards/238/Rotom.SM5+.17.20084.png;sm5+
18;18;;;;;;;;;https://pod.pokellector.com/cards/238/Uxie.SM5+.18.20067.png;sm5+
19;19;;;;;;;;;https://pod.pokellector.com/cards/238/Mesprit.SM5+.19.20085.png;sm5+
20;20;;;;;;;;;https://pod.pokellector.com/cards/238/Azelf.SM5+.20.20066.png;sm5+
21;21;;;;;;;;;https://pod.pokellector.com/cards/238/Dawn-Wings-Necrozma.SM5+.21.20034.png;sm5+
22;22;;;;;;;;;https://pod.pokellector.com/cards/238/Poipole.SM5+.22.20035.png;sm5+
23;23;;;;;;;;;https://pod.pokellector.com/cards/238/Naganadel-GX.SM5+.23.20036.png;sm5+
24;24;;;;;;;;;https://pod.pokellector.com/cards/238/Torterra.SM5+.24.20056.png;sm5+
