rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://pod.pokellector.com/cards/233/Alolan-Sandshrew.SM5M.1.19917.png;sm5m
2;2;;;;;;;;;https://pod.pokellector.com/cards/233/Alolan-Sandslash.SM5M.2.19918.png;sm5m
3;3;;;;;;;;;https://pod.pokellector.com/cards/233/Piplup.SM5M.3.19919.png;sm5m
4;4;;;;;;;;;https://pod.pokellector.com/cards/233/Piplup.SM5M.4.19847.png;sm5m
5;5;;;;;;;;;https://pod.pokellector.com/cards/233/Prinplup.SM5M.5.19920.png;sm5m
6;6;;;;;;;;;https://pod.pokellector.com/cards/233/Empoleon.SM5M.6.19921.png;sm5m
7;7;;;;;;;;;https://pod.pokellector.com/cards/233/Buizel.SM5M.7.19922.png;sm5m
8;8;;;;;;;;;https://pod.pokellector.com/cards/233/Floatzel.SM5M.8.19923.png;sm5m
9;9;;;;;;;;;https://pod.pokellector.com/cards/233/Snover.SM5M.9.19924.png;sm5m
10;10;;;;;;;;;https://pod.pokellector.com/cards/233/Abomasnow.SM5M.10.19925.png;sm5m
11;11;;;;;;;;;https://pod.pokellector.com/cards/233/Glaceon-GX.SM5M.11.19875.png;sm5m
12;12;;;;;;;;;https://pod.pokellector.com/cards/233/Wash-Rotom.SM5M.12.19926.png;sm5m
13;13;;;;;;;;;https://pod.pokellector.com/cards/233/Frost-Rotom.SM5M.13.19927.png;sm5m
14;14;;;;;;;;;https://pod.pokellector.com/cards/233/Manaphy.SM5M.14.19928.png;sm5m
15;15;;;;;;;;;https://pod.pokellector.com/cards/233/Electabuzz.SM5M.15.19929.png;sm5m
16;16;;;;;;;;;https://pod.pokellector.com/cards/233/Electivire.SM5M.16.19930.png;sm5m
17;17;;;;;;;;;https://pod.pokellector.com/cards/233/Shinx.SM5M.17.19868.png;sm5m
18;18;;;;;;;;;https://pod.pokellector.com/cards/233/Shinx.SM5M.18.19931.png;sm5m
19;19;;;;;;;;;https://pod.pokellector.com/cards/233/Luxio.SM5M.19.19869.png;sm5m
20;20;;;;;;;;;https://pod.pokellector.com/cards/233/Luxray.SM5M.20.19859.png;sm5m
21;21;;;;;;;;;https://pod.pokellector.com/cards/233/Pachirisu.SM5M.21.19932.png;sm5m
22;22;;;;;;;;;https://pod.pokellector.com/cards/233/Rotom.SM5M.22.19890.png;sm5m
23;23;;;;;;;;;https://pod.pokellector.com/cards/233/Lunala-Prism-Star.SM5M.23.19852.png;sm5m
24;24;;;;;;;;;https://pod.pokellector.com/cards/233/Drifblim.SM5M.24.19846.png;sm5m
25;25;;;;;;;;;https://pod.pokellector.com/cards/233/Spiritomb.SM5M.25.19933.png;sm5m
26;26;;;;;;;;;https://pod.pokellector.com/cards/233/Skorupi.SM5M.26.19934.png;sm5m
27;27;;;;;;;;;https://pod.pokellector.com/cards/233/Drapion.SM5M.27.19935.png;sm5m
28;28;;;;;;;;;https://pod.pokellector.com/cards/233/Croagunk.SM5M.28.19936.png;sm5m
29;29;;;;;;;;;https://pod.pokellector.com/cards/233/Toxicroak.SM5M.29.19937.png;sm5m
30;30;;;;;;;;;https://pod.pokellector.com/cards/233/Giratina-Prism-Star.SM5M.30.19882.png;sm5m
31;31;;;;;;;;;https://pod.pokellector.com/cards/233/Cresselia.SM5M.31.19938.png;sm5m
32;32;;;;;;;;;https://pod.pokellector.com/cards/233/Lunala.SM5M.32.19939.png;sm5m
33;33;;;;;;;;;https://pod.pokellector.com/cards/233/Dawn-Wings-Necrozma-GX.SM5M.33.19873.png;sm5m
34;34;;;;;;;;;https://pod.pokellector.com/cards/233/Cranidos.SM5M.34.19940.png;sm5m
35;35;;;;;;;;;https://pod.pokellector.com/cards/233/Rampardos.SM5M.35.19886.png;sm5m
36;36;;;;;;;;;https://pod.pokellector.com/cards/233/Riolu.SM5M.36.19941.png;sm5m
37;37;;;;;;;;;https://pod.pokellector.com/cards/233/Lucario.SM5M.37.19879.png;sm5m
38;38;;;;;;;;;https://pod.pokellector.com/cards/233/Hippopotas.SM5M.38.19942.png;sm5m
39;39;;;;;;;;;https://pod.pokellector.com/cards/233/Hippowdon.SM5M.39.19943.png;sm5m
40;40;;;;;;;;;https://pod.pokellector.com/cards/233/Passimian.SM5M.40.19944.png;sm5m
41;41;;;;;;;;;https://pod.pokellector.com/cards/233/Gible.SM5M.41.19945.png;sm5m
42;42;;;;;;;;;https://pod.pokellector.com/cards/233/Gible.SM5M.42.19946.png;sm5m
43;43;;;;;;;;;https://pod.pokellector.com/cards/233/Gabite.SM5M.43.20004.png;sm5m
44;44;;;;;;;;;https://pod.pokellector.com/cards/233/Garchomp.SM5M.44.19880.png;sm5m
45;45;;;;;;;;;https://pod.pokellector.com/cards/233/Palkia-GX.SM5M.45.19909.png;sm5m
46;46;;;;;;;;;https://pod.pokellector.com/cards/233/Eevee.SM5M.46.19947.png;sm5m
47;47;;;;;;;;;https://pod.pokellector.com/cards/233/Buneary.SM5M.47.19870.png;sm5m
48;48;;;;;;;;;https://pod.pokellector.com/cards/233/Lopunny.SM5M.48.19948.png;sm5m
49;49;;;;;;;;;https://pod.pokellector.com/cards/233/Shaymin.SM5M.49.19893.png;sm5m
50;50;;;;;;;;;https://pod.pokellector.com/cards/233/Yungoos.SM5M.50.19949.png;sm5m
51;51;;;;;;;;;https://pod.pokellector.com/cards/233/Gumshoos.SM5M.51.19950.png;sm5m
52;52;;;;;;;;;https://pod.pokellector.com/cards/233/Drampa.SM5M.52.19951.png;sm5m
53;53;;;;;;;;;https://pod.pokellector.com/cards/233/Order-Pad.SM5M.53.19952.png;sm5m
54;54;;;;;;;;;https://pod.pokellector.com/cards/233/Crushing-Hammer.SM5M.54.19953.png;sm5m
55;55;;;;;;;;;https://pod.pokellector.com/cards/233/Mysterious-Fossil.SM5M.55.19954.png;sm5m
56;56;;;;;;;;;https://pod.pokellector.com/cards/233/Ultra-Ball.SM5M.56.19955.png;sm5m
57;57;;;;;;;;;https://pod.pokellector.com/cards/233/Lookers-Whistle.SM5M.57.19912.png;sm5m
58;58;;;;;;;;;https://pod.pokellector.com/cards/233/Rare-Candy.SM5M.58.19956.png;sm5m
59;59;;;;;;;;;https://pod.pokellector.com/cards/233/Rescue-Stretcher.SM5M.59.19957.png;sm5m
60;60;;;;;;;;;https://pod.pokellector.com/cards/233/Escape-Board.SM5M.60.19958.png;sm5m
61;61;;;;;;;;;https://pod.pokellector.com/cards/233/Cynthia.SM5M.61.19959.png;sm5m
62;62;;;;;;;;;https://pod.pokellector.com/cards/233/Volkner.SM5M.62.19860.png;sm5m
63;63;;;;;;;;;https://pod.pokellector.com/cards/233/Looker.SM5M.63.19911.png;sm5m
64;64;;;;;;;;;https://pod.pokellector.com/cards/233/Sophocles.SM5M.64.19960.png;sm5m
65;65;;;;;;;;;https://pod.pokellector.com/cards/233/Super-Boost-Energy-Prism-Star.SM5M.65.19916.png;sm5m
66;66;;;;;;;;;https://pod.pokellector.com/cards/233/Unit-Energy-LPM.SM5M.66.19881.png;sm5m
67;67;;;;;;;;;https://pod.pokellector.com/cards/233/Glaceon-GX.SM5M.67.20018.png;sm5m
68;68;;;;;;;;;https://pod.pokellector.com/cards/233/Dawn-Wings-Necrozma-GX.SM5M.68.20019.png;sm5m
69;69;;;;;;;;;https://pod.pokellector.com/cards/233/Palkia-GX.SM5M.69.20020.png;sm5m
70;70;;;;;;;;;https://pod.pokellector.com/cards/233/Cynthia.SM5M.70.19915.png;sm5m
