rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://pod.pokellector.com/cards/241/Bulbasaur.SM8B.1.24805.png;sm8b
2;2;;;;;;;;;https://pod.pokellector.com/cards/241/Ivysaur.SM8B.2.24806.png;sm8b
3;3;;;;;;;;;https://pod.pokellector.com/cards/241/Venusaur.SM8B.3.24807.png;sm8b
4;4;;;;;;;;;https://pod.pokellector.com/cards/241/Exeggcute.SM8B.4.24808.png;sm8b
5;5;;;;;;;;;https://pod.pokellector.com/cards/241/Mow-Rotom.SM8B.5.24809.png;sm8b
6;6;;;;;;;;;https://pod.pokellector.com/cards/241/Shaymin-Prism-Star.SM8B.6.24810.png;sm8b
7;7;;;;;;;;;https://pod.pokellector.com/cards/241/Wimpod.SM8B.7.24811.png;sm8b
8;8;;;;;;;;;https://pod.pokellector.com/cards/241/Golisopod-GX.SM8B.8.24393.png;sm8b
9;9;;;;;;;;;https://pod.pokellector.com/cards/241/Pheromosa.SM8B.9.24812.png;sm8b
10;10;;;;;;;;;https://pod.pokellector.com/cards/241/Slugma.SM8B.10.24813.png;sm8b
11;11;;;;;;;;;https://pod.pokellector.com/cards/241/Magcargo.SM8B.11.24814.png;sm8b
12;12;;;;;;;;;https://pod.pokellector.com/cards/241/Torchic.SM8B.12.24815.png;sm8b
13;13;;;;;;;;;https://pod.pokellector.com/cards/241/Combusken.SM8B.13.24816.png;sm8b
14;14;;;;;;;;;https://pod.pokellector.com/cards/241/Blaziken.SM8B.14.24817.png;sm8b
15;15;;;;;;;;;https://pod.pokellector.com/cards/241/Heat-Rotom.SM8B.15.24818.png;sm8b
16;16;;;;;;;;;https://pod.pokellector.com/cards/241/Heatmor.SM8B.16.24819.png;sm8b
17;17;;;;;;;;;https://pod.pokellector.com/cards/241/Reshiram.SM8B.17.24820.png;sm8b
18;18;;;;;;;;;https://pod.pokellector.com/cards/241/Reshiram-GX.SM8B.18.24394.png;sm8b
19;19;;;;;;;;;https://pod.pokellector.com/cards/241/Fennekin.SM8B.19.24821.png;sm8b
20;20;;;;;;;;;https://pod.pokellector.com/cards/241/Braixen.SM8B.20.24822.png;sm8b
21;21;;;;;;;;;https://pod.pokellector.com/cards/241/Delphox.SM8B.21.24823.png;sm8b
22;22;;;;;;;;;https://pod.pokellector.com/cards/241/Alolan-Vulpix.SM8B.22.24824.png;sm8b
23;23;;;;;;;;;https://pod.pokellector.com/cards/241/Wooper.SM8B.23.24825.png;sm8b
24;24;;;;;;;;;https://pod.pokellector.com/cards/241/Quagsire.SM8B.24.24826.png;sm8b
25;25;;;;;;;;;https://pod.pokellector.com/cards/241/Snover.SM8B.25.24827.png;sm8b
26;26;;;;;;;;;https://pod.pokellector.com/cards/241/Abomasnow.SM8B.26.24828.png;sm8b
27;27;;;;;;;;;https://pod.pokellector.com/cards/241/Glaceon-GX.SM8B.27.24395.png;sm8b
28;28;;;;;;;;;https://pod.pokellector.com/cards/241/Wash-Rotom.SM8B.28.24829.png;sm8b
29;29;;;;;;;;;https://pod.pokellector.com/cards/241/Frost-Rotom.SM8B.29.24830.png;sm8b
30;30;;;;;;;;;https://pod.pokellector.com/cards/241/Manaphy.SM8B.30.24831.png;sm8b
31;31;;;;;;;;;https://pod.pokellector.com/cards/241/Froakie.SM8B.31.24832.png;sm8b
32;32;;;;;;;;;https://pod.pokellector.com/cards/241/Frogadier.SM8B.32.24833.png;sm8b
33;33;;;;;;;;;https://pod.pokellector.com/cards/241/Greninja-GX.SM8B.33.24396.png;sm8b
34;34;;;;;;;;;https://pod.pokellector.com/cards/241/Raikou.SM8B.34.24834.png;sm8b
35;35;;;;;;;;;https://pod.pokellector.com/cards/241/Pachirisu.SM8B.35.24835.png;sm8b
36;36;;;;;;;;;https://pod.pokellector.com/cards/241/Rotom.SM8B.36.24836.png;sm8b
37;37;;;;;;;;;https://pod.pokellector.com/cards/241/Zekrom.SM8B.37.24837.png;sm8b
38;38;;;;;;;;;https://pod.pokellector.com/cards/241/Xurkitree.SM8B.38.24838.png;sm8b
39;39;;;;;;;;;https://pod.pokellector.com/cards/241/Xurkitree-GX.SM8B.39.24397.png;sm8b
40;40;;;;;;;;;https://pod.pokellector.com/cards/241/Alolan-Marowak.SM8B.40.24839.png;sm8b
41;41;;;;;;;;;https://pod.pokellector.com/cards/241/Seviper.SM8B.41.24840.png;sm8b
42;42;;;;;;;;;https://pod.pokellector.com/cards/241/Inkay.SM8B.42.24841.png;sm8b
43;43;;;;;;;;;https://pod.pokellector.com/cards/241/Malamar.SM8B.43.24842.png;sm8b
44;44;;;;;;;;;https://pod.pokellector.com/cards/241/Tapu-Lele-GX.SM8B.44.24399.png;sm8b
45;45;;;;;;;;;https://pod.pokellector.com/cards/241/Cosmog.SM8B.45.24843.png;sm8b
46;46;;;;;;;;;https://pod.pokellector.com/cards/241/Cosmoem.SM8B.46.24844.png;sm8b
47;47;;;;;;;;;https://pod.pokellector.com/cards/241/Lunala-Prism-Star.SM8B.47.24845.png;sm8b
48;48;;;;;;;;;https://pod.pokellector.com/cards/241/Dawn-Wings-Necrozma.SM8B.48.24846.png;sm8b
49;49;;;;;;;;;https://pod.pokellector.com/cards/241/Dawn-Wings-Necrozma-GX.SM8B.49.24405.png;sm8b
50;50;;;;;;;;;https://pod.pokellector.com/cards/241/Marshadow.SM8B.50.24847.png;sm8b
51;51;;;;;;;;;https://pod.pokellector.com/cards/241/Poipole.SM8B.51.24848.png;sm8b
52;52;;;;;;;;;https://pod.pokellector.com/cards/241/Naganadel-GX.SM8B.52.24398.png;sm8b
53;53;;;;;;;;;https://pod.pokellector.com/cards/241/Cubone.SM8B.53.24849.png;sm8b
54;54;;;;;;;;;https://pod.pokellector.com/cards/241/Sudowoodo.SM8B.54.24850.png;sm8b
55;55;;;;;;;;;https://pod.pokellector.com/cards/241/Riolu.SM8B.55.24851.png;sm8b
56;56;;;;;;;;;https://pod.pokellector.com/cards/241/Lucario.SM8B.56.24852.png;sm8b
57;57;;;;;;;;;https://pod.pokellector.com/cards/241/Zygarde.SM8B.57.24853.png;sm8b
58;58;;;;;;;;;https://pod.pokellector.com/cards/241/Diancie-Prism-Star.SM8B.58.24854.png;sm8b
59;59;;;;;;;;;https://pod.pokellector.com/cards/241/Rockruff.SM8B.59.24855.png;sm8b
60;60;;;;;;;;;https://pod.pokellector.com/cards/241/Lycanroc-GX.SM8B.60.24410.png;sm8b
61;61;;;;;;;;;https://pod.pokellector.com/cards/241/Lycanroc-GX.SM8B.61.24408.png;sm8b
62;62;;;;;;;;;https://pod.pokellector.com/cards/241/Buzzwole.SM8B.62.24856.png;sm8b
63;63;;;;;;;;;https://pod.pokellector.com/cards/241/Buzzswole-GX.SM8B.63.24406.png;sm8b
64;64;;;;;;;;;https://pod.pokellector.com/cards/241/Marshadow-GX.SM8B.64.24409.png;sm8b
65;65;;;;;;;;;https://pod.pokellector.com/cards/241/Sneasel.SM8B.65.24857.png;sm8b
66;66;;;;;;;;;https://pod.pokellector.com/cards/241/Weavile.SM8B.66.24858.png;sm8b
67;67;;;;;;;;;https://pod.pokellector.com/cards/241/Sableye.SM8B.67.24859.png;sm8b
68;68;;;;;;;;;https://pod.pokellector.com/cards/241/Darkrai.SM8B.68.24860.png;sm8b
69;69;;;;;;;;;https://pod.pokellector.com/cards/241/Zorua.SM8B.69.24861.png;sm8b
70;70;;;;;;;;;https://pod.pokellector.com/cards/241/Zoroark-GX.SM8B.70.24402.png;sm8b
71;71;;;;;;;;;https://pod.pokellector.com/cards/241/Deino.SM8B.71.24862.png;sm8b
72;72;;;;;;;;;https://pod.pokellector.com/cards/241/Zweilous.SM8B.72.24863.png;sm8b
73;73;;;;;;;;;https://pod.pokellector.com/cards/241/Hydreigon.SM8B.73.24864.png;sm8b
74;74;;;;;;;;;https://pod.pokellector.com/cards/241/Hoopa.SM8B.74.24865.png;sm8b
75;75;;;;;;;;;https://pod.pokellector.com/cards/241/Guzzlord.SM8B.75.24866.png;sm8b
76;76;;;;;;;;;https://pod.pokellector.com/cards/241/Alolan-Diglett.SM8B.76.24867.png;sm8b
77;77;;;;;;;;;https://pod.pokellector.com/cards/241/Alolan-Dugtrio.SM8B.77.24868.png;sm8b
78;78;;;;;;;;;https://pod.pokellector.com/cards/241/Magnemite.SM8B.78.24869.png;sm8b
79;79;;;;;;;;;https://pod.pokellector.com/cards/241/Magneton.SM8B.79.24870.png;sm8b
80;80;;;;;;;;;https://pod.pokellector.com/cards/241/Magnezone.SM8B.80.24871.png;sm8b
81;81;;;;;;;;;https://pod.pokellector.com/cards/241/Heatran.SM8B.81.24872.png;sm8b
82;82;;;;;;;;;https://pod.pokellector.com/cards/241/Solgaleo-Prism-Star.SM8B.82.24873.png;sm8b
83;83;;;;;;;;;https://pod.pokellector.com/cards/241/Celesteela.SM8B.83.24874.png;sm8b
84;84;;;;;;;;;https://pod.pokellector.com/cards/241/Kartana.SM8B.84.24875.png;sm8b
85;85;;;;;;;;;https://pod.pokellector.com/cards/241/Dusk-Mane-Necrozma.SM8B.85.24876.png;sm8b
86;86;;;;;;;;;https://pod.pokellector.com/cards/241/Dusk-Mane-Necrozma.SM8B.86.24400.png;sm8b
87;87;;;;;;;;;https://pod.pokellector.com/cards/241/Magearna.SM8B.87.24877.png;sm8b
88;88;;;;;;;;;https://pod.pokellector.com/cards/241/Stakataka-GX.SM8B.88.24403.png;sm8b
89;89;;;;;;;;;https://pod.pokellector.com/cards/241/Alolan-Ninetales.SM8B.89.24878.png;sm8b
90;90;;;;;;;;;https://pod.pokellector.com/cards/241/Ralts.SM8B.90.24879.png;sm8b
91;91;;;;;;;;;https://pod.pokellector.com/cards/241/Kirlia.SM8B.91.24880.png;sm8b
92;92;;;;;;;;;https://pod.pokellector.com/cards/241/Gardevoir-GX.SM8B.92.24401.png;sm8b
93;93;;;;;;;;;https://pod.pokellector.com/cards/241/Xerneas.SM8B.93.24881.png;sm8b
94;94;;;;;;;;;https://pod.pokellector.com/cards/241/Diancie.SM8B.94.24882.png;sm8b
95;95;;;;;;;;;https://pod.pokellector.com/cards/241/Mimikyu.SM8B.95.24883.png;sm8b
