rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;C;;;Bulbasaur;;Grass;;;https://pod.pokellector.com/cards/271/Bulbasaur.SMP2.1.28858.png;smp2
2;2;C;;;Ivysaur;;Grass;;;https://pod.pokellector.com/cards/271/Bulbasaur.SMP2.2.28859.png;smp2
3;3;U;;;Ludicolo;;Grass;;;https://pod.pokellector.com/cards/271/Ludicolo.SMP2.3.28860.png;smp2
4;4;C;;;Morelull;;Grass;;;https://pod.pokellector.com/cards/271/Morelull.SMP2.4.28861.png;smp2
5;5;C;;;Charmander;;Fire;;;https://pod.pokellector.com/cards/271/Charmander.SMP2.5.28862.png;smp2
6;6;U;;;Charizard;;Fire;;;https://pod.pokellector.com/cards/271/Charizard.SMP2.6.28863.png;smp2
7;7;RR;;;CharizardGX;;Fire;;;https://pod.pokellector.com/cards/271/Charizard-GX.SMP2.7.27338.png;smp2
8;8;C;;;Arcanine;;Fire;;;https://pod.pokellector.com/cards/271/Arcanine.SMP2.8.28864.png;smp2
9;9;C;;;Psyduck;;Water;;;https://pod.pokellector.com/cards/271/Psyduck.SMP2.9.28865.png;smp2
10;10;C;;;Psyduck;;Water;;;https://pod.pokellector.com/cards/271/Psyduck.SMP2.10.28866.png;smp2
11;11;C;;;Magikarp;;Water;;;https://pod.pokellector.com/cards/271/Magikarp.SMP2.10.28867.png;smp2
12;12;U;;;Greninja;;Water;;;https://pod.pokellector.com/cards/271/Greninja.SMP2.12.28868.png;smp2
13;13;RR;;;GreninjaGX;;Water;;;https://pod.pokellector.com/cards/271/Greninja-GX.SMP2.13.27337.png;smp2
14;14;U;;;Detective Pikachu;;Lightning;;;https://pod.pokellector.com/cards/271/Detective-Pikachu.SMP2.14.27340.png;smp2
15;15;C;;;Mr. Mime;;Psychic;;;https://pod.pokellector.com/cards/271/Mr-Mime.SMP2.15.28869.png;smp2
16;16;U;;;Mewtwo;;Psychic;;;https://pod.pokellector.com/cards/271/Mewtwo.SMP2.16.28870.png;smp2
17;17;RR;;;MewtwoGX;;Psychic;;;https://pod.pokellector.com/cards/271/Mewtwo-GX.SMP2.77.27339.png;smp2
18;18;C;;;Machamp;;Fighting;;;https://pod.pokellector.com/cards/271/Machamp.SMP2.18.28871.png;smp2
19;19;C;;;Jigglypuff;;Fairy;;;https://pod.pokellector.com/cards/271/Jigglypuff.SMP2.19.28872.png;smp2
20;20;C;;;Snubbull;;Fairy;;;https://pod.pokellector.com/cards/271/Snubbull.SMP2.20.28873.png;smp2
21;21;C;;;Snubbull;;Fairy;;;https://pod.pokellector.com/cards/271/Snubbull.SMP2.21.28874.png;smp2
22;22;C;;;Lickitung;;Colorless;;;https://pod.pokellector.com/cards/271/Lickitung.SMP2.22.28875.png;smp2
23;23;U;;;Ditto;;Colorless;;;https://pod.pokellector.com/cards/271/Ditto.SMP2.23.28876.png;smp2
24;24;C;;;Slaking;;Colorless;;;https://pod.pokellector.com/cards/271/Slaking.SMP2.24.28877.png;smp2
25;25;SR;;;Lt. Yoshida;;NoColor;;;https://pod.pokellector.com/cards/271/Detective-Yoshida.SMP2.25.27696.png;smp2
