rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://pod.pokellector.com/cards/295/Butterfree-V.S2A.1.34363.png;s2a
2;2;;;;;;;;;https://pod.pokellector.com/cards/295/Butterfree-VMAX.S2A.2.34364.png;s2a
3;3;;;;;;;;;https://pod.pokellector.com/cards/295/Karrablast.S2A.3.34369.png;s2a
4;4;;;;;;;;;https://pod.pokellector.com/cards/295/Shelmet.S2A.4.34370.png;s2a
5;5;;;;;;;;;https://pod.pokellector.com/cards/295/Accelgor.S2A.5.34371.png;s2a
6;6;;;;;;;;;https://pod.pokellector.com/cards/295/Bounsweet.S2A.6.34372.png;s2a
7;7;;;;;;;;;https://pod.pokellector.com/cards/295/Steenee.S2A.7.34373.png;s2a
8;8;;;;;;;;;https://pod.pokellector.com/cards/295/Tsareena.S2A.8.34374.png;s2a
9;9;;;;;;;;;https://pod.pokellector.com/cards/295/Wimpod.S2A.9.34375.png;s2a
10;10;;;;;;;;;https://pod.pokellector.com/cards/295/Golisopod.S2A.10.34376.png;s2a
11;11;;;;;;;;;https://pod.pokellector.com/cards/295/Heatran.S2A.11.34377.png;s2a
12;12;;;;;;;;;https://pod.pokellector.com/cards/295/Larvesta.S2A.12.34378.png;s2a
13;13;;;;;;;;;https://pod.pokellector.com/cards/295/Volcarona.S2A.13.34379.png;s2a
14;14;;;;;;;;;https://pod.pokellector.com/cards/295/Fletchinder.S2A.14.34380.png;s2a
15;15;;;;;;;;;https://pod.pokellector.com/cards/295/Talonflame.S2A.15.34381.png;s2a
16;16;;;;;;;;;https://pod.pokellector.com/cards/295/Centiscorch-V.S2A.16.34311.png;s2a
17;17;;;;;;;;;https://pod.pokellector.com/cards/295/Centiscorch-VMAX.S2A.17.34310.png;s2a
18;18;;;;;;;;;https://pod.pokellector.com/cards/295/Galarian-Mr-Mime.S2A.18.34382.png;s2a
19;19;;;;;;;;;https://pod.pokellector.com/cards/295/Galarian-Mr-Rime.S2A.19.34365.png;s2a
20;20;;;;;;;;;https://pod.pokellector.com/cards/295/Feebas.S2A.20.34383.png;s2a
21;21;;;;;;;;;https://pod.pokellector.com/cards/295/Milotic.S2A.21.34384.png;s2a
22;22;;;;;;;;;https://pod.pokellector.com/cards/295/Cubchoo.S2A.22.34385.png;s2a
23;23;;;;;;;;;https://pod.pokellector.com/cards/295/Beartic.S2A.23.34386.png;s2a
24;24;;;;;;;;;https://pod.pokellector.com/cards/295/Wishiwashi.S2A.24.34387.png;s2a
25;25;;;;;;;;;https://pod.pokellector.com/cards/295/Vikavolt-V.S2A.25.34388.png;s2a
26;26;;;;;;;;;https://pod.pokellector.com/cards/295/Toxel.S2A.26.34389.png;s2a
27;27;;;;;;;;;https://pod.pokellector.com/cards/295/Toxtricity.S2A.27.34390.png;s2a
28;28;;;;;;;;;https://pod.pokellector.com/cards/295/Snubbull.S2A.28.34391.png;s2a
29;29;;;;;;;;;https://pod.pokellector.com/cards/295/Granbull.S2A.29.34392.png;s2a
30;30;;;;;;;;;https://pod.pokellector.com/cards/295/Gardevoir-V.S2A.30.34313.png;s2a
31;31;;;;;;;;;https://pod.pokellector.com/cards/295/Gardevoir-VMAX.S2A.31.34309.png;s2a
32;32;;;;;;;;;https://pod.pokellector.com/cards/295/Lunatone.S2A.32.34393.png;s2a
33;33;;;;;;;;;https://pod.pokellector.com/cards/295/Dedenne.S2A.33.34366.png;s2a
34;34;;;;;;;;;https://pod.pokellector.com/cards/295/Morelull.S2A.34.34394.png;s2a
35;35;;;;;;;;;https://pod.pokellector.com/cards/295/Shiinotic.S2A.35.34395.png;s2a
36;36;;;;;;;;;https://pod.pokellector.com/cards/295/Sinistea.S2A.36.34396.png;s2a
37;37;;;;;;;;;https://pod.pokellector.com/cards/295/Polteageist.S2A.37.34367.png;s2a
38;38;;;;;;;;;https://pod.pokellector.com/cards/295/Diglett.S2A.38.34397.png;s2a
39;39;;;;;;;;;https://pod.pokellector.com/cards/295/Dugtrio.S2A.39.34398.png;s2a
40;40;;;;;;;;;https://pod.pokellector.com/cards/295/Larvitar.S2A.40.34399.png;s2a
41;41;;;;;;;;;https://pod.pokellector.com/cards/295/Pupitar.S2A.41.34360.png;s2a
42;42;;;;;;;;;https://pod.pokellector.com/cards/295/Tyranitar.S2A.42.34361.png;s2a
43;43;;;;;;;;;https://pod.pokellector.com/cards/295/Solrock.S2A.43.34400.png;s2a
44;44;;;;;;;;;https://pod.pokellector.com/cards/295/Diggersby.S2A.44.34401.png;s2a
45;45;;;;;;;;;https://pod.pokellector.com/cards/295/Grapploct-V.S2A.45.34402.png;s2a
46;46;;;;;;;;;https://pod.pokellector.com/cards/295/Grimer.S2A.46.34403.png;s2a
47;47;;;;;;;;;https://pod.pokellector.com/cards/295/Muk.S2A.47.34404.png;s2a
48;48;;;;;;;;;https://pod.pokellector.com/cards/295/Darkrai.S2A.48.34405.png;s2a
49;49;;;;;;;;;https://pod.pokellector.com/cards/295/Purrloin.S2A.49.34406.png;s2a
50;50;;;;;;;;;https://pod.pokellector.com/cards/295/Liepard.S2A.50.34407.png;s2a
51;51;;;;;;;;;https://pod.pokellector.com/cards/295/Aron.S2A.51.34408.png;s2a
52;52;;;;;;;;;https://pod.pokellector.com/cards/295/Lairon.S2A.52.34409.png;s2a
53;53;;;;;;;;;https://pod.pokellector.com/cards/295/Aggron.S2A.53.34410.png;s2a
54;54;;;;;;;;;https://pod.pokellector.com/cards/295/Escavalier.S2A.54.34411.png;s2a
55;55;;;;;;;;;https://pod.pokellector.com/cards/295/Galarian-Stunfisk-V.S2A.55.34412.png;s2a
56;56;;;;;;;;;https://pod.pokellector.com/cards/295/Sentret.S2A.56.34413.png;s2a
57;57;;;;;;;;;https://pod.pokellector.com/cards/295/Furret.S2A.57.34414.png;s2a
