rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://pod.pokellector.com/cards/297/Seedot.S4.1.35585.png;s4
2;2;;;;;;;;;https://pod.pokellector.com/cards/297/Nuzleaf.S4.2.35586.png;s4
3;3;;;;;;;;;https://pod.pokellector.com/cards/297/Shiftry.S4.3.35587.png;s4
4;4;;;;;;;;;https://pod.pokellector.com/cards/297/Nincada.S4.4.35570.png;s4
5;5;;;;;;;;;https://pod.pokellector.com/cards/297/Ninjask.S4.5.35571.png;s4
6;6;;;;;;;;;https://pod.pokellector.com/cards/297/Skiddo.S4.6.35588.png;s4
7;7;;;;;;;;;https://pod.pokellector.com/cards/297/Gogoat.S4.7.35589.png;s4
8;8;;;;;;;;;https://pod.pokellector.com/cards/297/Orbeetle-V.S4.8.35337.png;s4
9;9;;;;;;;;;https://pod.pokellector.com/cards/297/Orbeetle-VMAX.S4.9.35338.png;s4
10;10;;;;;;;;;https://pod.pokellector.com/cards/297/Charmander.S4.10.35590.png;s4
11;11;;;;;;;;;https://pod.pokellector.com/cards/297/Charmeleon.S4.11.35591.png;s4
12;12;;;;;;;;;https://pod.pokellector.com/cards/297/Charizard.S4.12.35539.png;s4
13;13;;;;;;;;;https://pod.pokellector.com/cards/297/Flareon.S4.13.35582.png;s4
14;14;;;;;;;;;https://pod.pokellector.com/cards/297/Slugma.S4.14.35592.png;s4
15;15;;;;;;;;;https://pod.pokellector.com/cards/297/Magcargo.S4.15.35593.png;s4
16;16;;;;;;;;;https://pod.pokellector.com/cards/297/Talonflame-V.S4.16.35594.png;s4
17;17;;;;;;;;;https://pod.pokellector.com/cards/297/Vaporeon.S4.17.35583.png;s4
18;18;;;;;;;;;https://pod.pokellector.com/cards/297/Wailmer.S4.18.35558.png;s4
19;19;;;;;;;;;https://pod.pokellector.com/cards/297/Wailord.S4.19.35559.png;s4
20;20;;;;;;;;;https://pod.pokellector.com/cards/297/Oshawott.S4.20.35595.png;s4
21;21;;;;;;;;;https://pod.pokellector.com/cards/297/Dewott.S4.21.35596.png;s4
22;22;;;;;;;;;https://pod.pokellector.com/cards/297/Samurott.S4.22.35574.png;s4
23;23;;;;;;;;;https://pod.pokellector.com/cards/297/Galarian-Darmanitan-V.S4.23.35597.png;s4
24;24;;;;;;;;;https://pod.pokellector.com/cards/297/Galarian-Darmanitan-VMAX.S4.24.35598.png;s4
