rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;Rowlet ;モクロー;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Rowlet.S4A.1.36317.png;s4
2;2;;;;Dartrix ;フクスロー;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Dartrix.S4A.2.36318.png;s4
3;3;;;;Decidueye ;ジュナイパー;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Decidueye.S4A.3.35862.png;s4
4;4;;;;Wimpod ;コソクムシ;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Wimpod.S4A.4.36319.png;s4
5;5;;;;Golisopod ;グソクムシャ;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Golisopod.S4A.5.36320.png;s4
6;6;;;;Grookey ;サルノリ;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Grookey.S4A.6.36321.png;s4
7;7;;;;Thwackey ;バチンキー;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Thwackey.S4A.7.36322.png;s4
8;8;;;;Rillaboom ;ゴリランダー;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Rillaboom.S4A.8.36323.png;s4
9;9;;;;Rillaboom V ;ゴリランダーV;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Rillaboom-V.S4A.9.35869.png;s4
10;10;;;;Rillaboom VMAX ;ゴリランダーVMAX;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Rillaboom-VMAX.S4A.10.36324.png;s4
11;11;;;;Blipbug ;サッチムシ;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Blipbug.S4A.11.36325.png;s4
12;12;;;;Dottler ;レドームシ;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Dottler.S4A.12.36326.png;s4
13;13;;;;Orbeetle ;イオルブ;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Orbeetle.S4A.13.36327.png;s4
14;14;;;;Gossifleur ;ヒメンカ;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Gossifleur.S4A.14.36328.png;s4
15;15;;;;Eldegoss ;ワタシラガ;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Eldegoss.S4A.15.36329.png;s4
16;16;;;;Eldegoss V ;ワタシラガV;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Eldegoss-V.S4A.16.35881.png;s4
17;17;;;;Applin ;カジッチュ;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Applin.S4A.17.36330.png;s4
18;18;;;;Flapple ;アップリュー;Pokemon;Grass;;;https://pod.pokellector.com/cards/301/Flapple.S4A.18.36331.png;s4
