rank;jap_url;;;
1;https://pod.pokellector.com/cards/284/Blipbug.S1H.1.31278.png;;;
2;https://pod.pokellector.com/cards/284/Dottler.S1H.2.31279.png;;;
3;https://pod.pokellector.com/cards/284/Orbeetle.S1H.3.31280.png;;;
4;https://pod.pokellector.com/cards/284/Gossifleur.S1H.4.31281.png;;;
5;https://pod.pokellector.com/cards/284/Eldegoss.S1H.5.31282.png;;;
6;https://pod.pokellector.com/cards/284/Torkoal-V.S1H.6.31283.png;;;
7;https://pod.pokellector.com/cards/284/Scorbunny.S1H.7.31284.png;;;
8;https://pod.pokellector.com/cards/284/Raboot.S1H.8.31285.png;;;
9;https://pod.pokellector.com/cards/284/Cinderace.S1H.9.31198.png;;;
10;https://pod.pokellector.com/cards/284/Goldeen.S1H.10.31286.png;;;
11;https://pod.pokellector.com/cards/284/Seaking.S1H.11.31287.png;;;
12;https://pod.pokellector.com/cards/284/Qwilfish.S1H.12.31288.png;;;
13;https://pod.pokellector.com/cards/284/Chewtle.S1H.13.31289.png;;;
14;https://pod.pokellector.com/cards/284/Drednaw.S1H.14.31290.png;;;
15;https://pod.pokellector.com/cards/284/Snom.S1H.15.31291.png;;;
16;https://pod.pokellector.com/cards/284/Frosmoth.S1H.16.31292.png;;;
17;https://pod.pokellector.com/cards/284/Chinchou.S1H.17.31293.png;;;
18;https://pod.pokellector.com/cards/284/Lanturn.S1H.18.31294.png;;;
19;https://pod.pokellector.com/cards/284/Morpeko-V.S1H.19.31295.png;;;
20;https://pod.pokellector.com/cards/284/Morpeko-VMAX.S1H.20.31296.png;;;
21;https://pod.pokellector.com/cards/284/Galarian-Ponyta.S1H.21.31297.png;;;
22;https://pod.pokellector.com/cards/284/Galarian-Rapidash.S1H.22.31298.png;;;
23;https://pod.pokellector.com/cards/284/Munna.S1H.23.31299.png;;;
24;https://pod.pokellector.com/cards/284/Musharna.S1H.24.31300.png;;;
25;https://pod.pokellector.com/cards/284/Indeedee-V.S1H.25.31202.png;;;
