rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_1_R_JP_SM.png;20th
2;2;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_2_R_JP_SM.png;20th
3;3;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_3_R_JP_SM.png;20th
4;4;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_4_R_JP_SM.png;20th
5;5;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_5_R_JP_SM.png;20th
6;6;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_6_R_JP_SM.png;20th
7;7;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_7_R_JP_SM.png;20th
8;8;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_8_R_JP_SM.png;20th
9;9;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_9_R_JP_SM.png;20th
10;10;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_10_R_JP_SM.png;20th
11;11;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_11_R_JP_SM.png;20th
12;12;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_12_R_JP_SM.png;20th
13;13;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_13_R_JP_SM.png;20th
14;14;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_14_R_JP_SM.png;20th
15;15;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_15_R_JP_SM.png;20th
16;16;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_16_R_JP_SM.png;20th
17;17;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_17_R_JP_SM.png;20th
18;18;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_18_R_JP_SM.png;20th
19;19;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_19_R_JP_SM.png;20th
20;20;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_20_R_JP_SM.png;20th
21;21;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_21_R_JP_SM.png;20th
22;22;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_22_R_JP_SM.png;20th
23;23;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_23_R_JP_SM.png;20th
24;24;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_24_R_JP_SM.png;20th
25;25;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_25_R_JP_SM.png;20th
26;26;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_26_R_JP_SM.png;20th
27;27;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_27_R_JP_SM.png;20th
28;28;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_28_R_JP_SM.png;20th
29;29;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_29_R_JP_SM.png;20th
30;30;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_30_R_JP_SM.png;20th
31;31;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_31_R_JP_SM.png;20th
32;32;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_32_R_JP_SM.png;20th
33;33;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_33_R_JP_SM.png;20th
34;34;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_34_R_JP_SM.png;20th
35;35;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_35_R_JP_SM.png;20th
36;36;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_36_R_JP_SM.png;20th
37;37;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_37_R_JP_SM.png;20th
38;38;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_38_R_JP_SM.png;20th
39;39;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_39_R_JP_SM.png;20th
40;40;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_40_R_JP_SM.png;20th
41;41;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_41_R_JP_SM.png;20th
42;42;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_42_R_JP_SM.png;20th
43;43;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_43_R_JP_SM.png;20th
44;44;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_44_R_JP_SM.png;20th
45;45;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_45_R_JP_SM.png;20th
46;46;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_46_R_JP_SM.png;20th
47;47;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_47_R_JP_SM.png;20th
48;48;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_48_R_JP_SM.png;20th
49;49;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_49_R_JP_SM.png;20th
50;50;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_50_R_JP_SM.png;20th
51;51;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_51_R_JP_SM.png;20th
52;52;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_52_R_JP_SM.png;20th
53;53;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_53_R_JP_SM.png;20th
54;54;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_54_R_JP_SM.png;20th
55;55;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_55_R_JP_SM.png;20th
56;56;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_56_R_JP_SM.png;20th
57;57;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_57_R_JP_SM.png;20th
58;58;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_58_R_JP_SM.png;20th
59;59;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_59_R_JP_SM.png;20th
60;60;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_60_R_JP_SM.png;20th
61;61;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_61_R_JP_SM.png;20th
62;62;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_62_R_JP_SM.png;20th
63;63;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_63_R_JP_SM.png;20th
64;64;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_64_R_JP_SM.png;20th
65;65;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_65_R_JP_SM.png;20th
66;66;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_66_R_JP_SM.png;20th
67;67;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_67_R_JP_SM.png;20th
68;68;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_68_R_JP_SM.png;20th
69;69;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_69_R_JP_SM.png;20th
70;70;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_70_R_JP_SM.png;20th
71;71;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_71_R_JP_SM.png;20th
72;72;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_72_R_JP_SM.png;20th
73;73;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_73_R_JP_SM.png;20th
74;74;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_74_R_JP_SM.png;20th
75;75;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_75_R_JP_SM.png;20th
76;76;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_76_R_JP_SM.png;20th
77;77;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_77_R_JP_SM.png;20th
78;;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_NAN1_R_JP_SM.png;20th
79;;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/20th/20th_NAN2_R_JP_SM.png;20th
