rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_1_R_JP_SM.png;cp6
2;2;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_2_R_JP_SM.png;cp6
3;3;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_3_R_JP_SM.png;cp6
4;4;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_4_R_JP_SM.png;cp6
5;5;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_5_R_JP_SM.png;cp6
6;6;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_6_R_JP_SM.png;cp6
7;7;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_7_R_JP_SM.png;cp6
8;8;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_8_R_JP_SM.png;cp6
9;9;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_9_R_JP_SM.png;cp6
10;10;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_10_R_JP_SM.png;cp6
11;11;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_11_R_JP_SM.png;cp6
12;12;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_12_R_JP_SM.png;cp6
13;13;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_13_R_JP_SM.png;cp6
14;14;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_14_R_JP_SM.png;cp6
15;15;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_15_R_JP_SM.png;cp6
16;16;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_16_R_JP_SM.png;cp6
17;17;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_17_R_JP_SM.png;cp6
18;18;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_18_R_JP_SM.png;cp6
19;19;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/CP6/CP6_19_R_JP_SM.png;cp6
