rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_1_R_JP_SM.png;hxy
2;2;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_2_R_JP_SM.png;hxy
3;3;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_3_R_JP_SM.png;hxy
4;4;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_4_R_JP_SM.png;hxy
5;5;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_5_R_JP_SM.png;hxy
6;6;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_6_R_JP_SM.png;hxy
7;7;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_7_R_JP_SM.png;hxy
8;8;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_8_R_JP_SM.png;hxy
9;9;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_9_R_JP_SM.png;hxy
10;10;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_10_R_JP_SM.png;hxy
11;11;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_11_R_JP_SM.png;hxy
12;12;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_12_R_JP_SM.png;hxy
13;13;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_13_R_JP_SM.png;hxy
14;14;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_14_R_JP_SM.png;hxy
15;15;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_15_R_JP_SM.png;hxy
16;16;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_16_R_JP_SM.png;hxy
17;17;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_17_R_JP_SM.png;hxy
18;18;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_18_R_JP_SM.png;hxy
19;19;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_19_R_JP_SM.png;hxy
20;20;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_20_R_JP_SM.png;hxy
21;21;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_21_R_JP_SM.png;hxy
22;22;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_22_R_JP_SM.png;hxy
23;23;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_23_R_JP_SM.png;hxy
24;24;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_24_R_JP_SM.png;hxy
25;25;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_25_R_JP_SM.png;hxy
26;26;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_26_R_JP_SM.png;hxy
27;27;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_27_R_JP_SM.png;hxy
28;28;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_28_R_JP_SM.png;hxy
29;29;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_29_R_JP_SM.png;hxy
30;30;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_30_R_JP_SM.png;hxy
31;31;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_31_R_JP_SM.png;hxy
32;32;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_32_R_JP_SM.png;hxy
33;33;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_33_R_JP_SM.png;hxy
34;34;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_34_R_JP_SM.png;hxy
35;35;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_35_R_JP_SM.png;hxy
36;36;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_36_R_JP_SM.png;hxy
37;37;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_37_R_JP_SM.png;hxy
38;38;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_38_R_JP_SM.png;hxy
39;39;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/HXY/HXY_39_R_JP_SM.png;hxy
