rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_1_R_JP_SM.png;xy11a
2;2;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_2_R_JP_SM.png;xy11a
3;3;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_3_R_JP_SM.png;xy11a
4;4;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_4_R_JP_SM.png;xy11a
5;5;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_5_R_JP_SM.png;xy11a
6;6;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_6_R_JP_SM.png;xy11a
7;7;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_7_R_JP_SM.png;xy11a
8;8;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_8_R_JP_SM.png;xy11a
9;9;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_9_R_JP_SM.png;xy11a
10;10;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_10_R_JP_SM.png;xy11a
11;11;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_11_R_JP_SM.png;xy11a
12;12;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_12_R_JP_SM.png;xy11a
13;13;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_13_R_JP_SM.png;xy11a
14;14;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_14_R_JP_SM.png;xy11a
15;15;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_15_R_JP_SM.png;xy11a
16;16;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_16_R_JP_SM.png;xy11a
17;17;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_17_R_JP_SM.png;xy11a
18;18;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_18_R_JP_SM.png;xy11a
19;19;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_19_R_JP_SM.png;xy11a
20;20;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_20_R_JP_SM.png;xy11a
21;21;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_21_R_JP_SM.png;xy11a
22;22;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_22_R_JP_SM.png;xy11a
23;23;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_23_R_JP_SM.png;xy11a
24;24;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_24_R_JP_SM.png;xy11a
25;25;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_25_R_JP_SM.png;xy11a
26;26;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_26_R_JP_SM.png;xy11a
27;27;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_27_R_JP_SM.png;xy11a
28;28;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_28_R_JP_SM.png;xy11a
29;29;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_29_R_JP_SM.png;xy11a
30;30;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_30_R_JP_SM.png;xy11a
31;31;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_31_R_JP_SM.png;xy11a
32;32;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_32_R_JP_SM.png;xy11a
33;33;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_33_R_JP_SM.png;xy11a
34;34;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_34_R_JP_SM.png;xy11a
35;35;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_35_R_JP_SM.png;xy11a
36;36;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_36_R_JP_SM.png;xy11a
37;37;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_37_R_JP_SM.png;xy11a
38;38;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_38_R_JP_SM.png;xy11a
39;39;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_39_R_JP_SM.png;xy11a
40;40;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_40_R_JP_SM.png;xy11a
41;41;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_41_R_JP_SM.png;xy11a
42;42;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_42_R_JP_SM.png;xy11a
43;43;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_43_R_JP_SM.png;xy11a
44;44;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_44_R_JP_SM.png;xy11a
45;45;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_45_R_JP_SM.png;xy11a
46;46;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_46_R_JP_SM.png;xy11a
47;47;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_47_R_JP_SM.png;xy11a
48;48;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_48_R_JP_SM.png;xy11a
49;49;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_49_R_JP_SM.png;xy11a
50;50;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_50_R_JP_SM.png;xy11a
51;51;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_51_R_JP_SM.png;xy11a
52;52;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_52_R_JP_SM.png;xy11a
53;53;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_53_R_JP_SM.png;xy11a
54;54;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_54_R_JP_SM.png;xy11a
55;55;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY11b/XY11b_55_R_JP_SM.png;xy11a
