rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_1_R_JP_SM.png;xy4
2;2;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_2_R_JP_SM.png;xy4
3;3;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_3_R_JP_SM.png;xy4
4;4;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_4_R_JP_SM.png;xy4
5;5;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_5_R_JP_SM.png;xy4
6;6;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_6_R_JP_SM.png;xy4
7;7;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_7_R_JP_SM.png;xy4
8;8;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_8_R_JP_SM.png;xy4
9;9;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_9_R_JP_SM.png;xy4
10;10;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_10_R_JP_SM.png;xy4
11;11;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_11_R_JP_SM.png;xy4
12;12;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_12_R_JP_SM.png;xy4
13;13;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_13_R_JP_SM.png;xy4
14;14;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_14_R_JP_SM.png;xy4
15;15;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_15_R_JP_SM.png;xy4
16;16;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_16_R_JP_SM.png;xy4
17;17;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_17_R_JP_SM.png;xy4
18;18;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_18_R_JP_SM.png;xy4
19;19;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_19_R_JP_SM.png;xy4
20;20;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_20_R_JP_SM.png;xy4
21;21;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_21_R_JP_SM.png;xy4
22;22;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_22_R_JP_SM.png;xy4
23;23;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY4/XY4_23_R_JP_SM.png;xy4
