rank;number;rarety_type;ultra_type;fr_name;en_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_1_R_JP_SM.png;xy8b
2;2;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_2_R_JP_SM.png;xy8b
3;3;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_3_R_JP_SM.png;xy8b
4;4;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_4_R_JP_SM.png;xy8b
5;5;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_5_R_JP_SM.png;xy8b
6;6;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_6_R_JP_SM.png;xy8b
7;7;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_7_R_JP_SM.png;xy8b
8;8;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_8_R_JP_SM.png;xy8b
9;9;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_9_R_JP_SM.png;xy8b
10;10;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_10_R_JP_SM.png;xy8b
11;11;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_11_R_JP_SM.png;xy8b
12;12;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_12_R_JP_SM.png;xy8b
13;13;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_13_R_JP_SM.png;xy8b
14;14;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_14_R_JP_SM.png;xy8b
15;15;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_15_R_JP_SM.png;xy8b
16;16;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_16_R_JP_SM.png;xy8b
17;17;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_17_R_JP_SM.png;xy8b
18;18;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_18_R_JP_SM.png;xy8b
19;19;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_19_R_JP_SM.png;xy8b
20;20;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_20_R_JP_SM.png;xy8b
21;21;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_21_R_JP_SM.png;xy8b
22;22;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_22_R_JP_SM.png;xy8b
23;23;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_23_R_JP_SM.png;xy8b
24;24;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_24_R_JP_SM.png;xy8b
25;25;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_25_R_JP_SM.png;xy8b
26;26;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_26_R_JP_SM.png;xy8b
27;27;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_27_R_JP_SM.png;xy8b
28;28;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_28_R_JP_SM.png;xy8b
29;29;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_29_R_JP_SM.png;xy8b
30;30;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_30_R_JP_SM.png;xy8b
31;31;;;;;;;;;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpc/XY8r/XY8r_31_R_JP_SM.png;xy8b
