number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Alakazam;Alakazam;Pokémon;Psychic;65;Ken Sugimori;https://www.pokepedia.fr/images/e/ea/Carte_Set_de_Base_1.png;;;https://images.pokemontcg.io/base1/1.png;Base
2;Rare Holo;;Tortank;Blastoise;Pokémon;Water;9;Ken Sugimori;https://www.pokepedia.fr/images/c/ca/Carte_Set_de_Base_2.png;;;https://images.pokemontcg.io/base1/2.png;Base
3;Rare Holo;;Leveinard;Chansey;Pokémon;Colorless;113;Ken Sugimori;;https://www.pokepedia.fr/images/0/0a/Carte_Set_de_Base_3.png;;https://images.pokemontcg.io/base1/3.png;Base
4;Rare Holo;;Dracaufeu;Charizard;Pokémon;Fire;6;Mitsuhiro Arita;https://www.pokepedia.fr/images/thumb/e/ee/Carte_Set_de_Base_4.png/500px-Carte_Set_de_Base_4.png;;;https://images.pokemontcg.io/base1/4.png;Base
5;Rare Holo;;Mélofée;Clefairy;Pokémon;Colorless;35;Ken Sugimori;https://www.pokepedia.fr/images/d/d1/Carte_Set_de_Base_5.png;;;https://images.pokemontcg.io/base1/5.png;Base
6;Rare Holo;;Léviator;Gyarados;Pokémon;Water;130;Mitsuhiro Arita;https://www.pokepedia.fr/images/c/cd/Carte_Set_de_Base_6.png;;;https://images.pokemontcg.io/base1/6.png;Base
7;Rare Holo;;Tygnon;Hitmonchan;Pokémon;Fighting;107;Ken Sugimori;https://www.pokepedia.fr/images/3/38/Carte_Set_de_Base_7.png;;;https://images.pokemontcg.io/base1/7.png;Base
8;Rare Holo;;Mackogneur;Machamp;Pokémon;Fighting;68;Ken Sugimori;;https://www.pokepedia.fr/images/a/a9/Carte_Set_de_Base_8.png;;https://images.pokemontcg.io/base1/8.png;Base
9;Rare Holo;;Magneton;Magneton;Pokémon;Lightning;82;Keiji Kinebuchi;https://www.pokepedia.fr/images/4/46/Carte_Set_de_Base_9.png;;;https://images.pokemontcg.io/base1/9.png;Base
10;Rare Holo;;Mewtwo;Mewtwo;Pokémon;Psychic;150;Ken Sugimori;;https://www.pokepedia.fr/images/8/8d/Carte_Set_de_Base_10.png;;https://images.pokemontcg.io/base1/10.png;Base
11;Rare Holo;;Nidoking;Nidoking;Pokémon;Grass;34;Ken Sugimori;https://www.pokepedia.fr/images/a/ab/Carte_Set_de_Base_11.png;;;https://images.pokemontcg.io/base1/11.png;Base
12;Rare Holo;;Feunard;Ninetales;Pokémon;Fire;38;Ken Sugimori;https://www.pokepedia.fr/images/6/69/Carte_Set_de_Base_12.png;;;https://images.pokemontcg.io/base1/12.png;Base
13;Rare Holo;;Tartard;Poliwrath;Pokémon;Water;62;Ken Sugimori;https://www.pokepedia.fr/images/8/89/Carte_Set_de_Base_13.png;;;https://images.pokemontcg.io/base1/13.png;Base
14;Rare Holo;;Raichu;Raichu;Pokémon;Lightning;26;Ken Sugimori;https://www.pokepedia.fr/images/0/02/Carte_Set_de_Base_14.png;;;https://images.pokemontcg.io/base1/14.png;Base
15;Rare Holo;;Florizarre;Venusaur;Pokémon;Grass;3;Mitsuhiro Arita;https://www.pokepedia.fr/images/4/48/Carte_Set_de_Base_15.png;;;https://images.pokemontcg.io/base1/15.png;Base
16;Rare Holo;;Electhor;Zapdos;Pokémon;Lightning;145;Ken Sugimori;https://www.pokepedia.fr/images/b/be/Carte_Set_de_Base_16.png;;;https://images.pokemontcg.io/base1/16.png;Base
17;Rare;;Dardargnan;Beedrill;Pokémon;Grass;15;Ken Sugimori;https://www.pokepedia.fr/images/1/16/Carte_Set_de_Base_17.png;;;https://images.pokemontcg.io/base1/17.png;Base
18;Rare;;Draco;Dragonair;Pokémon;Colorless;148;Mitsuhiro Arita;;https://www.pokepedia.fr/images/6/67/Carte_Set_de_Base_18.png;;https://images.pokemontcg.io/base1/18.png;Base
19;Rare;;Triopikeur;Dugtrio;Pokémon;Fighting;51;Keiji Kinebuchi;https://www.pokepedia.fr/images/2/22/Carte_Set_de_Base_19.png;;;https://images.pokemontcg.io/base1/19.png;Base
20;Rare;;Elektek;Electabuzz;Pokémon;Lightning;125;Ken Sugimori;;https://www.pokepedia.fr/images/1/12/Carte_Set_de_Base_20.png;;https://images.pokemontcg.io/base1/20.png;Base
21;Rare;;Électrode;Electrode;Pokémon;Lightning;101;Keiji Kinebuchi;;https://www.pokepedia.fr/images/d/db/Carte_Set_de_Base_21.png;;https://images.pokemontcg.io/base1/21.png;Base
22;Rare;;Roucoups;Pidgeotto;Pokémon;Colorless;17;Ken Sugimori;https://www.pokepedia.fr/images/e/e4/Carte_Set_de_Base_22.png;;;https://images.pokemontcg.io/base1/22.png;Base
23;Uncommon;;Arcanin;Arcanine;Pokémon;Fire;59;Ken Sugimori;https://www.pokepedia.fr/images/a/a7/Carte_Set_de_Base_23.png;;;https://images.pokemontcg.io/base1/23.png;Base
24;Uncommon;;Reptincel;Charmeleon;Pokémon;Fire;5;Mitsuhiro Arita;https://www.pokepedia.fr/images/5/5e/Carte_Set_de_Base_24.png;;;https://images.pokemontcg.io/base1/24.png;Base
25;Uncommon;;Lamantine;Dewgong;Pokémon;Water;87;Mitsuhiro Arita;https://www.coleka.com/media/item/201808/29/set-de-base-lamantine-025-102-001.jpg;;;https://images.pokemontcg.io/base1/25.png;Base
26;Uncommon;;Minidraco;Dratini;Pokémon;Colorless;147;Ken Sugimori;https://www.pokepedia.fr/images/7/71/Carte_Set_de_Base_26.png;;;https://images.pokemontcg.io/base1/26.png;Base
27;Uncommon;;Canarticho;Farfetch'd;Pokémon;Colorless;83;Ken Sugimori;https://www.pokepedia.fr/images/9/95/Carte_Set_de_Base_27.png;;;https://images.pokemontcg.io/base1/27.png;Base
28;Uncommon;;Caninos;Growlithe;Pokémon;Fire;58;Ken Sugimori;https://www.pokepedia.fr/images/4/4c/Carte_Set_de_Base_28.png;;;https://images.pokemontcg.io/base1/28.png;Base
29;Uncommon;;Spectrum;Haunter;Pokémon;Psychic;93;Keiji Kinebuchi;https://www.pokepedia.fr/images/9/9f/Carte_Set_de_Base_29.png;;;https://images.pokemontcg.io/base1/29.png;Base
30;Uncommon;;Herbizarre;Ivysaur;Pokémon;Grass;2;Ken Sugimori;https://www.pokepedia.fr/images/1/11/Carte_Set_de_Base_30.png;;;https://images.pokemontcg.io/base1/30.png;Base
31;Uncommon;;Lippoutou;Jynx;Pokémon;Psychic;124;Ken Sugimori;https://www.pokepedia.fr/images/9/93/Carte_Set_de_Base_31.png;;;https://images.pokemontcg.io/base1/31.png;Base
32;Uncommon;;Kadabra;Kadabra;Pokémon;Psychic;64;Ken Sugimori;https://www.pokepedia.fr/images/1/1c/Carte_Set_de_Base_32.png;;;https://images.pokemontcg.io/base1/32.png;Base
33;Uncommon;;Coconfort;Kakuna;Pokémon;Grass;14;Keiji Kinebuchi;https://www.pokepedia.fr/images/7/78/Carte_Set_de_Base_33.png;;;https://images.pokemontcg.io/base1/33.png;Base
34;Uncommon;;Machopeur;Machoke;Pokémon;Fighting;67;Ken Sugimori;https://www.pokepedia.fr/images/e/e9/Carte_Set_de_Base_34.png;;;https://images.pokemontcg.io/base1/34.png;Base
35;Uncommon;;Magicarpe;Magikarp;Pokémon;Water;129;Mitsuhiro Arita;https://www.pokepedia.fr/images/9/98/Carte_Set_de_Base_35.png;;;https://images.pokemontcg.io/base1/35.png;Base
36;Uncommon;;Magmar;Magmar;Pokémon;Fire;126;Ken Sugimori;https://www.pokepedia.fr/images/a/a0/Carte_Set_de_Base_36.png;;;https://images.pokemontcg.io/base1/36.png;Base
