number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Alakazam Obscur;Dark Alakazam;Pokémon;Psychic;65;Ken Sugimori;;https://www.pokepedia.fr/images/thumb/8/8a/Carte_Team_Rocket_1.png/500px-Carte_Team_Rocket_1.png;https://images.pokemontcg.io/base5/1.png;;Team Rocket
2;Rare Holo;;Arbok Obscur;Dark Arbok;Pokémon;Grass;24;Mitsuhiro Arita;https://www.pokepedia.fr/images/7/7c/Carte_Team_Rocket_2.png;;https://images.pokemontcg.io/base5/2.png;;Team Rocket
3;Rare Holo;;Tortank Obscur;Dark Blastoise;Pokémon;Water;9;Mitsuhiro Arita;;;https://images.pokemontcg.io/base5/3.png;;Team Rocket
4;Rare Holo;;Dracaufeu Obscur;Dark Charizard;Pokémon;Fire;6;Ken Sugimori;https://www.pokepedia.fr/images/8/84/Carte_Team_Rocket_4.png;;https://images.pokemontcg.io/base5/4.png;;Team Rocket
5;Rare Holo;;Dracolosse Obscur;Dark Dragonite;Pokémon;Colorless;149;Mitsuhiro Arita;https://www.pokepedia.fr/images/3/3c/Carte_Team_Rocket_5.png;;https://images.pokemontcg.io/base5/5.png;;Team Rocket
6;Rare Holo;;Triopikeur Obscur;Dark Dugtrio;Pokémon;Fighting;51;Kagemaru Himeno;;;https://images.pokemontcg.io/base5/6.png;;Team Rocket
7;Rare Holo;;Nosféralto Obscur;Dark Golbat;Pokémon;Grass;42;Mitsuhiro Arita;;;https://images.pokemontcg.io/base5/7.png;;Team Rocket
8;Rare Holo;;Léviator Obscur;Dark Gyarados;Pokémon;Water;130;Kagemaru Himeno;https://www.pokepedia.fr/images/thumb/7/76/Carte_Team_Rocket_8.png/500px-Carte_Team_Rocket_8.png;;https://images.pokemontcg.io/base5/8.png;;Team Rocket
9;Rare Holo;;Hypnomade Obscur;Dark Hypno;Pokémon;Psychic;97;Kagemaru Himeno;;;https://images.pokemontcg.io/base5/9.png;;Team Rocket
10;Rare Holo;;Mackogneur Obscur;Dark Machamp;Pokémon;Fighting;68;Mitsuhiro Arita;;;https://images.pokemontcg.io/base5/10.png;;Team Rocket
11;Rare Holo;;Magneton Obscur;Dark Magneton;Pokémon;Lightning;82;Miki Tanaka;;;https://images.pokemontcg.io/base5/11.png;;Team Rocket
