number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Mélodelfe;Clefable;Pokémon;Colorless;36;sui;https://www.pokepedia.fr/images/c/c5/Carte_L%27Appel_des_L%C3%A9gendes_1.png;;https://images.pokemontcg.io/col1/1.png;;Call of Legends
2;Rare Holo;;Deoxys;Deoxys;Pokémon;Psychic;386;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_2.png;;https://images.pokemontcg.io/col1/2.png;;Call of Legends
3;Rare Holo;;Dialga;Dialga;Pokémon;Metal;483;Ayaka Yoshida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_3.png;;https://images.pokemontcg.io/col1/3.png;;Call of Legends
4;Rare Holo;;Mentali;Espeon;Pokémon;Psychic;196;match;https://res.cloudinary.com/dkhwpritu/image/upload/v1557907842/modifs/Capture_d_e%CC%81cran_2019-05-13_a%CC%80_14.00.54.png;;https://images.pokemontcg.io/col1/4.png;;Call of Legends
5;Rare Holo;;Foretress;Forretress;Pokémon;Metal;205;Kyoko Umemoto;https://res.cloudinary.com/dkhwpritu/image/upload/v1557907899/modifs/Capture_d_e%CC%81cran_2019-05-13_a%CC%80_14.02.11.png;;https://images.pokemontcg.io/col1/5.png;;Call of Legends
6;Rare Holo;;Groudon;Groudon;Pokémon;Fighting;383;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_6.png;;https://images.pokemontcg.io/col1/6.png;;Call of Legends
7;Rare Holo;;Léviator;Gyarados;Pokémon;Water;130;Mitsuhiro Arita;https://res.cloudinary.com/dkhwpritu/image/upload/v1557907910/modifs/Capture_d_e%CC%81cran_2019-05-13_a%CC%80_14.03.19.png;;https://images.pokemontcg.io/col1/7.png;;Call of Legends
8;Rare Holo;;Kapoera;Hitmontop;Pokémon;Fighting;237;Shigenori Negishi;https://www.pokepedia.fr/images/0/04/Carte_L%27Appel_des_L%C3%A9gendes_8.png;;https://images.pokemontcg.io/col1/8.png;;Call of Legends
9;Rare Holo;;Ho-Oh;Ho-Oh;Pokémon;Fire;250;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_9.png;;https://images.pokemontcg.io/col1/9.png;;Call of Legends
10;Rare Holo;;Démolosse;Houndoom;Pokémon;Darkness;229;Kagemaru Himeno;https://res.cloudinary.com/dkhwpritu/image/upload/v1557907856/modifs/Capture_d_e%CC%81cran_2019-05-13_a%CC%80_14.04.12.png;;https://images.pokemontcg.io/col1/10.png;;Call of Legends
11;Rare Holo;;Jirachi;Jirachi;Pokémon;Psychic;385;match;https://res.cloudinary.com/dkhwpritu/image/upload/v1557907852/modifs/Capture_d_e%CC%81cran_2019-05-13_a%CC%80_14.08.23.png;;https://images.pokemontcg.io/col1/11.png;;Call of Legends
12;Rare Holo;;Kyogre;Kyogre;Pokémon;Water;382;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_12.png;;https://images.pokemontcg.io/col1/12.png;;Call of Legends
13;Rare Holo;;Phyllali;Leafeon;Pokémon;Grass;470;match;https://res.cloudinary.com/dkhwpritu/image/upload/v1557907854/modifs/Capture_d_e%CC%81cran_2019-05-13_a%CC%80_14.09.27.png;;https://images.pokemontcg.io/col1/13.png;;Call of Legends
14;Rare Holo;;Lucario;Lucario;Pokémon;Fighting;448;Takashi Yamaguchi;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_14.png;;https://images.pokemontcg.io/col1/14.png;;Call of Legends
15;Rare Holo;;Lugia;Lugia;Pokémon;Water;249;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/COL1/COL1_FR_15.png;;https://images.pokemontcg.io/col1/15.png;;Call of Legends
