number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Artikodin;Articuno;Pokémon;Water;144;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP5/DP5_FR_1.png;;https://images.pokemontcg.io/dp5/1.png;;Majestic Dawn
2;Rare Holo;;Cresselia;Cresselia;Pokémon;Psychic;488;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP5/DP5_FR_2.png;;https://images.pokemontcg.io/dp5/2.png;;Majestic Dawn
3;Rare Holo;;Darkrai;Darkrai;Pokémon;Darkness;491;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP5/DP5_FR_3.png;;https://images.pokemontcg.io/dp5/3.png;;Majestic Dawn
4;Rare Holo;;Dialga;Dialga;Pokémon;Metal;483;Masakazu Fukuda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP5/DP5_FR_4.png;;https://images.pokemontcg.io/dp5/4.png;;Majestic Dawn
5;Rare Holo;;Givrali;Glaceon;Pokémon;Water;471;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP5/DP5_FR_5.png;;https://images.pokemontcg.io/dp5/5.png;;Majestic Dawn
6;Rare Holo;;Kabutops;Kabutops;Pokémon;Fighting;141;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP5/DP5_FR_6.png;;https://images.pokemontcg.io/dp5/6.png;;Majestic Dawn
7;Rare Holo;;Phyllali;Leafeon;Pokémon;Grass;470;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP5/DP5_FR_7.png;;https://images.pokemontcg.io/dp5/7.png;;Majestic Dawn
8;Rare Holo;;Manaphy;Manaphy;Pokémon;Water;490;Suwama Chiaki;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP5/DP5_FR_8.png;;https://images.pokemontcg.io/dp5/8.png;;Majestic Dawn
9;Rare Holo;;Mewtwo;Mewtwo;Pokémon;Psychic;150;Kent Kanetsuna;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP5/DP5_FR_9.png;;https://images.pokemontcg.io/dp5/9.png;;Majestic Dawn
10;Rare Holo;;Sulfura;Moltres;Pokémon;Fire;146;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP5/DP5_FR_10.png;;https://images.pokemontcg.io/dp5/10.png;;Majestic Dawn
