number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Pharamp;Ampharos;Pokémon;Lightning;181;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_1.png;;https://images.pokemontcg.io/dp3/1.png;;Secret Wonders
2;Rare Holo;;Tortank;Blastoise;Pokémon;Water;9;Daisuke Ito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_2.png;;https://images.pokemontcg.io/dp3/2.png;;Secret Wonders
3;Rare Holo;;Dracaufeu;Charizard;Pokémon;Fire;6;Daisuke Ito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_3.png;;https://images.pokemontcg.io/dp3/3.png;;Secret Wonders
4;Rare Holo;;Entei;Entei;Pokémon;Fire;244;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_4.png;;https://images.pokemontcg.io/dp3/4.png;;Secret Wonders
5;Rare Holo;;Libégon;Flygon;Pokémon;Fighting;330;Daisuke Ito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_5.png;;https://images.pokemontcg.io/dp3/5.png;;Secret Wonders
6;Rare Holo;;Gallame;Gallade;Pokémon;Fighting;475;Daisuke Ito;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_6.png;;https://images.pokemontcg.io/dp3/6.png;;Secret Wonders
7;Rare Holo;;Gardevoir;Gardevoir;Pokémon;Psychic;282;Atsuko Nishida;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_7.png;;https://images.pokemontcg.io/dp3/7.png;;Secret Wonders
8;Rare Holo;;Tritosor Mer Orient;Gastrodon East Sea;Pokémon;Water;423;Kazuyuki Kano;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_8.png;;https://images.pokemontcg.io/dp3/8.png;;Secret Wonders
9;Rare Holo;;Tritosor Mer Occident;Gastrodon West Sea;Pokémon;Fighting;423;Kazuyuki Kano;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_9.png;;https://images.pokemontcg.io/dp3/9.png;;Secret Wonders
10;Rare Holo;;Ho-Oh;Ho-Oh;Pokémon;Fire;250;Kazuyuki Kano;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_10.png;;https://images.pokemontcg.io/dp3/10.png;;Secret Wonders
11;Rare Holo;;Cotovol;Jumpluff;Pokémon;Grass;189;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_11.png;;https://images.pokemontcg.io/dp3/11.png;;Secret Wonders
12;Rare Holo;;Coudlangue;Lickilicky;Pokémon;Colorless;463;Kazuyuki Kano;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_12.png;;https://images.pokemontcg.io/dp3/12.png;;Secret Wonders
13;Rare Holo;;Ludicolo;Ludicolo;Pokémon;Water;272;Mitsuhiro Arita;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_13.png;;https://images.pokemontcg.io/dp3/13.png;;Secret Wonders
14;Rare Holo;;Lugia;Lugia;Pokémon;Colorless;249;Kazuyuki Kano;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_14.png;;https://images.pokemontcg.io/dp3/14.png;;Secret Wonders
15;Rare Holo;;Mew;Mew;Pokémon;Psychic;151;Kagemaru Himeno;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_15.png;;https://images.pokemontcg.io/dp3/15.png;;Secret Wonders
16;Rare Holo;;Raikou;Raikou;Pokémon;Lightning;243;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_16.png;;https://images.pokemontcg.io/dp3/16.png;;Secret Wonders
17;Rare Holo;;Roserade;Roserade;Pokémon;Grass;407;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_17.png;;https://images.pokemontcg.io/dp3/17.png;;Secret Wonders
18;Rare Holo;;Drattak;Salamence;Pokémon;Colorless;373;Kazuyuki Kano;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_18.png;;https://images.pokemontcg.io/dp3/18.png;;Secret Wonders
19;Rare Holo;;Suicune;Suicune;Pokémon;Water;245;Ryo Ueda;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_19.png;;https://images.pokemontcg.io/dp3/19.png;;Secret Wonders
20;Rare Holo;;Florizarre;Venusaur;Pokémon;Grass;3;Kazuyuki Kano;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_20.png;;https://images.pokemontcg.io/dp3/20.png;;Secret Wonders
21;Rare;;Absol;Absol;Pokémon;Darkness;359;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_21.png;;https://images.pokemontcg.io/dp3/21.png;;Secret Wonders
22;Rare;;Arcanin;Arcanine;Pokémon;Fire;59;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_22.png;;https://images.pokemontcg.io/dp3/22.png;;Secret Wonders
23;Rare;;Branette;Banette;Pokémon;Psychic;354;Kouki Saitou;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_23.png;;https://images.pokemontcg.io/dp3/23.png;;Secret Wonders
24;Rare;;Triopikeur;Dugtrio;Pokémon;Fighting;51;Ken Sugimori;https://assets.pokemon.com/assets/cms2-fr-fr/img/cards/web/DP3/DP3_FR_24.png;;https://images.pokemontcg.io/dp3/24.png;;Secret Wonders
