number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
DP01;;;Tortipouss;Turtwig;Pokémon;Grass;387;Masakazu Fukuda;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203264.jpg;;Diamond & Pearl Promos
DP02;;;Ouisticram;Chimchar;Pokémon;Fire;390;Kagemaru Himeno;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203265.jpg;;Diamond & Pearl Promos
DP03;;;Tiplouf;Piplup;Pokémon;Water;393;Atsuko Nishida;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203266.jpg;;Diamond & Pearl Promos
DP04;;;Pachirisu;Pachirisu;Pokémon;Lightning;417;Atsuko Nishida;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203267.jpg;;Diamond & Pearl Promos
DP05;;;Vent tropical;Tropical Wind;Trainer;NoColor;;Sumiyoshi Kizuki;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1025835.jpg;;Diamond & Pearl Promos
DP06;;;Laporeille;Buneary;Pokémon;Colorless;427;Kagemaru Himeno;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203269.jpg;;Diamond & Pearl Promos
DP07;;;Kranidos;Cranidos;Pokémon;Fighting;408;Mitsuhiro Arita;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203270.jpg;;Diamond & Pearl Promos
DP08;;;Dinoclier;Shieldon;Pokémon;Metal;410;Kouki Saitou;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203271.jpg;;Diamond & Pearl Promos
DP09;Ultra;Niv.X;Torterra Niv.X;Torterra LV.X;Pokémon;Grass;389;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203272.jpg;;Diamond & Pearl Promos
DP10;Ultra;Niv.X;Simiabraz Niv.X;Infernape LV.X;Pokémon;Fire;392;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203273.jpg;;Diamond & Pearl Promos
DP11;Ultra;Niv.X;Pingoléon Niv.X;Empoleon LV.X;Pokémon;Water;395;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203274.jpg;;Diamond & Pearl Promos
DP12;Ultra;Niv.X;Lucario Niv.X;Lucario LV.X;Pokémon;Fighting;448;Ryo Ueda;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203275.jpg;;Diamond & Pearl Promos
DP13;;;Mustébouée;Buizel;Pokémon;Water;418;Mitsuhiro Arita;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203276.jpg;;Diamond & Pearl Promos
DP14;;;Pijako;Chatot;Pokémon;Colorless;441;Masakazu Fukuda;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203277.jpg;;Diamond & Pearl Promos
DP15;;;Lixy;Shinx;Pokémon;Lightning;403;Kagemaru Himeno;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203278.jpg;;Diamond & Pearl Promos
DP16;;;Pikachu;Pikachu;Pokémon;Lightning;25;Sumiyoshi Kizuki;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1149477.jpg;;Diamond & Pearl Promos
DP17;Ultra;Niv.X;Dialga Niv.X;Dialga LV.X;Pokémon;Metal;483;Ryo Ueda;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203280.jpg;;Diamond & Pearl Promos
DP18;Ultra;Niv.X;Palkia Niv.X;Palkia LV.X;Pokémon;Water;484;Ryo Ueda;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203281.jpg;;Diamond & Pearl Promos
DP19;Ultra;Niv.X;Darkrai Niv.X;Darkrai LV.X;Pokémon;Darkness;491;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203282.jpg;;Diamond & Pearl Promos
DP20;;;Maganon;Magmortar;Pokémon;Fire;467;Daisuke Ito;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203283.jpg;;Diamond & Pearl Promos
DP21;;;Raichu;Raichu;Pokémon;Lightning;26;Daisuke Ito;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/203284.jpg;;Diamond & Pearl Promos
DP22;;;Mime Jr.;Mime Jr.;Pokémon;Psychic;439;Mitsuhiro Arita;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/183584.jpg;;Diamond & Pearl Promos
DP23;;;Chaglam;Glameow;Pokémon;Colorless;431;Mitsuhiro Arita;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/289535.jpg;;Diamond & Pearl Promos
DP24;;;Darkrai;Darkrai;Pokémon;Darkness;491;Kouki Saitou;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/291311.jpg;;Diamond & Pearl Promos
DP25;;;Vent tropical;Tropical Wind;Trainer;NoColor;;Sumiyoshi Kizuki;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1053074.jpg;;Diamond & Pearl Promos
DP26;;;Dialga;Dialga;Pokémon;Metal;483;Kazuyuki Kano;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/231340.jpg;;Diamond & Pearl Promos
DP27;;;Palkia;Palkia;Pokémon;Water;484;Daisuke Ito;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/289533.jpg;;Diamond & Pearl Promos
DP28;Ultra;Niv.X;Mewtwo Niv.X;Mewtwo LV.X;Pokémon;Psychic;150;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/227278.jpg;;Diamond & Pearl Promos
DP29;Ultra;Niv.X;Rhinastoc Niv.X;Rhyperior LV.X;Pokémon;Fighting;464;Ryo Ueda;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/227279.jpg;;Diamond & Pearl Promos
DP30;Ultra;Niv.X;Regigigas Niv.X;Regigigas LV.X;Pokémon;Colorless;486;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/242606.jpg;;Diamond & Pearl Promos
DP31;Ultra;Niv.X;Heatran Niv.X;Heatran LV.X;Pokémon;Fire;485;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/238397.jpg;;Diamond & Pearl Promos
DP32;;;Magnézone;Magnezone;Pokémon;Metal;462;Kent Kanetsuna;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/202810.jpg;;Diamond & Pearl Promos
DP33;;;Noctunoir;Dusknoir;Pokémon;Psychic;477;Kent Kanetsuna;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/289536.jpg;;Diamond & Pearl Promos
DP34;;;Grodrive;Drifblim;Pokémon;Psychic;426;Mitsuhiro Arita;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/243961.jpg;;Diamond & Pearl Promos
DP35;;;Porygon-Z;Porygon-Z;Pokémon;Colorless;474;Kagemaru Himeno;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/294746.jpg;;Diamond & Pearl Promos
DP36;;;Scorvol;Gliscor;Pokémon;Fighting;472;Kagemaru Himeno;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/289534.jpg;;Diamond & Pearl Promos
DP37;Ultra;Niv.X;Dialga Niv.X;Dialga LV.X;Pokémon;Metal;483;Ryo Ueda;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/242829.jpg;;Diamond & Pearl Promos
DP38;Ultra;Niv.X;Giratina Niv.X;Giratina LV.X;Pokémon;Psychic;487;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/242830.jpg;;Diamond & Pearl Promos
DP39;Ultra;Niv.X;Shaymin Niv.X;Shaymin LV.X;Pokémon;Grass;492;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/242831.jpg;;Diamond & Pearl Promos
DP40;;;Regigigas;Regigigas;Pokémon;Colorless;486;Kagemaru Himeno;;;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/759799/DP40%20regigigas%20jumbo.jpg?1511910611;;Diamond & Pearl Promos
DP41;;;Coatox G;Toxicroak G;Pokémon;Fighting;454;Ryota Saito;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/297839.jpg;;Diamond & Pearl Promos
DP42;;;Vortente G;Carnivine G;Pokémon;Grass;455;Makoto Imai;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/289172.jpg;;Diamond & Pearl Promos
DP43;;;Tarinorme G;Probopass G;Pokémon;Fighting;476;Ryota Saito;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/289173.jpg;;Diamond & Pearl Promos
DP44;;;Magnézone;Magnezone;Pokémon;Lightning;462;Kagemaru Himeno;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/289531.jpg;;Diamond & Pearl Promos
DP45;Ultra;Niv.X;Dracaufeu G Niv.X;Charizard G LV.X;Pokémon;Fire;6;Wataru Kawahara;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/280046.jpg;;Diamond & Pearl Promos
DP46;Ultra;Niv.X;Carchacrok C Niv.X;Garchomp C LV.X;Pokémon;Colorless;445;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/280048.jpg;;Diamond & Pearl Promos
DP47;Ultra;Niv.X;Rayquaza C Niv.X;Rayquaza C LV.X;Pokémon;Metal;384;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/280047.jpg;;Diamond & Pearl Promos
DP48;;;Vent tropical;Tropical Wind;Trainer;NoColor;;Sumiyoshi Kizuki;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/323922.jpg;;Diamond & Pearl Promos
DP49;;;Dialga;Dialga;Pokémon;Metal;483;Kagemaru Himeno;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/289537.jpg;;Diamond & Pearl Promos
DP50;;;Arceus;Arceus;Pokémon;Colorless;493;Kunihiko Yuyama;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/289530.jpg;;Diamond & Pearl Promos
DP51;;;Cresselia;Cresselia;Pokémon;Psychic;488;Wataru Kawahara;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/295818.jpg;;Diamond & Pearl Promos
DP52;;;Darkrai;Darkrai;Pokémon;Darkness;491;Wataru Kawahara;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/290796.jpg;;Diamond & Pearl Promos
DP53;Ultra;Niv.X;Arceus Niv.X;Arceus LV.X;Pokémon;Colorless;493;Shizurow;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/289529.jpg;;Diamond & Pearl Promos
DP54;;;Porte de départ;Beginning Door;Trainer;NoColor;;Ryo Ueda;https://res.cloudinary.com/dkhwpritu/image/upload/v1546954492/beginning-door-dp54-promo_1.jpg;;;;Diamond & Pearl Promos
DP55;;;Zone ultime;Ultimate Zone;Trainer;NoColor;;Yusuke Ishikawa;https://res.cloudinary.com/dkhwpritu/image/upload/v1546954657/ultimate-zone-dp55-promo_1.jpg;;;;Diamond & Pearl Promos
DP56;Ultra;Niv.X;Arceus Niv.X;Arceus LV.X;Pokémon;Colorless;493;Ryo Ueda;;;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/288663.jpg;;Diamond & Pearl Promos
