number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare Holo;;Galeking;Aggron;Pokémon;Metal;306;Kouki Saitou;https://www.pokepedia.fr/images/d/dd/Carte_Diamant_%26_Perle_Tr%C3%A9sors_Myst%C3%A9rieux_1.png;;https://images.pokemontcg.io/dp2/1.png;;Mysterious Treasures
2;Rare Holo;;Alakazam;Alakazam;Pokémon;Psychic;65;Kouki Saitou;https://www.pokepedia.fr/images/3/31/Carte_Diamant_%26_Perle_Tr%C3%A9sors_Myst%C3%A9rieux_2.png;;https://images.pokemontcg.io/dp2/2.png;;Mysterious Treasures
3;Rare Holo;;Capidextre;Ambipom;Pokémon;Colorless;424;Kouki Saitou;https://www.pokepedia.fr/images/1/11/Carte_Diamant_%26_Perle_Tr%C3%A9sors_Myst%C3%A9rieux_3.png;;https://images.pokemontcg.io/dp2/3.png;;Mysterious Treasures
4;Rare Holo;;Crefadet;Azelf;Pokémon;Psychic;482;Ryo Ueda;https://www.pokepedia.fr/images/8/89/Carte_Diamant_%26_Perle_Tr%C3%A9sors_Myst%C3%A9rieux_4.png;;https://images.pokemontcg.io/dp2/4.png;;Mysterious Treasures
5;Rare Holo;;Leuphorie;Blissey;Pokémon;Colorless;242;Kagemaru Himeno;https://www.pokepedia.fr/images/c/c5/Carte_Diamant_%26_Perle_Tr%C3%A9sors_Myst%C3%A9rieux_5.png;;https://images.pokemontcg.io/dp2/5.png;;Mysterious Treasures
6;Rare Holo;;Archeodong;Bronzong;Pokémon;Metal;437;Daisuke Ito;https://www.pokepedia.fr/images/2/2d/Carte_Diamant_%26_Perle_Tr%C3%A9sors_Myst%C3%A9rieux_6.png;;https://images.pokemontcg.io/dp2/6.png;;Mysterious Treasures
7;Rare Holo;;Celebi;Celebi;Pokémon;Grass;251;Kagemaru Himeno;https://www.pokepedia.fr/images/9/95/Carte_Diamant_%26_Perle_Tr%C3%A9sors_Myst%C3%A9rieux_7.png;;https://images.pokemontcg.io/dp2/7.png;;Mysterious Treasures
8;Rare Holo;;Aligatueur;Feraligatr;Pokémon;Water;160;Kazuyuki Kano;https://www.pokepedia.fr/images/4/4b/Carte_Diamant_%26_Perle_Tr%C3%A9sors_Myst%C3%A9rieux_8.png;;https://images.pokemontcg.io/dp2/8.png;;Mysterious Treasures
9;Rare Holo;;Carchacrok;Garchomp;Pokémon;Colorless;445;Kazuyuki Kano;https://www.pokepedia.fr/images/1/11/Carte_Diamant_%26_Perle_Tr%C3%A9sors_Myst%C3%A9rieux_9.png;;https://images.pokemontcg.io/dp2/9.png;;Mysterious Treasures
10;Rare Holo;;Corboss;Honchkrow;Pokémon;Darkness;430;Kazuyuki Kano;https://www.pokepedia.fr/images/c/c4/Carte_Diamant_%26_Perle_Tr%C3%A9sors_Myst%C3%A9rieux_10.png;;https://images.pokemontcg.io/dp2/10.png;;Mysterious Treasures
