number;rarety_type;ultra_type;fr_name;us_name;super_type;energy_type;pokedex_number;artist;fr_url;fr_r_url;us_url;us_r_url;list
1;Rare;;Pharamp;Ampharos;Pokémon;Lightning;181;Shin-ichi Yoshida;;;https://images.pokemontcg.io/ecard2/1.png;;Aquapolis
2;Rare;;Arcanin;Arcanine;Pokémon;Fire;59;Kyoko Umemoto;;;https://images.pokemontcg.io/ecard2/2.png;;Aquapolis
3;Rare;;Migalos;Ariados;Pokémon;Grass;168;Shin-ichi Yoshida;;;https://images.pokemontcg.io/ecard2/3.png;;Aquapolis
4;Rare;;Azumarill;Azumarill;Pokémon;Water;184;Kagemaru Himeno;;;https://images.pokemontcg.io/ecard2/4.png;;Aquapolis
5;Rare;;Joliflor;Bellossom;Pokémon;Grass;182;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ecard2/5.png;;Aquapolis
6;Rare;;Leuphorie;Blissey;Pokémon;Colorless;242;Naoyo Kimura;;;https://images.pokemontcg.io/ecard2/6.png;;Aquapolis
7;Rare;;Donphan;Donphan;Pokémon;Fighting;232;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard2/7.png;;Aquapolis
8;Rare;;Électrode;Electrode;Pokémon;Lightning;101;Shin-ichi Yoshida;;;https://images.pokemontcg.io/ecard2/8.png;;Aquapolis
9;Rare;;Elekid;Elekid;Pokémon;Lightning;239;Hikaru Koike;;;https://images.pokemontcg.io/ecard2/9.png;;Aquapolis
10;Rare;;Entei;Entei;Pokémon;Fire;244;Atsuko Nishida;;;https://images.pokemontcg.io/ecard2/10.png;;Aquapolis
11;Rare;;Mentali;Espeon;Pokémon;Psychic;196;Kyoko Umemoto;;;https://images.pokemontcg.io/ecard2/11.png;;Aquapolis
12;Rare;;Noadkoko;Exeggutor;Pokémon;Grass;103;Yukiko Baba;;;https://images.pokemontcg.io/ecard2/12.png;;Aquapolis
13;Rare;;Noadkoko;Exeggutor;Pokémon;Psychic;103;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ecard2/13.png;;Aquapolis
14;Rare;;Démolosse;Houndoom;Pokémon;Fire;229;Naoyo Kimura;;;https://images.pokemontcg.io/ecard2/14.png;;Aquapolis
15;Rare;;Démolosse;Houndoom;Pokémon;Darkness;229;Hajime Kusajima;;;https://images.pokemontcg.io/ecard2/15.png;;Aquapolis
16;Rare;;Hypnomade;Hypno;Pokémon;Psychic;97;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard2/16.png;;Aquapolis
17;Rare;;Cotovol;Jumpluff;Pokémon;Grass;189;Yuka Morii;;;https://images.pokemontcg.io/ecard2/17.png;;Aquapolis
18;Rare;;Lippoutou;Jynx;Pokémon;Psychic;124;Hisao Nakamura;;;https://images.pokemontcg.io/ecard2/18.png;;Aquapolis
19;Rare;;Hyporoi;Kingdra;Pokémon;Water;230;Atsuko Nishida;;;https://images.pokemontcg.io/ecard2/19.png;;Aquapolis
20;Rare;;Lanturn;Lanturn;Pokémon;Water;171;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard2/20.png;;Aquapolis
21;Rare;;Lanturn;Lanturn;Pokémon;Lightning;171;Yuka Morii;;;https://images.pokemontcg.io/ecard2/21.png;;Aquapolis
22;Rare;;Magneton;Magneton;Pokémon;Metal;82;Hikaru Koike;;;https://images.pokemontcg.io/ecard2/22.png;;Aquapolis
23;Rare;;Grotadmorv;Muk;Pokémon;Grass;89;Hajime Kusajima;;;https://images.pokemontcg.io/ecard2/23.png;;Aquapolis
24;Rare;;Nidoking;Nidoking;Pokémon;Fighting;34;Naoyo Kimura;;;https://images.pokemontcg.io/ecard2/24.png;;Aquapolis
25;Rare;;Feunard;Ninetales;Pokémon;Fire;38;Kagemaru Himeno;;;https://images.pokemontcg.io/ecard2/25.png;;Aquapolis
26;Rare;;Octillery;Octillery;Pokémon;Water;224;Kouki Saitou;;;https://images.pokemontcg.io/ecard2/26.png;;Aquapolis
27;Rare;;Parasect;Parasect;Pokémon;Grass;47;Masako Yamashita;;;https://images.pokemontcg.io/ecard2/27.png;;Aquapolis
28;Rare;;Porygon2;Porygon2;Pokémon;Colorless;233;Hikaru Koike;;;https://images.pokemontcg.io/ecard2/28.png;;Aquapolis
29;Rare;;Colossinge;Primeape;Pokémon;Fighting;57;Tomokazu Komiya;;;https://images.pokemontcg.io/ecard2/29.png;;Aquapolis
30;Rare;;Maraiste;Quagsire;Pokémon;Water;195;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard2/30.png;;Aquapolis
31;Rare;;Galopa;Rapidash;Pokémon;Fire;78;Kouki Saitou;;;https://images.pokemontcg.io/ecard2/31.png;;Aquapolis
32;Rare;;Cizayox;Scizor;Pokémon;Metal;212;Hisao Nakamura;;;https://images.pokemontcg.io/ecard2/32.png;;Aquapolis
33;Rare;;Flagadoss;Slowbro;Pokémon;Water;80;Aya Kusube;;;https://images.pokemontcg.io/ecard2/33.png;;Aquapolis
34;Rare;;Roigada;Slowking;Pokémon;Psychic;199;Aya Kusube;;;https://images.pokemontcg.io/ecard2/34.png;;Aquapolis
35;Rare;;Steelix;Steelix;Pokémon;Metal;208;Hajime Kusajima;;;https://images.pokemontcg.io/ecard2/35.png;;Aquapolis
36;Rare;;Simularbre;Sudowoodo;Pokémon;Fighting;185;Kagemaru Himeno;;;https://images.pokemontcg.io/ecard2/36.png;;Aquapolis
37;Rare;;Suicune;Suicune;Pokémon;Water;245;Atsuko Nishida;;;https://images.pokemontcg.io/ecard2/37.png;;Aquapolis
38;Rare;;Tentacruel;Tentacruel;Pokémon;Water;73;Hajime Kusajima;;;https://images.pokemontcg.io/ecard2/38.png;;Aquapolis
39;Rare;;Togetic;Togetic;Pokémon;Colorless;176;Kagemaru Himeno;;;https://images.pokemontcg.io/ecard2/39.png;;Aquapolis
40;Rare;;Tyranocif;Tyranitar;Pokémon;Darkness;248;Naoyo Kimura;;;https://images.pokemontcg.io/ecard2/40.png;;Aquapolis
41;Rare;;Noctali;Umbreon;Pokémon;Darkness;197;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard2/41.png;;Aquapolis
42;Rare;;Empiflor;Victreebel;Pokémon;Grass;71;Miki Tanaka;;;https://images.pokemontcg.io/ecard2/42.png;;Aquapolis
43;Rare;;Rafflésia;Vileplume;Pokémon;Grass;45;Kyoko Umemoto;;;https://images.pokemontcg.io/ecard2/43.png;;Aquapolis
44;Rare;;Electhor;Zapdos;Pokémon;Lightning;145;Hajime Kusajima;;;https://images.pokemontcg.io/ecard2/44.png;;Aquapolis
45;Uncommon;;Chétiflor;Bellsprout;Pokémon;Grass;69;Masako Yamashita;;;https://images.pokemontcg.io/ecard2/45.png;;Aquapolis
46;Uncommon;;Dodrio;Dodrio;Pokémon;Colorless;85;Yukiko Baba;;;https://images.pokemontcg.io/ecard2/46.png;;Aquapolis
47;Uncommon;;Lainergie;Flaaffy;Pokémon;Lightning;180;Shin-ichi Yoshida;;;https://images.pokemontcg.io/ecard2/47.png;;Aquapolis
48;Uncommon;;Fouinar;Furret;Pokémon;Colorless;162;Atsuko Nishida;;;https://images.pokemontcg.io/ecard2/48.png;;Aquapolis
49;Uncommon;;Ortide;Gloom;Pokémon;Grass;44;Kyoko Umemoto;;;https://images.pokemontcg.io/ecard2/49.png;;Aquapolis
50;Uncommon;;Akwakwak;Golduck;Pokémon;Water;55;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ecard2/50.png;;Aquapolis
51;Uncommon;;Caninos;Growlithe;Pokémon;Fire;58;Kyoko Umemoto;;;https://images.pokemontcg.io/ecard2/51.png;;Aquapolis
52;Uncommon;;Magneti;Magnemite;Pokémon;Metal;81;Shin-ichi Yoshida;;;https://images.pokemontcg.io/ecard2/52.png;;Aquapolis
53;Uncommon;;Marill;Marill;Pokémon;Water;183;Yukiko Baba;;;https://images.pokemontcg.io/ecard2/53.png;;Aquapolis
54;Uncommon;;Ossatueur;Marowak;Pokémon;Fighting;105;Kagemaru Himeno;;;https://images.pokemontcg.io/ecard2/54.png;;Aquapolis
55;Uncommon;;Nidorino;Nidorino;Pokémon;Grass;33;Kagemaru Himeno;;;https://images.pokemontcg.io/ecard2/55.png;;Aquapolis
56;Uncommon;;Ymphect;Pupitar;Pokémon;Fighting;247;Naoyo Kimura;;;https://images.pokemontcg.io/ecard2/56.png;;Aquapolis
57;Uncommon;;Insécateur;Scyther;Pokémon;Grass;123;Hisao Nakamura;;;https://images.pokemontcg.io/ecard2/57.png;;Aquapolis
58;Uncommon;;Hypocéan;Seadra;Pokémon;Water;117;Mitsuhiro Arita;;;https://images.pokemontcg.io/ecard2/58.png;;Aquapolis
59;Uncommon;;Poissoroy;Seaking;Pokémon;Water;119;Sumiyoshi Kizuki;;;https://images.pokemontcg.io/ecard2/59.png;;Aquapolis
60;Uncommon;;Floravol;Skiploom;Pokémon;Grass;188;Yuka Morii;;;https://images.pokemontcg.io/ecard2/60.png;;Aquapolis
61;Uncommon;;Lippouti;Smoochum;Pokémon;Psychic;238;Kagemaru Himeno;;;https://images.pokemontcg.io/ecard2/61.png;;Aquapolis
62;Uncommon;;Mimigal;Spinarak;Pokémon;Grass;167;Masako Yamashita;;;https://images.pokemontcg.io/ecard2/62.png;;Aquapolis
63;Uncommon;;Debugant;Tyrogue;Pokémon;Fighting;236;Tomokazu Komiya;;;https://images.pokemontcg.io/ecard2/63.png;;Aquapolis
64;Uncommon;;Voltorbe;Voltorb;Pokémon;Lightning;100;Yukiko Baba;;;https://images.pokemontcg.io/ecard2/64.png;;Aquapolis
65;Uncommon;;Boustiflor;Weepinbell;Pokémon;Grass;70;Miki Tanaka;;;https://images.pokemontcg.io/ecard2/65.png;;Aquapolis
66;Uncommon;;Axoloto;Wooper;Pokémon;Water;194;Atsuko Nishida;;;https://images.pokemontcg.io/ecard2/66.png;;Aquapolis
